EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
-22;11;1;3;1;0;-1;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0257
-1;-3;2;-1;1;1;-2;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0287
0;-5;-10;-2;-3;0;-1;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0307
0;-5;0;-2;-1;-1;-1;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0307
5;-1;-3;0;1;-1;-1;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0477
-2;0;1;0;2;-1;0;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0477
4;-5;1;-1;-3;-1;-2;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0487
-7;1;-5;-2;-3;1;0;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0487
2;2;5;0;-1;1;-1;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0537
-11;7;0;-1;0;-1;-1;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0537
-6;-2;-2;-1;-2;-1;1;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0611
1;1;2;-1;-1;-1;0;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0611
-8;0;3;-1;-3;-2;0;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0911
0;0;0;-2;-1;-1;1;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.0911
6;-2;1;2;-1;0;-2;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1010
4;1;-5;-2;0;0;-1;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1010
10;-2;-3;-4;0;1;-1;4;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1040
-4;-3;-2;0;0;0;0;-3;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1040
-1;-3;4;1;-1;0;1;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1060
-10;5;-1;1;-1;-1;-1;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1060
-2;0;4;-1;-1;0;-1;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1280
3;1;-5;-1;0;0;0;2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1280
-3;-1;4;-3;-3;0;-2;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1439
4;-6;1;1;-1;-4;-1;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1439
3;0;-3;0;-1;0;-3;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1664
0;0;-3;-1;-1;1;-1;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1664
-6;-1;1;2;0;-1;-1;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1674
-4;-3;-3;-1;1;-1;-1;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1674
4;1;-2;-3;-2;-1;0;2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1883
-1;-8;-4;-2;-2;-1;-2;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.1883
-12;9;0;-1;-1;-1;-1;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2112
5;-2;0;-3;-1;-1;1;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2112
-1;1;1;-1;-1;-3;-1;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2262
-2;-2;-1;0;-1;-1;-2;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2262
0;-1;-5;-1;-2;-3;0;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2561
-4;-1;4;-1;-1;0;-3;1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2561
-11;3;-1;-1;1;-1;1;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2881
1;2;1;-1;-1;0;-1;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2881
3;-3;-5;-1;-3;1;-2;-2;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2910
-3;3;2;1;0;-1;0;-1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2910
-3;-3;2;1;-1;0;0;1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2930
3;-10;-3;1;-2;0;-2;-3;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.2930
-7;1;2;1;-1;0;-2;-3;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.3030
2;-3;-9;-2;-2;-2;0;1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.3030
0;-6;0;-1;0;0;1;1;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.3050
-1;3;-2;-2;0;-1;0;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.3050
-3;-5;12;-3;-1;-2;0;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.3080
-2;0;-4;0;1;0;-1;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.3080
7;-3;-7;-1;1;0;-2;0;440112d3-44cb-4107-84cd-dde99f7a7d33;2025-05-02 14:32:29.3299
