ID;Timestamp;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:28:55.5996;1;None;;;;0;0;0;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.2212;2;None;;;;0;0;0;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.2451;3;None;;;;0.2439446;0.7171348;0.1762362;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.2516;4;None;;;;0.2440725;0.7169628;0.1761432;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.2616;5;None;;;;0.2441255;0.7167046;0.176245;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.2676;6;None;;;;0.2441651;0.7166089;0.1762462;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.2785;7;None;;;;0.2442189;0.7164742;0.1762416;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.2895;8;None;;;;0.2441429;0.7163715;0.1763036;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.3005;9;None;;;;0.2441508;0.7165022;0.1764381;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.3114;10;None;;;;0.2441995;0.7164639;0.1765499;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.3224;11;None;;;;0.2442635;0.7163824;0.1765847;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.3344;12;None;;;;0.2442653;0.716557;0.1766911;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.3459;13;None;;;;0.2442682;0.7166183;0.1768143;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.3568;14;None;;;;0.244123;0.7166902;0.1769342;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.3668;15;None;;;;0.2440991;0.7167863;0.1771917;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.3788;16;None;;;;0.244063;0.7168995;0.1773138;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.3907;17;None;;;;0.2442738;0.7168193;0.1772656;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.4007;18;None;;;;0.2442108;0.7171248;0.1773152;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.4117;19;None;;;;0.2441736;0.7171669;0.1773889;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.4227;20;None;;;;0.2439781;0.7171484;0.1774037;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.4346;21;None;;;;0.2438297;0.7173231;0.1776268;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.4456;22;None;;;;0.2436875;0.7172703;0.1776052;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.5904;23;None;;;;0.2436882;0.7171189;0.1774879;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.5963;24;None;;;;0.242956;0.717139;0.177108;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.6013;25;None;;;;0.2429255;0.7171379;0.1771147;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.6133;26;None;;;;0.2428921;0.7171404;0.1771138;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.6243;27;None;;;;0.243149;0.7170178;0.17699;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.6352;28;None;;;;0.243154;0.7170892;0.1769657;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.6462;29;None;;;;0.2431597;0.7170739;0.1769359;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.6582;30;None;;;;0.2429478;0.717198;0.1770411;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.6691;31;None;;;;0.2428526;0.7172655;0.1773584;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.6801;32;None;;;;0.2428071;0.7172968;0.1774201;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.6911;33;None;;;;0.2431033;0.7170994;0.1772535;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.7031;34;None;;;;0.2430712;0.7172426;0.1773143;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.7140;35;None;;;;0.24304;0.7173233;0.1773818;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.7250;36;None;;;;0.243152;0.7173228;0.1773453;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.7360;37;None;;;;0.2431542;0.7175686;0.1772695;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.7474;38;None;;;;0.2431406;0.7176816;0.1772797;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.7584;39;None;;;;0.2430795;0.7177838;0.1772587;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.7694;40;None;;;;0.2430046;0.7179036;0.1773977;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.7814;41;None;;;;0.2429562;0.7180034;0.1773903;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.7913;42;None;;;;0.2428237;0.7180787;0.1773169;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.8033;43;None;;;;0.2427504;0.7181183;0.1774213;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.8143;44;None;;;;0.242695;0.7182361;0.1774175;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.8252;45;None;;;;0.2424247;0.7184159;0.1774406;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.8362;46;None;;;;0.2423186;0.7186887;0.1776154;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.8477;47;None;;;;0.2424413;0.7186739;0.1774492;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.8586;48;None;;;;0.2424093;0.718799;0.1773901;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.8696;49;None;;;;0.2423238;0.7190338;0.1775293;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.8816;50;None;;;;0.2422911;0.7191385;0.177448;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.8926;51;None;;;;0.2425956;0.7190109;0.1771665;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.9035;52;None;;;;0.2425156;0.7191225;0.1773963;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.9145;53;None;;;;0.2424988;0.7191305;0.177345;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.9255;54;None;;;;0.242263;0.7192105;0.1773367;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.9374;55;None;;;;0.2421898;0.7192932;0.1774433;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.9479;56;None;;;;0.2421579;0.7193232;0.1773906;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.9594;57;None;;;;0.2422016;0.7193401;0.1771443;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.9704;58;None;;;;0.2421786;0.7194072;0.1770971;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.9823;59;None;;;;0.2423435;0.7193339;0.1769476;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:00.9943;60;None;;;;0.2423612;0.7194644;0.177007;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:01.0063;61;None;;;;0.2424144;0.7195174;0.1770253;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:01.0182;62;None;;;;0.2425472;0.7194748;0.1769238;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:01.0312;63;None;;;;0.2426643;0.7195361;0.1768994;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:01.0422;64;None;;;;0.2427512;0.7195621;0.1769161;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:01.0541;65;None;;;;0.242815;0.7195011;0.1768794;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:01.0651;66;None;;;;0.2428603;0.7195688;0.1770873;extension;0;;Moving to rest position;
8f4cdfd9-c6a5-4abe-9c92-0d36fb7e13b7;2025-05-09 12:29:01.0761;67;None;;;;0.2429316;0.7195369;0.1771483;extension;0;;Moving to rest position;
