Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;27;23;-14;6;5;2;37;41;2025-03-28 09:52:44.423200;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1574;;;;;0.1616972;0.8431619;0.2199678;pronation;0;;MVC;
1;31;23;-59;17;7;5;28;5;2025-03-28 09:52:44.423200;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1574;;;;;0.1616972;0.8431619;0.2199678;pronation;0;;MVC;
2;-44;-5;34;-11;-8;-5;36;33;2025-03-28 09:52:44.424200;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1574;;;;;0.1616972;0.8431619;0.2199678;pronation;0;;MVC;
3;7;-9;12;-41;-19;-5;-16;-1;2025-03-28 09:52:44.424200;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1574;;;;;0.1616972;0.8431619;0.2199678;pronation;0;;MVC;
4;21;4;-47;20;20;22;80;53;2025-03-28 09:52:44.432200;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1574;;;;;0.1616972;0.8431619;0.2199678;pronation;0;;MVC;
5;-19;-18;25;-14;-13;-15;-57;-60;2025-03-28 09:52:44.432200;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1574;;;;;0.1616972;0.8431619;0.2199678;pronation;0;;MVC;
6;-6;4;8;17;7;-1;-43;10;2025-03-28 09:52:44.433200;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1574;;;;;0.1616972;0.8431619;0.2199678;pronation;0;;MVC;
7;29;17;1;-4;9;6;5;6;2025-03-28 09:52:44.433200;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1574;;;;;0.1616972;0.8431619;0.2199678;pronation;0;;MVC;
8;-24;6;10;12;-5;-13;-72;-52;2025-03-28 09:52:44.463100;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1578;;;;;0.1708918;0.8395108;0.2171919;pronation;0;;MVC;
9;5;-5;14;-8;-11;-2;29;55;2025-03-28 09:52:44.463100;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1578;;;;;0.1708918;0.8395108;0.2171919;pronation;0;;MVC;
