Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;4;19;85;13;-11;-17;-6;-5;2025-03-28 12:05:12.789100;cc98b577-6165-49df-b691-2115be09f7d6;766;;;;;0.1904399;0.9571648;0.1398885;extension;0;;MVC;
1;34;11;23;-26;-10;32;5;8;2025-03-28 12:05:12.789100;cc98b577-6165-49df-b691-2115be09f7d6;766;;;;;0.1904399;0.9571648;0.1398885;extension;0;;MVC;
2;-3;-12;-25;70;21;-16;-1;3;2025-03-28 12:05:12.789100;cc98b577-6165-49df-b691-2115be09f7d6;766;;;;;0.1904399;0.9571648;0.1398885;extension;0;;MVC;
3;18;63;-54;80;15;84;7;6;2025-03-28 12:05:12.789100;cc98b577-6165-49df-b691-2115be09f7d6;766;;;;;0.1904399;0.9571648;0.1398885;extension;0;;MVC;
4;28;34;-30;-33;-2;-71;-5;1;2025-03-28 12:05:12.811000;cc98b577-6165-49df-b691-2115be09f7d6;767;;;;;0.1907204;0.9574188;0.139653;extension;0;;MVC;
5;-63;-61;-128;-43;-35;-54;-8;-22;2025-03-28 12:05:12.811000;cc98b577-6165-49df-b691-2115be09f7d6;767;;;;;0.1907204;0.9574188;0.139653;extension;0;;MVC;
6;-3;98;127;71;32;79;13;8;2025-03-28 12:05:12.812000;cc98b577-6165-49df-b691-2115be09f7d6;767;;;;;0.1907204;0.9574188;0.139653;extension;0;;MVC;
7;-24;-71;-14;-89;-24;15;1;-1;2025-03-28 12:05:12.812000;cc98b577-6165-49df-b691-2115be09f7d6;767;;;;;0.1907204;0.9574188;0.139653;extension;0;;MVC;
8;20;31;110;41;21;-42;6;7;2025-03-28 12:05:12.826000;cc98b577-6165-49df-b691-2115be09f7d6;769;;;;;0.1913315;0.958232;0.1397769;extension;0;;MVC;
9;-10;67;-55;34;-4;-35;-5;-2;2025-03-28 12:05:12.826000;cc98b577-6165-49df-b691-2115be09f7d6;769;;;;;0.1913315;0.958232;0.1397769;extension;0;;MVC;
10;10;6;-23;2;18;-7;5;-4;2025-03-28 12:05:12.826000;cc98b577-6165-49df-b691-2115be09f7d6;769;;;;;0.1913315;0.958232;0.1397769;extension;0;;MVC;
11;8;-37;30;25;6;-33;6;7;2025-03-28 12:05:12.826000;cc98b577-6165-49df-b691-2115be09f7d6;769;;;;;0.1913315;0.958232;0.1397769;extension;0;;MVC;
12;-30;-43;-106;-43;-10;68;-3;-9;2025-03-28 12:05:12.848900;cc98b577-6165-49df-b691-2115be09f7d6;771;;;;;0.1920376;0.9587549;0.1398118;extension;0;;MVC;
13;-17;-19;9;-55;-14;-35;-3;-3;2025-03-28 12:05:12.848900;cc98b577-6165-49df-b691-2115be09f7d6;771;;;;;0.1920376;0.9587549;0.1398118;extension;0;;MVC;
14;8;-30;-29;33;5;-17;-7;-6;2025-03-28 12:05:12.848900;cc98b577-6165-49df-b691-2115be09f7d6;771;;;;;0.1920376;0.9587549;0.1398118;extension;0;;MVC;
15;15;-65;35;-17;3;-20;4;1;2025-03-28 12:05:12.849900;cc98b577-6165-49df-b691-2115be09f7d6;771;;;;;0.1920376;0.9587549;0.1398118;extension;0;;MVC;
16;9;57;-33;20;-10;10;2;8;2025-03-28 12:05:12.870800;cc98b577-6165-49df-b691-2115be09f7d6;773;;;;;0.1925399;0.9591023;0.1392825;extension;0;;MVC;
17;-11;-29;70;6;4;-10;-7;-8;2025-03-28 12:05:12.870800;cc98b577-6165-49df-b691-2115be09f7d6;773;;;;;0.1925399;0.9591023;0.1392825;extension;0;;MVC;
