Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;14;1;6;-25;38;-2;6;18;2025-03-28 10:28:36.802800;5a56ed1d-c368-4935-9384-157ccd3d56a7;912;;;;;0.2358639;0.7151672;0.0189724;pinch;0;;MVC;
1;-25;2;14;7;-36;-12;1;3;2025-03-28 10:28:36.802800;5a56ed1d-c368-4935-9384-157ccd3d56a7;912;;;;;0.2358639;0.7151672;0.0189724;pinch;0;;MVC;
2;4;-9;5;23;-8;40;15;4;2025-03-28 10:28:36.818300;5a56ed1d-c368-4935-9384-157ccd3d56a7;913;;;;;0.2354988;0.7167273;0.02004981;pinch;0;;MVC;
3;-6;-2;-11;-13;18;-25;-14;-8;2025-03-28 10:28:36.818300;5a56ed1d-c368-4935-9384-157ccd3d56a7;913;;;;;0.2354988;0.7167273;0.02004981;pinch;0;;MVC;
4;-13;-8;-19;-15;-18;26;-2;-4;2025-03-28 10:28:36.819300;5a56ed1d-c368-4935-9384-157ccd3d56a7;913;;;;;0.2354988;0.7167273;0.02004981;pinch;0;;MVC;
5;-17;13;5;-47;54;-30;-5;-12;2025-03-28 10:28:36.820300;5a56ed1d-c368-4935-9384-157ccd3d56a7;913;;;;;0.2354988;0.7167273;0.02004981;pinch;0;;MVC;
6;15;7;7;67;-46;-4;11;15;2025-03-28 10:28:36.840200;5a56ed1d-c368-4935-9384-157ccd3d56a7;914;;;;;0.2350609;0.7177017;0.02044797;pinch;0;;MVC;
7;-11;-10;-10;-41;-16;-16;-15;-6;2025-03-28 10:28:36.840200;5a56ed1d-c368-4935-9384-157ccd3d56a7;914;;;;;0.2350609;0.7177017;0.02044797;pinch;0;;MVC;
8;-63;7;16;-2;41;28;0;-14;2025-03-28 10:28:36.842200;5a56ed1d-c368-4935-9384-157ccd3d56a7;914;;;;;0.2350609;0.7177017;0.02044797;pinch;0;;MVC;
9;91;-11;-23;59;-49;-15;6;35;2025-03-28 10:28:36.842200;5a56ed1d-c368-4935-9384-157ccd3d56a7;914;;;;;0.2350609;0.7177017;0.02044797;pinch;0;;MVC;
10;-34;3;4;-4;-40;18;2;-3;2025-03-28 10:28:36.870200;5a56ed1d-c368-4935-9384-157ccd3d56a7;918;;;;;0.2342283;0.7207294;0.0233717;pinch;0;;MVC;
11;-2;-3;-5;-10;92;-1;-9;2;2025-03-28 10:28:36.870200;5a56ed1d-c368-4935-9384-157ccd3d56a7;918;;;;;0.2342283;0.7207294;0.0233717;pinch;0;;MVC;
12;15;-1;2;-26;-22;-9;5;6;2025-03-28 10:28:36.878100;5a56ed1d-c368-4935-9384-157ccd3d56a7;918;;;;;0.2342283;0.7207294;0.0233717;pinch;0;;MVC;
13;-25;-2;4;-4;-14;2;-5;-19;2025-03-28 10:28:36.878100;5a56ed1d-c368-4935-9384-157ccd3d56a7;918;;;;;0.2342283;0.7207294;0.0233717;pinch;0;;MVC;
14;21;8;7;-18;-128;-34;-4;3;2025-03-28 10:28:36.879100;5a56ed1d-c368-4935-9384-157ccd3d56a7;918;;;;;0.2342283;0.7207294;0.0233717;pinch;0;;MVC;
15;-26;-10;-3;22;-38;22;0;0;2025-03-28 10:28:36.879100;5a56ed1d-c368-4935-9384-157ccd3d56a7;918;;;;;0.2342283;0.7207294;0.0233717;pinch;0;;MVC;
16;-6;-3;-7;23;104;49;9;-6;2025-03-28 10:28:36.891100;5a56ed1d-c368-4935-9384-157ccd3d56a7;920;;;;;0.2340522;0.7216277;0.024019;pinch;0;;MVC;
17;-14;2;-3;4;-23;8;8;-3;2025-03-28 10:28:36.891100;5a56ed1d-c368-4935-9384-157ccd3d56a7;920;;;;;0.2340522;0.7216277;0.024019;pinch;0;;MVC;
18;17;-10;-5;-32;-75;-26;-9;-5;2025-03-28 10:28:36.899100;5a56ed1d-c368-4935-9384-157ccd3d56a7;920;;;;;0.2340522;0.7216277;0.024019;pinch;0;;MVC;
19;-11;3;-3;23;-50;-37;-1;-3;2025-03-28 10:28:36.899100;5a56ed1d-c368-4935-9384-157ccd3d56a7;920;;;;;0.2340522;0.7216277;0.024019;pinch;0;;MVC;
20;-2;5;-6;-15;26;6;-12;-6;2025-03-28 10:28:36.908100;5a56ed1d-c368-4935-9384-157ccd3d56a7;921;;;;;0.2338037;0.7226015;0.02490854;pinch;0;;MVC;
21;-7;-2;6;-2;-52;24;13;5;2025-03-28 10:28:36.908100;5a56ed1d-c368-4935-9384-157ccd3d56a7;921;;;;;0.2338037;0.7226015;0.02490854;pinch;0;;MVC;
22;-29;-10;-10;2;-25;-31;-10;-4;2025-03-28 10:28:36.913600;5a56ed1d-c368-4935-9384-157ccd3d56a7;922;;;;;0.2336223;0.7231541;0.02532887;pinch;0;;MVC;
23;0;-1;-3;8;42;10;-10;-25;2025-03-28 10:28:36.913600;5a56ed1d-c368-4935-9384-157ccd3d56a7;922;;;;;0.2336223;0.7231541;0.02532887;pinch;0;;MVC;
24;45;-1;-11;19;17;4;18;31;2025-03-28 10:28:36.930500;5a56ed1d-c368-4935-9384-157ccd3d56a7;923;;;;;0.2333444;0.723001;0.02481842;pinch;0;;MVC;
25;-14;-2;-5;-6;-27;-13;-4;-3;2025-03-28 10:28:36.930500;5a56ed1d-c368-4935-9384-157ccd3d56a7;923;;;;;0.2333444;0.723001;0.02481842;pinch;0;;MVC;
26;9;-5;7;-77;27;8;0;-6;2025-03-28 10:28:36.937500;5a56ed1d-c368-4935-9384-157ccd3d56a7;924;;;;;0.2329582;0.7239448;0.02559066;pinch;0;;MVC;
27;-6;2;0;26;43;-11;-3;11;2025-03-28 10:28:36.937500;5a56ed1d-c368-4935-9384-157ccd3d56a7;924;;;;;0.2329582;0.7239448;0.02559066;pinch;0;;MVC;
28;29;7;0;-3;34;36;10;12;2025-03-28 10:28:36.939500;5a56ed1d-c368-4935-9384-157ccd3d56a7;924;;;;;0.2329582;0.7239448;0.02559066;pinch;0;;MVC;
29;-29;0;5;-14;-86;-26;-13;-19;2025-03-28 10:28:36.939500;5a56ed1d-c368-4935-9384-157ccd3d56a7;924;;;;;0.2329582;0.7239448;0.02559066;pinch;0;;MVC;
30;-9;1;1;-27;-9;-25;-2;-5;2025-03-28 10:28:36.961400;5a56ed1d-c368-4935-9384-157ccd3d56a7;926;;;;;0.2325468;0.7247596;0.02582407;pinch;0;;MVC;
31;30;-6;3;14;12;6;3;10;2025-03-28 10:28:36.961400;5a56ed1d-c368-4935-9384-157ccd3d56a7;926;;;;;0.2325468;0.7247596;0.02582407;pinch;0;;MVC;
32;-1;3;-3;-3;19;-25;-5;-6;2025-03-28 10:28:36.974400;5a56ed1d-c368-4935-9384-157ccd3d56a7;927;;;;;0.2321759;0.725474;0.0266881;pinch;0;;MVC;
33;-17;-7;-5;-21;-79;18;-5;7;2025-03-28 10:28:36.974400;5a56ed1d-c368-4935-9384-157ccd3d56a7;927;;;;;0.2321759;0.725474;0.0266881;pinch;0;;MVC;
