Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;12;9;3;0;29;-12;-7;-3;2025-03-28 10:42:03.859900;d0876084-c9d3-4a91-9a6d-667946293a9e;537;;;;;0.2250683;0.7133943;0.06565571;supination;0;;MVC;
1;11;4;-5;-1;41;5;1;12;2025-03-28 10:42:03.859900;d0876084-c9d3-4a91-9a6d-667946293a9e;537;;;;;0.2250683;0.7133943;0.06565571;supination;0;;MVC;
2;19;-19;6;1;-50;-2;6;15;2025-03-28 10:42:03.867900;d0876084-c9d3-4a91-9a6d-667946293a9e;538;;;;;0.224526;0.7147634;0.06616402;supination;0;;MVC;
3;-12;-2;-4;-7;1;-27;-7;-26;2025-03-28 10:42:03.867900;d0876084-c9d3-4a91-9a6d-667946293a9e;538;;;;;0.224526;0.7147634;0.06616402;supination;0;;MVC;
4;-26;-23;-7;-11;-70;-23;-15;1;2025-03-28 10:42:03.877900;d0876084-c9d3-4a91-9a6d-667946293a9e;539;;;;;0.2243274;0.7160391;0.06693459;supination;0;;MVC;
5;-30;-1;-2;-2;4;31;2;-13;2025-03-28 10:42:03.877900;d0876084-c9d3-4a91-9a6d-667946293a9e;539;;;;;0.2243274;0.7160391;0.06693459;supination;0;;MVC;
6;28;5;-1;0;-2;-11;-6;2;2025-03-28 10:42:03.878900;d0876084-c9d3-4a91-9a6d-667946293a9e;539;;;;;0.2243274;0.7160391;0.06693459;supination;0;;MVC;
7;2;16;6;5;-15;0;0;12;2025-03-28 10:42:03.878900;d0876084-c9d3-4a91-9a6d-667946293a9e;539;;;;;0.2243274;0.7160391;0.06693459;supination;0;;MVC;
8;4;2;-3;-3;-19;-15;-6;-8;2025-03-28 10:42:03.890900;d0876084-c9d3-4a91-9a6d-667946293a9e;541;;;;;0.223864;0.7173607;0.06755376;supination;0;;MVC;
9;-8;-23;-6;-3;62;12;0;6;2025-03-28 10:42:03.890900;d0876084-c9d3-4a91-9a6d-667946293a9e;541;;;;;0.223864;0.7173607;0.06755376;supination;0;;MVC;
10;-1;12;-2;-6;-87;-14;-3;-14;2025-03-28 10:42:03.891900;d0876084-c9d3-4a91-9a6d-667946293a9e;541;;;;;0.223864;0.7173607;0.06755376;supination;0;;MVC;
11;4;9;0;1;-35;6;9;14;2025-03-28 10:42:03.891900;d0876084-c9d3-4a91-9a6d-667946293a9e;541;;;;;0.223864;0.7173607;0.06755376;supination;0;;MVC;
12;2;1;3;-2;-38;-32;-3;13;2025-03-28 10:42:03.912900;d0876084-c9d3-4a91-9a6d-667946293a9e;543;;;;;0.2234487;0.7186294;0.06774616;supination;0;;MVC;
13;11;9;6;8;29;31;7;-11;2025-03-28 10:42:03.912900;d0876084-c9d3-4a91-9a6d-667946293a9e;543;;;;;0.2234487;0.7186294;0.06774616;supination;0;;MVC;
14;-7;0;-4;-1;57;12;-5;-16;2025-03-28 10:42:03.919900;d0876084-c9d3-4a91-9a6d-667946293a9e;543;;;;;0.2234487;0.7186294;0.06774616;supination;0;;MVC;
15;-4;3;-2;4;34;37;0;1;2025-03-28 10:42:03.920900;d0876084-c9d3-4a91-9a6d-667946293a9e;543;;;;;0.2234487;0.7186294;0.06774616;supination;0;;MVC;
16;-12;-13;-11;-7;-2;-24;-9;2;2025-03-28 10:42:03.936800;d0876084-c9d3-4a91-9a6d-667946293a9e;545;;;;;0.2226521;0.7199866;0.06827021;supination;0;;MVC;
17;4;-5;-2;2;25;-8;-5;-14;2025-03-28 10:42:03.936800;d0876084-c9d3-4a91-9a6d-667946293a9e;545;;;;;0.2226521;0.7199866;0.06827021;supination;0;;MVC;
18;-5;15;2;-2;-33;-15;-9;4;2025-03-28 10:42:03.937800;d0876084-c9d3-4a91-9a6d-667946293a9e;545;;;;;0.2226521;0.7199866;0.06827021;supination;0;;MVC;
19;-15;-1;-1;-7;-64;-40;-4;-42;2025-03-28 10:42:03.937800;d0876084-c9d3-4a91-9a6d-667946293a9e;545;;;;;0.2226521;0.7199866;0.06827021;supination;0;;MVC;
20;7;6;4;8;55;38;7;17;2025-03-28 10:42:03.950800;d0876084-c9d3-4a91-9a6d-667946293a9e;546;;;;;0.222386;0.7208675;0.06850576;supination;0;;MVC;
21;6;2;-2;2;29;22;4;-5;2025-03-28 10:42:03.950800;d0876084-c9d3-4a91-9a6d-667946293a9e;546;;;;;0.222386;0.7208675;0.06850576;supination;0;;MVC;
22;-6;-6;-1;10;88;-1;-4;0;2025-03-28 10:42:03.957800;d0876084-c9d3-4a91-9a6d-667946293a9e;547;;;;;0.2221756;0.7216127;0.06872225;supination;0;;MVC;
23;3;-7;0;-2;-40;4;6;15;2025-03-28 10:42:03.957800;d0876084-c9d3-4a91-9a6d-667946293a9e;547;;;;;0.2221756;0.7216127;0.06872225;supination;0;;MVC;
24;-6;-10;-1;2;-83;-6;2;-28;2025-03-28 10:42:03.972800;d0876084-c9d3-4a91-9a6d-667946293a9e;548;;;;;0.2221374;0.7222409;0.06886029;supination;0;;MVC;
25;-4;8;-6;-4;12;-26;-11;9;2025-03-28 10:42:03.972800;d0876084-c9d3-4a91-9a6d-667946293a9e;548;;;;;0.2221374;0.7222409;0.06886029;supination;0;;MVC;
26;-10;-3;-5;-5;73;-42;-19;43;2025-03-28 10:42:03.973700;d0876084-c9d3-4a91-9a6d-667946293a9e;548;;;;;0.2221374;0.7222409;0.06886029;supination;0;;MVC;
27;-2;8;12;20;13;91;25;28;2025-03-28 10:42:03.973700;d0876084-c9d3-4a91-9a6d-667946293a9e;548;;;;;0.2221374;0.7222409;0.06886029;supination;0;;MVC;
28;6;1;1;-7;-119;27;20;-12;2025-03-28 10:42:03.996700;d0876084-c9d3-4a91-9a6d-667946293a9e;550;;;;;0.2221967;0.7233329;0.06971335;supination;0;;MVC;
29;-2;-3;-8;-19;-32;-67;-16;29;2025-03-28 10:42:03.996700;d0876084-c9d3-4a91-9a6d-667946293a9e;550;;;;;0.2221967;0.7233329;0.06971335;supination;0;;MVC;
30;16;4;0;-2;2;-48;-19;-59;2025-03-28 10:42:03.996700;d0876084-c9d3-4a91-9a6d-667946293a9e;550;;;;;0.2221967;0.7233329;0.06971335;supination;0;;MVC;
31;-7;-6;-5;5;110;22;-5;14;2025-03-28 10:42:03.996700;d0876084-c9d3-4a91-9a6d-667946293a9e;550;;;;;0.2221967;0.7233329;0.06971335;supination;0;;MVC;
32;4;-2;-1;-3;58;-8;-10;-8;2025-03-28 10:42:04.010200;d0876084-c9d3-4a91-9a6d-667946293a9e;551;;;;;0.2223666;0.7236798;0.06995702;supination;0;;MVC;
33;4;-1;2;-4;-63;-16;-2;6;2025-03-28 10:42:04.011200;d0876084-c9d3-4a91-9a6d-667946293a9e;552;;;;;0.2223974;0.7240468;0.07028008;supination;0;;MVC;
34;-20;9;-1;-3;-15;26;20;-4;2025-03-28 10:42:04.011200;d0876084-c9d3-4a91-9a6d-667946293a9e;552;;;;;0.2223974;0.7240468;0.07028008;supination;0;;MVC;
35;10;-11;-4;5;97;-27;-7;-30;2025-03-28 10:42:04.011200;d0876084-c9d3-4a91-9a6d-667946293a9e;552;;;;;0.2223974;0.7240468;0.07028008;supination;0;;MVC;
36;7;11;9;-8;1;-5;1;1;2025-03-28 10:42:04.033100;d0876084-c9d3-4a91-9a6d-667946293a9e;554;;;;;0.2227196;0.7243996;0.07036042;supination;0;;MVC;
37;13;3;4;-8;-77;1;8;23;2025-03-28 10:42:04.033100;d0876084-c9d3-4a91-9a6d-667946293a9e;554;;;;;0.2227196;0.7243996;0.07036042;supination;0;;MVC;
