Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;-88;-31;-2;-22;-4;-8;-6;-50;2025-04-23 13:53:36.254100;ecb6828d-9adc-47d2-9431-444beb0c54c9;1152;;;;;0.2535776;0.6691254;0.01709366;fist;0;;MVC;
1;-83;-1;0;19;11;8;14;111;2025-04-23 13:53:36.254100;ecb6828d-9adc-47d2-9431-444beb0c54c9;1152;;;;;0.2535776;0.6691254;0.01709366;fist;0;;MVC;
2;-69;3;15;-21;-5;-4;4;21;2025-04-23 13:53:36.260100;ecb6828d-9adc-47d2-9431-444beb0c54c9;1152;;;;;0.2535776;0.6691254;0.01709366;fist;0;;MVC;
3;20;8;9;-17;-11;-3;-7;-50;2025-04-23 13:53:36.260100;ecb6828d-9adc-47d2-9431-444beb0c54c9;1152;;;;;0.2535776;0.6691254;0.01709366;fist;0;;MVC;
4;7;-19;4;18;8;9;25;-72;2025-04-23 13:53:36.276000;ecb6828d-9adc-47d2-9431-444beb0c54c9;1155;;;;;0.2536425;0.6693889;0.01656938;fist;0;;MVC;
5;60;17;15;16;-9;-3;-38;-8;2025-04-23 13:53:36.276000;ecb6828d-9adc-47d2-9431-444beb0c54c9;1155;;;;;0.2536425;0.6693889;0.01656938;fist;0;;MVC;
6;34;8;-1;-9;4;-5;30;10;2025-04-23 13:53:36.293000;ecb6828d-9adc-47d2-9431-444beb0c54c9;1156;;;;;0.2536664;0.6694221;0.01644206;fist;0;;MVC;
7;-37;-2;11;-12;-10;-2;-8;-15;2025-04-23 13:53:36.293000;ecb6828d-9adc-47d2-9431-444beb0c54c9;1156;;;;;0.2536664;0.6694221;0.01644206;fist;0;;MVC;
8;-65;14;-6;-19;-3;-1;-10;-31;2025-04-23 13:53:36.293000;ecb6828d-9adc-47d2-9431-444beb0c54c9;1156;;;;;0.2536664;0.6694221;0.01644206;fist;0;;MVC;
9;84;-7;-12;-14;-10;-2;-4;33;2025-04-23 13:53:36.294000;ecb6828d-9adc-47d2-9431-444beb0c54c9;1156;;;;;0.2536664;0.6694221;0.01644206;fist;0;;MVC;
10;-88;12;-19;3;16;19;14;34;2025-04-23 13:53:36.298000;ecb6828d-9adc-47d2-9431-444beb0c54c9;1157;;;;;0.2538163;0.6696478;0.01652145;fist;0;;MVC;
11;23;-11;-4;8;3;-2;-6;-21;2025-04-23 13:53:36.298000;ecb6828d-9adc-47d2-9431-444beb0c54c9;1157;;;;;0.2538163;0.6696478;0.01652145;fist;0;;MVC;
12;25;5;-5;-11;-12;-5;1;-50;2025-04-23 13:53:36.305900;ecb6828d-9adc-47d2-9431-444beb0c54c9;1157;;;;;0.2538163;0.6696478;0.01652145;fist;0;;MVC;
13;69;0;27;9;9;15;14;-28;2025-04-23 13:53:36.305900;ecb6828d-9adc-47d2-9431-444beb0c54c9;1157;;;;;0.2538163;0.6696478;0.01652145;fist;0;;MVC;
14;-60;0;4;8;7;-7;-9;9;2025-04-23 13:53:36.319900;ecb6828d-9adc-47d2-9431-444beb0c54c9;1159;;;;;0.2538235;0.6697975;0.01655436;fist;0;;MVC;
15;44;-7;-7;-20;1;13;11;14;2025-04-23 13:53:36.319900;ecb6828d-9adc-47d2-9431-444beb0c54c9;1159;;;;;0.2538235;0.6697975;0.01655436;fist;0;;MVC;
16;-128;7;-6;-4;-2;-5;1;-59;2025-04-23 13:53:36.335400;ecb6828d-9adc-47d2-9431-444beb0c54c9;1160;;;;;0.2538368;0.6699525;0.01664519;fist;0;;MVC;
17;93;17;26;-20;-23;-11;7;53;2025-04-23 13:53:36.335400;ecb6828d-9adc-47d2-9431-444beb0c54c9;1160;;;;;0.2538368;0.6699525;0.01664519;fist;0;;MVC;
18;-59;5;-7;32;18;1;-1;46;2025-04-23 13:53:36.351300;ecb6828d-9adc-47d2-9431-444beb0c54c9;1161;;;;;0.2538528;0.6701657;0.01685762;fist;0;;MVC;
19;6;-43;-11;18;6;1;-15;51;2025-04-23 13:53:36.351300;ecb6828d-9adc-47d2-9431-444beb0c54c9;1161;;;;;0.2538528;0.6701657;0.01685762;fist;0;;MVC;
20;-20;0;-5;-1;-13;-8;-2;6;2025-04-23 13:53:36.359300;ecb6828d-9adc-47d2-9431-444beb0c54c9;1162;;;;;0.253964;0.6701393;0.01679897;fist;0;;MVC;
21;50;9;21;-9;5;-4;1;-28;2025-04-23 13:53:36.359300;ecb6828d-9adc-47d2-9431-444beb0c54c9;1162;;;;;0.253964;0.6701393;0.01679897;fist;0;;MVC;
22;111;9;-15;-14;9;7;-5;-87;2025-04-23 13:53:36.361300;ecb6828d-9adc-47d2-9431-444beb0c54c9;1162;;;;;0.253964;0.6701393;0.01679897;fist;0;;MVC;
23;-38;-10;2;14;-5;1;13;62;2025-04-23 13:53:36.361300;ecb6828d-9adc-47d2-9431-444beb0c54c9;1162;;;;;0.253964;0.6701393;0.01679897;fist;0;;MVC;
24;18;-18;-31;7;21;13;-10;0;2025-04-23 13:53:36.366300;ecb6828d-9adc-47d2-9431-444beb0c54c9;1163;;;;;0.253906;0.6703774;0.01702523;fist;0;;MVC;
25;-93;3;5;-32;-11;-8;-8;20;2025-04-23 13:53:36.366300;ecb6828d-9adc-47d2-9431-444beb0c54c9;1163;;;;;0.253906;0.6703774;0.01702523;fist;0;;MVC;
