Index,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,ID,FrameNumber,ActivatedCube,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ,GoalGesture,GesturesAttempted,AttemptsInCube,State,Event
0,47,107,126,32,10,-18,-5,6,2025-04-23 14:15:18.910500,be945fc2-f996-4627-8524-a2d07803e8dd,740,,,,,0.2016527,0.7301141,0.0111413,extension,0,,MVC,
1,2,6,98,22,23,39,-4,-8,2025-04-23 14:15:18.910500,be945fc2-f996-4627-8524-a2d07803e8dd,740,,,,,0.2016527,0.7301141,0.0111413,extension,0,,MVC,
2,-7,0,-92,4,18,-14,6,3,2025-04-23 14:15:18.918400,be945fc2-f996-4627-8524-a2d07803e8dd,740,,,,,0.2016527,0.7301141,0.0111413,extension,0,,MVC,
3,23,106,95,82,29,21,7,11,2025-04-23 14:15:18.918400,be945fc2-f996-4627-8524-a2d07803e8dd,740,,,,,0.2016527,0.7301141,0.0111413,extension,0,,MVC,
4,-33,-106,-24,29,5,-7,-1,-6,2025-04-23 14:15:19.030600,be945fc2-f996-4627-8524-a2d07803e8dd,751,,,,,0.2015705,0.7370828,0.006796837,extension,0,,MVC,
5,-1,112,127,-44,-69,34,-19,-16,2025-04-23 14:15:19.030600,be945fc2-f996-4627-8524-a2d07803e8dd,751,,,,,0.2015705,0.7370828,0.006796837,extension,0,,MVC,
6,6,57,40,49,21,55,12,10,2025-04-23 14:15:19.031600,be945fc2-f996-4627-8524-a2d07803e8dd,751,,,,,0.2015705,0.7370828,0.006796837,extension,0,,MVC,
7,28,63,72,38,-22,2,-11,-1,2025-04-23 14:15:19.031600,be945fc2-f996-4627-8524-a2d07803e8dd,751,,,,,0.2015705,0.7370828,0.006796837,extension,0,,MVC,
8,19,26,92,79,21,9,-3,4,2025-04-23 14:15:19.039600,be945fc2-f996-4627-8524-a2d07803e8dd,752,,,,,0.201686,0.737693,0.006729364,extension,0,,MVC,
9,5,26,-89,-31,43,-36,0,4,2025-04-23 14:15:19.039600,be945fc2-f996-4627-8524-a2d07803e8dd,752,,,,,0.201686,0.737693,0.006729364,extension,0,,MVC,
