EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,ID,FrameNumber,ActivatedCube,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ,GoalGesture,GesturesAttempted,AttemptsInCube,State,Event
3,-1,-5,-3,0,0,-2,-2,2025-04-23 13:53:20.297000,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
-3,-3,-3,0,-1,-3,-1,-3,2025-04-23 13:53:20.299900,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
-1,-1,4,-3,0,-1,-1,-1,2025-04-23 13:53:20.299900,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
-3,-2,-5,-2,-1,-1,-1,-1,2025-04-23 13:53:20.299900,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
1,-3,1,-1,-2,0,-1,1,2025-04-23 13:53:20.300900,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
3,0,2,1,-1,-1,-1,1,2025-04-23 13:53:20.300900,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
2,4,-2,-1,-1,1,0,0,2025-04-23 13:53:20.331400,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
8,-1,-2,-1,-1,-2,0,1,2025-04-23 13:53:20.331400,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
-13,0,1,1,0,-1,1,2,2025-04-23 13:53:20.361300,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
4,-2,-4,4,1,0,-1,0,2025-04-23 13:53:20.361300,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
-4,-4,-3,-1,-1,0,-2,1,2025-04-23 13:53:20.369300,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
0,0,-2,-1,-1,-1,1,-2,2025-04-23 13:53:20.369300,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
3,-2,0,-3,0,-1,0,-1,2025-04-23 13:53:20.370300,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
-16,5,-2,1,0,2,-2,-1,2025-04-23 13:53:20.370300,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
-1,-1,1,-3,-2,-2,-3,-1,2025-04-23 13:53:20.372300,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
-5,0,5,0,0,0,0,-2,2025-04-23 13:53:20.372300,ecb6828d-9adc-47d2-9431-444beb0c54c9,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
