Index,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,ID,FrameNumber,ActivatedCube,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ,GoalGesture,GesturesAttempted,AttemptsInCube,State,Event
0,-1,4,-4,-3,-2,1,-1,0,2025-04-23 14:30:26.337300,98868469-40d6-4135-b19c-661846d303ff,779,,,,,0.2434923,0.7304119,0.05918217,pinch,0,,MVC,
1,0,-9,0,1,0,1,0,-2,2025-04-23 14:30:26.338300,98868469-40d6-4135-b19c-661846d303ff,779,,,,,0.2434923,0.7304119,0.05918217,pinch,0,,MVC,
2,-2,-8,8,-1,1,-1,-1,-1,2025-04-23 14:30:26.339300,98868469-40d6-4135-b19c-661846d303ff,779,,,,,0.2434923,0.7304119,0.05918217,pinch,0,,MVC,
3,0,1,-5,1,-4,-1,-2,-1,2025-04-23 14:30:26.339300,98868469-40d6-4135-b19c-661846d303ff,779,,,,,0.2434923,0.7304119,0.05918217,pinch,0,,MVC,
4,-2,-1,-1,-8,-2,-1,-1,0,2025-04-23 14:30:26.352300,98868469-40d6-4135-b19c-661846d303ff,780,,,,,0.2434516,0.7307342,0.0593493,pinch,0,,MVC,
5,0,4,-1,6,2,-1,0,-1,2025-04-23 14:30:26.352300,98868469-40d6-4135-b19c-661846d303ff,780,,,,,0.2434516,0.7307342,0.0593493,pinch,0,,MVC,
6,0,0,0,-3,1,-1,-1,0,2025-04-23 14:30:26.359300,98868469-40d6-4135-b19c-661846d303ff,781,,,,,0.2434138,0.7306378,0.0592463,pinch,0,,MVC,
7,-1,1,5,-3,0,-2,-1,0,2025-04-23 14:30:26.359300,98868469-40d6-4135-b19c-661846d303ff,781,,,,,0.2434138,0.7306378,0.0592463,pinch,0,,MVC,
8,0,-5,-6,4,-1,0,-1,-1,2025-04-23 14:30:26.375200,98868469-40d6-4135-b19c-661846d303ff,784,,,,,0.2433248,0.7308621,0.05956626,pinch,0,,MVC,
9,-1,3,-2,-4,-4,0,-1,-1,2025-04-23 14:30:26.375200,98868469-40d6-4135-b19c-661846d303ff,784,,,,,0.2433248,0.7308621,0.05956626,pinch,0,,MVC,
10,-1,1,-2,-3,-1,-1,-2,0,2025-04-23 14:30:26.377200,98868469-40d6-4135-b19c-661846d303ff,784,,,,,0.2433248,0.7308621,0.05956626,pinch,0,,MVC,
11,-2,-2,-4,1,-2,-1,0,0,2025-04-23 14:30:26.377200,98868469-40d6-4135-b19c-661846d303ff,784,,,,,0.2433248,0.7308621,0.05956626,pinch,0,,MVC,
12,-1,-1,1,5,1,0,0,-1,2025-04-23 14:30:26.398200,98868469-40d6-4135-b19c-661846d303ff,786,,,,,0.2430971,0.7308511,0.05955815,pinch,0,,MVC,
13,0,0,-1,3,3,1,1,-2,2025-04-23 14:30:26.398200,98868469-40d6-4135-b19c-661846d303ff,786,,,,,0.2430971,0.7308511,0.05955815,pinch,0,,MVC,
14,0,1,-3,-7,-5,-3,-3,-1,2025-04-23 14:30:26.399200,98868469-40d6-4135-b19c-661846d303ff,786,,,,,0.2430971,0.7308511,0.05955815,pinch,0,,MVC,
15,0,-3,-1,7,2,0,-1,1,2025-04-23 14:30:26.399200,98868469-40d6-4135-b19c-661846d303ff,786,,,,,0.2430971,0.7308511,0.05955815,pinch,0,,MVC,
16,0,-2,2,2,0,0,0,-2,2025-04-23 14:30:26.412100,98868469-40d6-4135-b19c-661846d303ff,787,,,,,0.2430713,0.7308811,0.05958605,pinch,0,,MVC,
17,-1,-3,0,-4,-1,-1,-1,1,2025-04-23 14:30:26.412100,98868469-40d6-4135-b19c-661846d303ff,787,,,,,0.2430713,0.7308811,0.05958605,pinch,0,,MVC,
18,-1,0,-6,4,1,0,0,-1,2025-04-23 14:30:26.426100,98868469-40d6-4135-b19c-661846d303ff,788,,,,,0.2429373,0.7308637,0.05955195,pinch,0,,MVC,
19,0,1,-3,-5,-2,0,-1,1,2025-04-23 14:30:26.426100,98868469-40d6-4135-b19c-661846d303ff,788,,,,,0.2429373,0.7308637,0.05955195,pinch,0,,MVC,
20,1,1,2,-2,-5,-4,-2,-1,2025-04-23 14:30:26.435100,98868469-40d6-4135-b19c-661846d303ff,789,,,,,0.2428758,0.7310883,0.05977798,pinch,0,,MVC,
21,-1,-3,-3,-9,-2,1,0,0,2025-04-23 14:30:26.435100,98868469-40d6-4135-b19c-661846d303ff,789,,,,,0.2428758,0.7310883,0.05977798,pinch,0,,MVC,
22,-2,-2,-7,4,-1,-3,0,-1,2025-04-23 14:30:26.437100,98868469-40d6-4135-b19c-661846d303ff,789,,,,,0.2428758,0.7310883,0.05977798,pinch,0,,MVC,
23,-1,0,9,11,4,0,0,0,2025-04-23 14:30:26.437100,98868469-40d6-4135-b19c-661846d303ff,789,,,,,0.2428758,0.7310883,0.05977798,pinch,0,,MVC,
24,1,2,4,-3,-4,-3,-2,-1,2025-04-23 14:30:26.457000,98868469-40d6-4135-b19c-661846d303ff,791,,,,,0.2427986,0.7311583,0.05981231,pinch,0,,MVC,
