EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,ID,FrameNumber,ActivatedCube,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ,GoalGesture,GesturesAttempted,AttemptsInCube,State,Event
0,-1,-1,0,-1,-3,-1,0,2025-04-23 14:30:17.275200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
2,0,0,-1,0,0,1,0,2025-04-23 14:30:17.278200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-2,-1,0,1,0,-1,-1,2025-04-23 14:30:17.278200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-2,-1,-1,-2,-1,-1,-1,-1,2025-04-23 14:30:17.278200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,1,-1,-1,0,0,-1,-3,2025-04-23 14:30:17.278200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,0,-1,-1,-1,-1,0,0,2025-04-23 14:30:17.278200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
1,1,0,0,-3,-1,-1,-2,2025-04-23 14:30:17.286200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-2,0,0,-2,0,-2,-1,2025-04-23 14:30:17.287200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-2,-2,0,0,-1,-1,-1,1,2025-04-23 14:30:17.288200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,0,0,-1,-1,-1,-2,0,2025-04-23 14:30:17.288200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-2,-2,0,-3,0,-1,1,-1,2025-04-23 14:30:17.292200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
1,-2,1,-1,0,-1,0,-1,2025-04-23 14:30:17.292200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,-3,0,-1,0,0,-1,-1,2025-04-23 14:30:17.307100,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,1,-1,-1,1,-1,-1,0,2025-04-23 14:30:17.307100,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-3,-1,-1,-1,0,-1,-2,-1,2025-04-23 14:30:17.316100,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,0,-1,-1,-1,0,-2,0,2025-04-23 14:30:17.316100,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-2,-2,-1,-3,-1,-1,-2,2025-04-23 14:30:17.330100,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-2,-3,-2,-2,-1,-1,-2,2025-04-23 14:30:17.331100,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-1,-1,-2,-2,0,-2,-2,2025-04-23 14:30:17.334100,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-1,0,-1,-1,-1,0,-2,2025-04-23 14:30:17.334100,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,-1,-2,-2,1,0,-2,1,2025-04-23 14:30:17.336600,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-2,0,0,0,0,-3,-1,0,2025-04-23 14:30:17.336600,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-1,-1,-2,-2,-1,-1,0,2025-04-23 14:30:17.353500,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,0,-3,0,-2,-1,-2,-1,2025-04-23 14:30:17.353500,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,-1,-2,1,-1,-1,-1,-1,2025-04-23 14:30:17.359500,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-1,0,-2,-1,0,0,-3,2025-04-23 14:30:17.359500,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
1,0,-2,-1,1,-1,0,-1,2025-04-23 14:30:17.376500,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-2,-1,-1,1,-2,-1,0,0,2025-04-23 14:30:17.376500,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-3,1,1,-2,-1,-2,0,-1,2025-04-23 14:30:17.382500,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-1,-1,-2,-1,-1,-1,0,2025-04-23 14:30:17.382500,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
1,-1,0,-1,-2,-1,-1,0,2025-04-23 14:30:17.384400,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-1,0,1,-2,-1,0,-2,2025-04-23 14:30:17.384400,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,0,-2,0,-2,-1,-1,0,2025-04-23 14:30:17.405400,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-2,-1,-1,-2,-4,-1,-1,-2,2025-04-23 14:30:17.406400,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,-1,-1,-1,0,-1,-2,0,2025-04-23 14:30:17.407400,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-2,-2,-2,-2,1,-1,0,0,2025-04-23 14:30:17.407400,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-2,-1,0,-1,0,-2,-2,0,2025-04-23 14:30:17.427300,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-2,-1,1,-1,0,-2,0,2025-04-23 14:30:17.427300,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
1,1,-1,0,0,0,-1,-1,2025-04-23 14:30:17.435300,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,-1,1,-1,0,-1,-1,-3,2025-04-23 14:30:17.435300,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,0,-3,-3,-2,-2,0,0,2025-04-23 14:30:17.450300,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
1,-2,-2,-1,0,-1,0,0,2025-04-23 14:30:17.450300,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,0,-1,-2,-1,0,1,-1,2025-04-23 14:30:17.475200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-1,-2,-2,-2,-1,-1,-1,-3,2025-04-23 14:30:17.475200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,0,-2,-1,-1,0,1,-1,2025-04-23 14:30:17.476200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
0,0,1,-1,0,0,0,-1,2025-04-23 14:30:17.476200,98868469-40d6-4135-b19c-661846d303ff,2,,,,,0.0,0.0,0.0,pinch,0,,Moving to rest position,
-2,0,0,-1,-2,-1,0,-1,2025-04-23 14:30:17.495200,98868469-40d6-4135-b19c-661846d303ff,3,,,,,0.2351945,0.6700871,0.009799242,pinch,0,,Moving to rest position,
0,-1,-1,-1,0,1,-1,-1,2025-04-23 14:30:17.495200,98868469-40d6-4135-b19c-661846d303ff,3,,,,,0.2351945,0.6700871,0.009799242,pinch,0,,Moving to rest position,
0,-2,-2,0,-1,-1,-1,-2,2025-04-23 14:30:17.497100,98868469-40d6-4135-b19c-661846d303ff,3,,,,,0.2351945,0.6700871,0.009799242,pinch,0,,Moving to rest position,
-1,-1,0,0,1,-2,-1,-1,2025-04-23 14:30:17.497100,98868469-40d6-4135-b19c-661846d303ff,3,,,,,0.2351945,0.6700871,0.009799242,pinch,0,,Moving to rest position,
0,-1,-1,-1,0,-1,-2,0,2025-04-23 14:30:17.502600,98868469-40d6-4135-b19c-661846d303ff,3,,,,,0.2351945,0.6700871,0.009799242,pinch,0,,Moving to rest position,
-1,-3,-4,-1,-1,-1,0,-1,2025-04-23 14:30:17.502600,98868469-40d6-4135-b19c-661846d303ff,3,,,,,0.2351945,0.6700871,0.009799242,pinch,0,,Moving to rest position,
-1,-1,1,-1,0,-1,-1,-1,2025-04-23 14:30:17.518600,98868469-40d6-4135-b19c-661846d303ff,3,,,,,0.2351945,0.6700871,0.009799242,pinch,0,,Moving to rest position,
