Index,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,ID,FrameNumber,ActivatedCube,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ,GoalGesture,GesturesAttempted,AttemptsInCube,State,Event
0,-1,1,-2,-2,1,0,-1,0,2025-04-23 14:36:31.278600,90b60c0f-8a8c-405e-968e-678efe78acab,679,,,,,0.2446897,0.6999073,-0.09522486,rest,0,,MVC,
1,0,-2,-3,-4,-5,-5,-2,-1,2025-04-23 14:36:31.279600,90b60c0f-8a8c-405e-968e-678efe78acab,679,,,,,0.2446897,0.6999073,-0.09522486,rest,0,,MVC,
2,-1,0,1,3,2,2,2,0,2025-04-23 14:36:31.279600,90b60c0f-8a8c-405e-968e-678efe78acab,679,,,,,0.2446897,0.6999073,-0.09522486,rest,0,,MVC,
3,2,-1,0,0,1,-1,0,-2,2025-04-23 14:36:31.279600,90b60c0f-8a8c-405e-968e-678efe78acab,679,,,,,0.2446897,0.6999073,-0.09522486,rest,0,,MVC,
4,-2,0,-1,-1,-2,-1,-1,-1,2025-04-23 14:36:31.295500,90b60c0f-8a8c-405e-968e-678efe78acab,680,,,,,0.2449026,0.7000062,-0.09527206,rest,0,,MVC,
5,-2,0,0,0,2,0,2,-2,2025-04-23 14:36:31.295500,90b60c0f-8a8c-405e-968e-678efe78acab,680,,,,,0.2449026,0.7000062,-0.09527206,rest,0,,MVC,
6,-1,0,2,1,1,-2,-3,0,2025-04-23 14:36:31.296500,90b60c0f-8a8c-405e-968e-678efe78acab,680,,,,,0.2449026,0.7000062,-0.09527206,rest,0,,MVC,
7,-1,1,-2,-2,-4,-2,-1,-1,2025-04-23 14:36:31.296500,90b60c0f-8a8c-405e-968e-678efe78acab,680,,,,,0.2449026,0.7000062,-0.09527206,rest,0,,MVC,
8,-2,1,-2,-1,-3,-2,1,-2,2025-04-23 14:36:31.317000,90b60c0f-8a8c-405e-968e-678efe78acab,682,,,,,0.2454415,0.7000029,-0.09517121,rest,0,,MVC,
9,-3,-2,-3,-3,-4,-1,-3,-2,2025-04-23 14:36:31.317000,90b60c0f-8a8c-405e-968e-678efe78acab,682,,,,,0.2454415,0.7000029,-0.09517121,rest,0,,MVC,
10,-2,-4,-3,-2,-2,-3,-1,0,2025-04-23 14:36:31.332900,90b60c0f-8a8c-405e-968e-678efe78acab,684,,,,,0.2459284,0.6997032,-0.09528542,rest,0,,MVC,
11,-2,-1,-2,-3,1,0,-2,-1,2025-04-23 14:36:31.332900,90b60c0f-8a8c-405e-968e-678efe78acab,684,,,,,0.2459284,0.6997032,-0.09528542,rest,0,,MVC,
12,-1,-1,-3,-3,-2,-3,-1,-2,2025-04-23 14:36:31.333900,90b60c0f-8a8c-405e-968e-678efe78acab,684,,,,,0.2459284,0.6997032,-0.09528542,rest,0,,MVC,
13,0,-1,0,0,-2,1,-1,-1,2025-04-23 14:36:31.333900,90b60c0f-8a8c-405e-968e-678efe78acab,684,,,,,0.2459284,0.6997032,-0.09528542,rest,0,,MVC,
14,2,1,2,3,4,1,2,1,2025-04-23 14:36:31.334900,90b60c0f-8a8c-405e-968e-678efe78acab,684,,,,,0.2459284,0.6997032,-0.09528542,rest,0,,MVC,
15,-1,0,1,0,-2,-2,0,-2,2025-04-23 14:36:31.334900,90b60c0f-8a8c-405e-968e-678efe78acab,684,,,,,0.2459284,0.6997032,-0.09528542,rest,0,,MVC,
16,-1,-3,1,0,0,2,0,-2,2025-04-23 14:36:31.345900,90b60c0f-8a8c-405e-968e-678efe78acab,685,,,,,0.2461156,0.6996529,-0.09529066,rest,0,,MVC,
17,-1,0,-1,-3,-3,-2,-1,-1,2025-04-23 14:36:31.345900,90b60c0f-8a8c-405e-968e-678efe78acab,685,,,,,0.2461156,0.6996529,-0.09529066,rest,0,,MVC,
18,-3,0,-4,-3,-2,-1,0,-1,2025-04-23 14:36:31.346900,90b60c0f-8a8c-405e-968e-678efe78acab,685,,,,,0.2461156,0.6996529,-0.09529066,rest,0,,MVC,
19,0,-1,-1,0,1,2,1,0,2025-04-23 14:36:31.346900,90b60c0f-8a8c-405e-968e-678efe78acab,685,,,,,0.2461156,0.6996529,-0.09529066,rest,0,,MVC,
20,-1,0,-2,-4,0,0,-1,-1,2025-04-23 14:36:31.368800,90b60c0f-8a8c-405e-968e-678efe78acab,687,,,,,0.2466248,0.6992306,-0.09533501,rest,0,,MVC,
21,-1,-2,-2,-4,-3,-2,-1,-1,2025-04-23 14:36:31.368800,90b60c0f-8a8c-405e-968e-678efe78acab,687,,,,,0.2466248,0.6992306,-0.09533501,rest,0,,MVC,
22,0,-1,0,0,-1,-1,0,-3,2025-04-23 14:36:31.368800,90b60c0f-8a8c-405e-968e-678efe78acab,687,,,,,0.2466248,0.6992306,-0.09533501,rest,0,,MVC,
23,0,1,-1,-3,-5,-4,-2,-1,2025-04-23 14:36:31.369800,90b60c0f-8a8c-405e-968e-678efe78acab,687,,,,,0.2466248,0.6992306,-0.09533501,rest,0,,MVC,
24,0,1,2,3,0,0,1,-2,2025-04-23 14:36:31.399800,90b60c0f-8a8c-405e-968e-678efe78acab,690,,,,,0.2467552,0.6984706,-0.09574604,rest,0,,MVC,
25,-1,-2,-3,1,2,3,0,-1,2025-04-23 14:36:31.399800,90b60c0f-8a8c-405e-968e-678efe78acab,690,,,,,0.2467552,0.6984706,-0.09574604,rest,0,,MVC,
26,-2,-3,-1,0,0,0,-1,-1,2025-04-23 14:36:31.399800,90b60c0f-8a8c-405e-968e-678efe78acab,690,,,,,0.2467552,0.6984706,-0.09574604,rest,0,,MVC,
27,-1,-2,-2,-2,-1,-1,0,0,2025-04-23 14:36:31.399800,90b60c0f-8a8c-405e-968e-678efe78acab,690,,,,,0.2467552,0.6984706,-0.09574604,rest,0,,MVC,
28,-2,-3,0,-3,-1,-2,-3,-1,2025-04-23 14:36:31.405700,90b60c0f-8a8c-405e-968e-678efe78acab,691,,,,,0.2466856,0.6982073,-0.09589672,rest,0,,MVC,
29,-1,-1,1,-1,-1,-3,-3,2,2025-04-23 14:36:31.405700,90b60c0f-8a8c-405e-968e-678efe78acab,691,,,,,0.2466856,0.6982073,-0.09589672,rest,0,,MVC,
30,1,-1,-1,0,0,1,-1,-2,2025-04-23 14:36:31.406700,90b60c0f-8a8c-405e-968e-678efe78acab,691,,,,,0.2466856,0.6982073,-0.09589672,rest,0,,MVC,
31,0,-2,-1,0,0,0,-1,-1,2025-04-23 14:36:31.406700,90b60c0f-8a8c-405e-968e-678efe78acab,691,,,,,0.2466856,0.6982073,-0.09589672,rest,0,,MVC,
32,1,0,-1,-1,0,-1,1,-2,2025-04-23 14:36:31.429200,90b60c0f-8a8c-405e-968e-678efe78acab,693,,,,,0.246352,0.6976198,-0.095577,rest,0,,MVC,
33,-2,1,-1,-2,-1,1,-1,-2,2025-04-23 14:36:31.429200,90b60c0f-8a8c-405e-968e-678efe78acab,693,,,,,0.246352,0.6976198,-0.095577,rest,0,,MVC,
34,-1,-2,-2,-1,-1,-1,-1,0,2025-04-23 14:36:31.436200,90b60c0f-8a8c-405e-968e-678efe78acab,693,,,,,0.246352,0.6976198,-0.095577,rest,0,,MVC,
35,0,-1,-1,-2,-1,-2,0,0,2025-04-23 14:36:31.436200,90b60c0f-8a8c-405e-968e-678efe78acab,693,,,,,0.246352,0.6976198,-0.095577,rest,0,,MVC,
36,-1,-1,-1,0,2,-1,1,0,2025-04-23 14:36:31.451100,90b60c0f-8a8c-405e-968e-678efe78acab,695,,,,,0.2458988,0.696807,-0.09532666,rest,0,,MVC,
37,-1,0,0,-1,-2,-1,0,0,2025-04-23 14:36:31.451100,90b60c0f-8a8c-405e-968e-678efe78acab,695,,,,,0.2458988,0.696807,-0.09532666,rest,0,,MVC,
38,0,-2,0,1,-2,-2,-1,0,2025-04-23 14:36:31.452100,90b60c0f-8a8c-405e-968e-678efe78acab,695,,,,,0.2458988,0.696807,-0.09532666,rest,0,,MVC,
39,-1,-1,0,0,-1,0,-1,-1,2025-04-23 14:36:31.452100,90b60c0f-8a8c-405e-968e-678efe78acab,695,,,,,0.2458988,0.696807,-0.09532666,rest,0,,MVC,
40,0,-2,-1,1,-2,1,-2,1,2025-04-23 14:36:31.466100,90b60c0f-8a8c-405e-968e-678efe78acab,696,,,,,0.245914,0.6965326,-0.09495044,rest,0,,MVC,
41,0,-1,-2,-2,-1,-2,0,-1,2025-04-23 14:36:31.466100,90b60c0f-8a8c-405e-968e-678efe78acab,696,,,,,0.245914,0.6965326,-0.09495044,rest,0,,MVC,
42,0,-1,0,-1,0,0,-1,-1,2025-04-23 14:36:31.467100,90b60c0f-8a8c-405e-968e-678efe78acab,696,,,,,0.245914,0.6965326,-0.09495044,rest,0,,MVC,
43,-1,0,-2,-1,0,0,-1,-1,2025-04-23 14:36:31.467100,90b60c0f-8a8c-405e-968e-678efe78acab,696,,,,,0.245914,0.6965326,-0.09495044,rest,0,,MVC,
