EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
-1;-2;-1;-1;-1;-1;-1;-1;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.5967
-2;0;0;-2;0;0;0;0;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6007
-2;-1;1;-1;0;-1;-1;-1;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6306
-2;-2;0;-2;-1;-2;-1;-2;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6306
-2;0;-2;1;0;0;-1;-1;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6405
0;-1;-1;0;-2;0;-1;1;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6405
1;-2;-2;-3;-3;-1;-1;1;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6415
0;1;-1;-1;-2;0;-2;-3;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6415
0;0;0;-1;0;-2;0;0;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6425
-1;0;-1;-1;-2;0;0;-1;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6435
-2;0;0;0;0;-1;-1;-3;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6485
-1;0;-1;1;-1;-1;0;1;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6485
-1;0;-1;1;-1;-2;-1;-2;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6535
-1;-1;-1;-1;-1;1;1;-1;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6535
2;0;-1;0;0;0;-2;-1;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6705
-1;-1;-1;0;0;-2;-1;-2;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6705
1;-1;-1;-1;0;0;-1;-1;90b60c0f-8a8c-405e-968e-678efe78acab;2025-04-23 14:36:22.6735
