ID;Timestamp;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
ecb6828d-9adc-47d2-9431-444beb0c54c9;2025-04-23 13:53:16.1934;1;None;;;;0;0;0;fist;0;;Moving to rest position;
ecb6828d-9adc-47d2-9431-444beb0c54c9;2025-04-23 13:53:20.8401;2;None;;;;0;0;0;fist;0;;Moving to rest position;
ecb6828d-9adc-47d2-9431-444beb0c54c9;2025-04-23 13:53:20.8750;3;None;;;;0.2219107;0.6419487;0.09083891;fist;0;;Moving to rest position;
ecb6828d-9adc-47d2-9431-444beb0c54c9;2025-04-23 13:53:20.8889;4;None;;;;0.2218703;0.641992;0.09084558;fist;0;;Moving to rest position;
ecb6828d-9adc-47d2-9431-444beb0c54c9;2025-04-23 13:53:20.8959;5;None;;;;0.2218129;0.6420232;0.09088373;fist;0;;Moving to rest position;
ecb6828d-9adc-47d2-9431-444beb0c54c9;2025-04-23 13:53:20.9074;6;None;;;;0.2218328;0.6420286;0.09077311;fist;0;;Moving to rest position;
ecb6828d-9adc-47d2-9431-444beb0c54c9;2025-04-23 13:53:20.9183;7;None;;;;0.2218407;0.642004;0.09073544;fist;0;;Moving to rest position;
ecb6828d-9adc-47d2-9431-444beb0c54c9;2025-04-23 13:53:20.9293;8;None;;;;0.2217663;0.6420187;0.09072495;fist;0;;Moving to rest position;
ecb6828d-9adc-47d2-9431-444beb0c54c9;2025-04-23 13:53:20.9403;9;None;;;;0.2217425;0.6419437;0.0907259;fist;0;;Moving to rest position;
ecb6828d-9adc-47d2-9431-444beb0c54c9;2025-04-23 13:53:20.9513;10;None;;;;0.221699;0.6419432;0.09068823;fist;0;;Moving to rest position;
ecb6828d-9adc-47d2-9431-444beb0c54c9;2025-04-23 13:53:20.9632;11;None;;;;0.2216204;0.6420093;0.09072804;fist;0;;Moving to rest position;
