Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAtempted;AttemptsInCube;State;Event
0;-6;1;35;-36;-20;-12;3;-11;2025-03-21 13:00:53.989100;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1392;;;;;0.1800227;0.846378;0.16309;extension;0;;MVC;
1;5;-5;-23;11;-36;-24;-14;4;2025-03-21 13:00:53.989100;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1392;;;;;0.1800227;0.846378;0.16309;extension;0;;MVC;
2;12;27;-7;-14;-18;25;4;11;2025-03-21 13:00:53.991100;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1392;;;;;0.1800227;0.846378;0.16309;extension;0;;MVC;
3;10;12;-13;-128;-31;-3;-2;3;2025-03-21 13:00:53.991100;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1392;;;;;0.1800227;0.846378;0.16309;extension;0;;MVC;
4;-16;-26;12;30;-44;-17;-20;-17;2025-03-21 13:00:54.002600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1393;;;;;0.1797456;0.8466824;0.1630051;extension;0;;MVC;
5;0;-2;36;19;-19;16;18;-2;2025-03-21 13:00:54.002600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1393;;;;;0.1797456;0.8466824;0.1630051;extension;0;;MVC;
6;-7;-9;16;-22;-48;9;21;-5;2025-03-21 13:00:54.011600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1393;;;;;0.1797456;0.8466824;0.1630051;extension;0;;MVC;
7;-6;-26;-122;-79;-14;20;1;-2;2025-03-21 13:00:54.011600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1393;;;;;0.1797456;0.8466824;0.1630051;extension;0;;MVC;
8;11;21;55;79;-13;5;36;12;2025-03-21 13:00:54.026600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1394;;;;;0.1798324;0.8469653;0.1629815;extension;0;;MVC;
9;9;15;78;79;-14;14;-5;3;2025-03-21 13:00:54.026600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1394;;;;;0.1798324;0.8469653;0.1629815;extension;0;;MVC;
10;12;-2;18;-51;-34;-2;6;10;2025-03-21 13:00:54.027600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1394;;;;;0.1798324;0.8469653;0.1629815;extension;0;;MVC;
11;-46;-46;83;-12;-121;-76;-67;-43;2025-03-21 13:00:54.027600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1394;;;;;0.1798324;0.8469653;0.1629815;extension;0;;MVC;
12;4;-3;81;30;2;12;18;12;2025-03-21 13:00:54.049000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1397;;;;;0.1799708;0.8476211;0.1630757;extension;0;;MVC;
13;-18;-42;-101;-21;-28;-3;-17;-9;2025-03-21 13:00:54.049000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1397;;;;;0.1799708;0.8476211;0.1630757;extension;0;;MVC;
14;15;37;53;71;-1;12;10;7;2025-03-21 13:00:54.050000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1397;;;;;0.1799708;0.8476211;0.1630757;extension;0;;MVC;
15;42;71;12;27;8;27;16;32;2025-03-21 13:00:54.051000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1397;;;;;0.1799708;0.8476211;0.1630757;extension;0;;MVC;
16;-36;-47;-17;-16;-78;-54;-24;-31;2025-03-21 13:00:54.062000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1398;;;;;0.1799382;0.8478751;0.162997;extension;0;;MVC;
17;13;30;73;113;2;6;26;17;2025-03-21 13:00:54.063000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1398;;;;;0.1799382;0.8478751;0.162997;extension;0;;MVC;
18;-39;-53;-37;4;-72;-51;-36;-30;2025-03-21 13:00:54.071000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1399;;;;;0.1798693;0.8480511;0.1631498;extension;0;;MVC;
19;11;-4;-84;14;-30;26;24;6;2025-03-21 13:00:54.071000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1399;;;;;0.1798693;0.8480511;0.1631498;extension;0;;MVC;
20;-7;-25;-1;14;15;20;6;1;2025-03-21 13:00:54.085900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1400;;;;;0.1796748;0.8484062;0.1636472;extension;0;;MVC;
21;-6;4;13;-2;-50;-50;-39;-14;2025-03-21 13:00:54.085900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1400;;;;;0.1796748;0.8484062;0.1636472;extension;0;;MVC;
22;-1;-17;-30;22;4;-10;19;8;2025-03-21 13:00:54.093900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1401;;;;;0.179591;0.8485934;0.1637018;extension;0;;MVC;
23;-2;3;49;33;2;7;22;2;2025-03-21 13:00:54.093900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1401;;;;;0.179591;0.8485934;0.1637018;extension;0;;MVC;
24;-2;17;-21;-9;22;31;-1;-2;2025-03-21 13:00:54.108900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1402;;;;;0.1794907;0.8488287;0.1639159;extension;0;;MVC;
25;-10;2;-26;-50;-25;-3;6;-8;2025-03-21 13:00:54.108900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1402;;;;;0.1794907;0.8488287;0.1639159;extension;0;;MVC;
26;6;48;91;37;-1;11;-1;6;2025-03-21 13:00:54.114900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1403;;;;;0.1790472;0.8491249;0.1641347;extension;0;;MVC;
27;-27;-60;-122;-91;-102;-21;-26;-18;2025-03-21 13:00:54.114900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1403;;;;;0.1790472;0.8491249;0.1641347;extension;0;;MVC;
28;18;17;-27;-4;9;-25;-19;5;2025-03-21 13:00:54.130800;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1404;;;;;0.1789849;0.8493398;0.1635721;extension;0;;MVC;
29;0;-15;49;70;-61;16;4;1;2025-03-21 13:00:54.130800;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1404;;;;;0.1789849;0.8493398;0.1635721;extension;0;;MVC;
