EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
27;0;-12;-3;-10;-4;-10;-20;2025-03-28 09:32:43.596400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
4;1;-3;3;-1;2;-1;-5;2025-03-28 09:32:43.601400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-29;-3;10;-2;3;0;7;16;2025-03-28 09:32:43.601400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-5;-4;-3;0;3;2;0;2;2025-03-28 09:32:43.601400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
19;1;-5;3;-3;-3;-6;-11;2025-03-28 09:32:43.601400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
7;0;-12;-5;-7;-4;-5;-8;2025-03-28 09:32:43.601400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-19;-3;-4;-6;3;-1;7;13;2025-03-28 09:32:43.602400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-8;-2;3;0;1;-2;-1;1;2025-03-28 09:32:43.602400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
15;0;-1;-3;-4;-2;-9;-12;2025-03-28 09:32:43.602400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
12;3;1;1;-4;-1;-1;-6;2025-03-28 09:32:43.602400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-22;-5;-5;-13;1;0;4;9;2025-03-28 09:32:43.604400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-7;1;6;-1;0;0;1;5;2025-03-28 09:32:43.604400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
16;2;-2;4;0;1;-4;-10;2025-03-28 09:32:43.624300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
4;1;0;2;-2;-1;-1;-3;2025-03-28 09:32:43.624300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-18;-3;2;11;4;1;4;8;2025-03-28 09:32:43.624300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;-2;2;-2;5;2;0;1;2025-03-28 09:32:43.625300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
13;-1;-4;-3;-6;-3;-4;-10;2025-03-28 09:32:43.637300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;2;1;0;-3;-3;1;0;2025-03-28 09:32:43.637300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-12;1;7;3;3;0;3;5;2025-03-28 09:32:43.653300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
5;5;10;12;6;4;2;1;2025-03-28 09:32:43.653300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
6;-1;-16;2;-2;1;-6;-7;2025-03-28 09:32:43.655300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-4;-8;-11;-15;-7;-6;-5;-5;2025-03-28 09:32:43.655300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-7;-2;1;2;0;-3;-1;0;2025-03-28 09:32:43.671200;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-1;2;2;-4;-1;0;-1;2025-03-28 09:32:43.672200;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-35;-5;5;-3;2;-1;7;18;2025-03-28 09:32:43.705100;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
