Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;-2;-1;1;-3;0;-1;0;-1;2025-03-28 09:33:27.038400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3821;;;;;0.2132136;0.7250178;0.2116077;extension;0;;MVC;
1;-3;-1;-2;-1;-3;0;-2;-1;2025-03-28 09:33:27.038400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3821;;;;;0.2132136;0.7250178;0.2116077;extension;0;;MVC;
2;1;2;12;36;7;-2;-1;0;2025-03-28 09:33:27.040400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3821;;;;;0.2132136;0.7250178;0.2116077;extension;0;;MVC;
3;-5;-5;-20;-55;-7;3;-1;-2;2025-03-28 09:33:27.040400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3821;;;;;0.2132136;0.7250178;0.2116077;extension;0;;MVC;
4;2;3;8;17;6;3;2;3;2025-03-28 09:33:27.061400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3822;;;;;0.2129666;0.725333;0.2116992;extension;0;;MVC;
5;-7;-15;-26;-67;-21;-13;-7;-5;2025-03-28 09:33:27.061400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3822;;;;;0.2129666;0.725333;0.2116992;extension;0;;MVC;
6;8;12;19;26;17;14;6;4;2025-03-28 09:33:27.062400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3822;;;;;0.2129666;0.725333;0.2116992;extension;0;;MVC;
7;-3;-8;-6;13;-12;-8;-6;-3;2025-03-28 09:33:27.062400;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3822;;;;;0.2129666;0.725333;0.2116992;extension;0;;MVC;
8;-3;-5;-8;-35;-8;-4;-3;-3;2025-03-28 09:33:27.075300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3823;;;;;0.2127435;0.7256106;0.211638;extension;0;;MVC;
9;2;4;2;54;23;2;0;0;2025-03-28 09:33:27.075300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3823;;;;;0.2127435;0.7256106;0.211638;extension;0;;MVC;
10;-3;-3;-8;-15;-10;7;-4;-1;2025-03-28 09:33:27.084300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3824;;;;;0.2123438;0.7260286;0.2120354;extension;0;;MVC;
11;4;6;10;21;9;3;7;2;2025-03-28 09:33:27.084300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3824;;;;;0.2123438;0.7260286;0.2120354;extension;0;;MVC;
12;-2;-2;-7;-7;-4;3;-3;3;2025-03-28 09:33:27.098300;6b4b3bfd-2620-42bf-b6fc-1da517a3b17e;3826;;;;;0.2119343;0.7263087;0.2123289;extension;0;;MVC;
