EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
-3;-3;0;2;-1;1;-1;-1;2025-03-28 10:03:49.405700;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-10;-3;0;-2;-1;0;1;-1;2025-03-28 10:03:49.408700;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-6;4;2;5;2;2;3;0;2025-03-28 10:03:49.408700;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
11;-3;-6;-13;-5;-3;-4;1;2025-03-28 10:03:49.409700;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
2;1;-1;1;0;-2;0;1;2025-03-28 10:03:49.409700;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-4;-1;-3;0;1;0;-3;-2;2025-03-28 10:03:49.409700;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
3;-1;-2;-6;-4;-2;-2;-2;2025-03-28 10:03:49.409700;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-6;-2;2;1;1;1;1;-2;2025-03-28 10:03:49.409700;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
0;2;1;-3;-4;-2;-4;-1;2025-03-28 10:03:49.414600;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
3;-4;-9;-6;-2;-1;2;3;2025-03-28 10:03:49.414600;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
0;1;1;0;1;-1;-3;-6;2025-03-28 10:03:49.418600;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
2;2;3;2;1;0;2;6;2025-03-28 10:03:49.418600;e9f3de45-69d8-4557-8170-7910700a2bbf;1;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-1;0;-2;-3;-2;-1;1;2;2025-03-28 10:03:49.428600;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-31;-9;-5;1;1;-2;-3;-14;2025-03-28 10:03:49.428600;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
8;4;1;1;-2;0;0;4;2025-03-28 10:03:49.442600;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
23;5;2;5;3;1;-5;-15;2025-03-28 10:03:49.442600;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-2;-3;-2;1;2;1;3;16;2025-03-28 10:03:49.449500;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-4;3;3;2;1;0;1;2;2025-03-28 10:03:49.449500;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
0;-2;-2;-1;1;-1;1;2;2025-03-28 10:03:49.463500;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-9;-5;-5;-4;-1;-1;-3;0;2025-03-28 10:03:49.464500;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
1;0;-3;-6;-2;1;-2;-7;2025-03-28 10:03:49.473500;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
5;1;1;2;-3;-2;-3;-5;2025-03-28 10:03:49.473500;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
5;0;0;0;0;1;3;5;2025-03-28 10:03:49.494400;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-7;-1;1;0;-2;-3;-3;-4;2025-03-28 10:03:49.495400;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-1;0;0;3;1;0;0;-2;2025-03-28 10:03:49.528000;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
0;0;2;1;2;2;1;0;2025-03-28 10:03:49.528000;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
0;5;-4;-2;-2;0;0;-5;2025-03-28 10:03:49.529000;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-3;-6;-3;-7;-4;-3;-1;0;2025-03-28 10:03:49.529000;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
11;4;0;-1;-1;-1;-4;-6;2025-03-28 10:03:49.533000;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-2;0;-2;1;0;1;-2;-3;2025-03-28 10:03:49.533000;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-4;-5;-6;-3;0;0;0;4;2025-03-28 10:03:49.533000;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-2;-3;-1;0;1;0;-2;-1;2025-03-28 10:03:49.533000;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
7;-4;-4;-4;-4;-2;-2;-1;2025-03-28 10:03:49.538900;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-19;-4;-2;-1;-1;-3;-3;-11;2025-03-28 10:03:49.538900;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
2;3;1;1;-1;0;-2;-5;2025-03-28 10:03:49.545900;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-1;-2;1;0;-1;-1;1;0;2025-03-28 10:03:49.545900;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-4;0;1;3;0;1;1;2;2025-03-28 10:03:49.554900;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
7;1;0;-4;-4;-4;-2;0;2025-03-28 10:03:49.554900;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-3;0;0;-1;-1;-1;0;-1;2025-03-28 10:03:49.577800;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
1;0;2;2;1;0;0;2;2025-03-28 10:03:49.577800;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
0;1;-1;-1;-2;-1;-1;1;2025-03-28 10:03:49.578800;e9f3de45-69d8-4557-8170-7910700a2bbf;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
