Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;16;1;-4;8;-2;-5;6;25;2025-03-28 10:04:07.525100;e9f3de45-69d8-4557-8170-7910700a2bbf;1575;;;;;0.2092319;0.7680244;0.201921;pinch;0;;MVC;
1;-16;2;6;22;-21;-9;-3;-28;2025-03-28 10:04:07.526100;e9f3de45-69d8-4557-8170-7910700a2bbf;1575;;;;;0.2092319;0.7680244;0.201921;pinch;0;;MVC;
2;-22;-15;-6;-20;-11;-3;-24;-50;2025-03-28 10:04:07.534100;e9f3de45-69d8-4557-8170-7910700a2bbf;1575;;;;;0.2092319;0.7680244;0.201921;pinch;0;;MVC;
3;-7;-1;0;-16;-3;-6;-10;-19;2025-03-28 10:04:07.534100;e9f3de45-69d8-4557-8170-7910700a2bbf;1575;;;;;0.2092319;0.7680244;0.201921;pinch;0;;MVC;
4;6;6;26;34;4;2;4;14;2025-03-28 10:04:07.549100;e9f3de45-69d8-4557-8170-7910700a2bbf;1576;;;;;0.2092134;0.7675937;0.2015228;pinch;0;;MVC;
5;16;1;-13;15;7;0;13;26;2025-03-28 10:04:07.549100;e9f3de45-69d8-4557-8170-7910700a2bbf;1576;;;;;0.2092134;0.7675937;0.2015228;pinch;0;;MVC;
6;-15;-6;-24;-55;-5;-1;0;10;2025-03-28 10:04:07.551100;e9f3de45-69d8-4557-8170-7910700a2bbf;1577;;;;;0.2091743;0.7662539;0.2011166;pinch;0;;MVC;
7;-1;-2;1;0;-3;0;1;1;2025-03-28 10:04:07.551100;e9f3de45-69d8-4557-8170-7910700a2bbf;1577;;;;;0.2091743;0.7662539;0.2011166;pinch;0;;MVC;
8;3;5;7;10;4;2;0;0;2025-03-28 10:04:07.571500;e9f3de45-69d8-4557-8170-7910700a2bbf;1580;;;;;0.2087711;0.7649194;0.2002769;pinch;0;;MVC;
9;3;2;9;11;11;0;2;11;2025-03-28 10:04:07.572500;e9f3de45-69d8-4557-8170-7910700a2bbf;1580;;;;;0.2087711;0.7649194;0.2002769;pinch;0;;MVC;
10;-4;-5;-12;-20;1;-3;-6;-7;2025-03-28 10:04:07.573500;e9f3de45-69d8-4557-8170-7910700a2bbf;1580;;;;;0.2087711;0.7649194;0.2002769;pinch;0;;MVC;
11;6;1;5;17;3;6;6;4;2025-03-28 10:04:07.573500;e9f3de45-69d8-4557-8170-7910700a2bbf;1580;;;;;0.2087711;0.7649194;0.2002769;pinch;0;;MVC;
12;-7;-1;2;-5;-2;0;6;-5;2025-03-28 10:04:07.585500;e9f3de45-69d8-4557-8170-7910700a2bbf;1581;;;;;0.2088934;0.7635857;0.199338;pinch;0;;MVC;
13;-2;-2;4;-6;-1;-1;-6;-4;2025-03-28 10:04:07.585500;e9f3de45-69d8-4557-8170-7910700a2bbf;1581;;;;;0.2088934;0.7635857;0.199338;pinch;0;;MVC;
14;6;2;1;7;2;-3;0;10;2025-03-28 10:04:07.594500;e9f3de45-69d8-4557-8170-7910700a2bbf;1582;;;;;0.208831;0.7629986;0.1990473;pinch;0;;MVC;
15;4;8;9;9;3;-5;3;2;2025-03-28 10:04:07.594500;e9f3de45-69d8-4557-8170-7910700a2bbf;1582;;;;;0.208831;0.7629986;0.1990473;pinch;0;;MVC;
16;-8;-12;-11;-7;2;-4;-8;-10;2025-03-28 10:04:07.610400;e9f3de45-69d8-4557-8170-7910700a2bbf;1583;;;;;0.2090269;0.7624723;0.1988842;pinch;0;;MVC;
17;6;1;-1;-26;-12;2;4;15;2025-03-28 10:04:07.610400;e9f3de45-69d8-4557-8170-7910700a2bbf;1583;;;;;0.2090269;0.7624723;0.1988842;pinch;0;;MVC;
18;17;2;9;54;47;-8;10;22;2025-03-28 10:04:07.611400;e9f3de45-69d8-4557-8170-7910700a2bbf;1584;;;;;0.2092686;0.7609007;0.1977851;pinch;0;;MVC;
19;-22;-7;-2;-25;-50;9;-5;-16;2025-03-28 10:04:07.611400;e9f3de45-69d8-4557-8170-7910700a2bbf;1584;;;;;0.2092686;0.7609007;0.1977851;pinch;0;;MVC;
20;-19;-5;-31;-86;-20;5;-19;-47;2025-03-28 10:04:07.639400;e9f3de45-69d8-4557-8170-7910700a2bbf;1586;;;;;0.2090978;0.759077;0.197593;pinch;0;;MVC;
21;-33;-24;-9;-14;-14;-16;-18;-42;2025-03-28 10:04:07.639400;e9f3de45-69d8-4557-8170-7910700a2bbf;1586;;;;;0.2090978;0.759077;0.197593;pinch;0;;MVC;
22;27;17;25;59;72;19;24;58;2025-03-28 10:04:07.646300;e9f3de45-69d8-4557-8170-7910700a2bbf;1587;;;;;0.2088103;0.7575431;0.1970644;pinch;0;;MVC;
23;50;23;12;-13;-37;3;29;95;2025-03-28 10:04:07.646300;e9f3de45-69d8-4557-8170-7910700a2bbf;1587;;;;;0.2088103;0.7575431;0.1970644;pinch;0;;MVC;
24;-50;-7;3;55;-7;-37;-45;-102;2025-03-28 10:04:07.647300;e9f3de45-69d8-4557-8170-7910700a2bbf;1587;;;;;0.2088103;0.7575431;0.1970644;pinch;0;;MVC;
25;-20;-12;-2;17;30;6;-1;0;2025-03-28 10:04:07.647300;e9f3de45-69d8-4557-8170-7910700a2bbf;1587;;;;;0.2088103;0.7575431;0.1970644;pinch;0;;MVC;
26;-31;12;4;-39;-33;19;-91;-128;2025-03-28 10:04:07.654300;e9f3de45-69d8-4557-8170-7910700a2bbf;1587;;;;;0.2088103;0.7575431;0.1970644;pinch;0;;MVC;
27;-28;-53;-32;-65;-11;-14;86;69;2025-03-28 10:04:07.654300;e9f3de45-69d8-4557-8170-7910700a2bbf;1587;;;;;0.2088103;0.7575431;0.1970644;pinch;0;;MVC;
28;61;31;45;74;11;16;42;52;2025-03-28 10:04:07.670800;e9f3de45-69d8-4557-8170-7910700a2bbf;1589;;;;;0.207682;0.7554183;0.1970434;pinch;0;;MVC;
29;60;29;-14;4;25;16;-8;32;2025-03-28 10:04:07.670800;e9f3de45-69d8-4557-8170-7910700a2bbf;1589;;;;;0.207682;0.7554183;0.1970434;pinch;0;;MVC;
30;-17;-20;-14;-30;-33;-18;-37;-52;2025-03-28 10:04:07.675800;e9f3de45-69d8-4557-8170-7910700a2bbf;1589;;;;;0.207682;0.7554183;0.1970434;pinch;0;;MVC;
31;-27;17;12;36;17;11;46;29;2025-03-28 10:04:07.675800;e9f3de45-69d8-4557-8170-7910700a2bbf;1589;;;;;0.207682;0.7554183;0.1970434;pinch;0;;MVC;
32;2;-32;-28;-30;-17;-25;-68;-83;2025-03-28 10:04:07.691700;e9f3de45-69d8-4557-8170-7910700a2bbf;1591;;;;;0.2091736;0.7519432;0.1968653;pinch;0;;MVC;
33;-9;-36;-1;3;-6;-4;78;127;2025-03-28 10:04:07.691700;e9f3de45-69d8-4557-8170-7910700a2bbf;1591;;;;;0.2091736;0.7519432;0.1968653;pinch;0;;MVC;
34;3;12;7;5;-1;-20;-52;-49;2025-03-28 10:04:07.693700;e9f3de45-69d8-4557-8170-7910700a2bbf;1591;;;;;0.2091736;0.7519432;0.1968653;pinch;0;;MVC;
35;34;47;84;77;25;26;15;54;2025-03-28 10:04:07.693700;e9f3de45-69d8-4557-8170-7910700a2bbf;1591;;;;;0.2091736;0.7519432;0.1968653;pinch;0;;MVC;
36;-33;0;-1;24;12;-10;-90;-82;2025-03-28 10:04:07.705700;e9f3de45-69d8-4557-8170-7910700a2bbf;1592;;;;;0.2087432;0.7497501;0.1970282;pinch;0;;MVC;
37;-66;-65;-77;-46;-13;-33;-12;-73;2025-03-28 10:04:07.705700;e9f3de45-69d8-4557-8170-7910700a2bbf;1592;;;;;0.2087432;0.7497501;0.1970282;pinch;0;;MVC;
38;9;12;34;18;-25;5;74;108;2025-03-28 10:04:07.714700;e9f3de45-69d8-4557-8170-7910700a2bbf;1593;;;;;0.2090284;0.7470312;0.1965618;pinch;0;;MVC;
39;9;-24;-46;-45;-18;-21;-26;-65;2025-03-28 10:04:07.714700;e9f3de45-69d8-4557-8170-7910700a2bbf;1593;;;;;0.2090284;0.7470312;0.1965618;pinch;0;;MVC;
40;26;34;42;97;80;27;56;127;2025-03-28 10:04:07.729600;e9f3de45-69d8-4557-8170-7910700a2bbf;1594;;;;;0.2089936;0.7449585;0.1970222;pinch;0;;MVC;
41;-14;-10;-16;-42;-31;3;-90;-128;2025-03-28 10:04:07.729600;e9f3de45-69d8-4557-8170-7910700a2bbf;1594;;;;;0.2089936;0.7449585;0.1970222;pinch;0;;MVC;
42;-9;7;9;-19;-6;10;43;90;2025-03-28 10:04:07.730600;e9f3de45-69d8-4557-8170-7910700a2bbf;1594;;;;;0.2089936;0.7449585;0.1970222;pinch;0;;MVC;
43;33;0;29;58;49;-5;10;69;2025-03-28 10:04:07.730600;e9f3de45-69d8-4557-8170-7910700a2bbf;1594;;;;;0.2089936;0.7449585;0.1970222;pinch;0;;MVC;
44;15;-2;52;-52;-52;-4;30;53;2025-03-28 10:04:07.775500;e9f3de45-69d8-4557-8170-7910700a2bbf;1598;;;;;0.2080119;0.7371571;0.2002575;pinch;0;;MVC;
45;-33;-13;2;-79;-9;21;-7;0;2025-03-28 10:04:07.775500;e9f3de45-69d8-4557-8170-7910700a2bbf;1598;;;;;0.2080119;0.7371571;0.2002575;pinch;0;;MVC;
