EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
-1;0;0;-2;-4;-3;-1;-1;2025-03-28 09:52:26.267900;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-1;0;-1;-4;-17;-3;-1;0;2025-03-28 09:52:26.270900;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
0;-1;-1;0;12;3;1;3;2025-03-28 09:52:26.270900;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-3;-2;-1;-1;-3;-2;-5;-5;2025-03-28 09:52:26.270900;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
0;1;2;0;0;-2;0;2;2025-03-28 09:52:26.280800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-1;0;0;1;1;-1;-1;-4;2025-03-28 09:52:26.281800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
0;-1;0;2;-4;-1;3;5;2025-03-28 09:52:26.282800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-3;-1;0;0;0;1;-2;-4;2025-03-28 09:52:26.282800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
1;0;-1;-1;3;3;4;-1;2025-03-28 09:52:26.284800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-3;4;-2;0;0;-4;-3;0;2025-03-28 09:52:26.284800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-3;-8;0;-2;-3;0;2;-3;2025-03-28 09:52:26.296800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
5;-1;-2;0;2;0;2;13;2025-03-28 09:52:26.296800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
3;8;3;3;4;1;3;2;2025-03-28 09:52:26.299800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-10;-4;0;1;-4;-3;-3;-14;2025-03-28 09:52:26.299800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-3;-7;-4;2;-5;-5;-6;-1;2025-03-28 09:52:26.314800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-2;-4;-1;-4;-4;0;-2;-1;2025-03-28 09:52:26.314800;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-4;-3;-2;-3;-3;-2;-7;-4;2025-03-28 09:52:26.324700;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
0;-1;-4;-3;0;0;1;-4;2025-03-28 09:52:26.324700;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-2;4;3;-1;0;0;-4;-2;2025-03-28 09:52:26.340300;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
1;5;7;3;-1;-4;-1;-1;2025-03-28 09:52:26.340300;4b26d66d-7be4-4b41-8e75-3f9f1e83463d;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
