Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAtempted;AttemptsInCube;State;Event
0;2;0;12;3;-24;1;2;0;2025-03-21 12:36:01.312800;0a988298-c267-4dbe-8227-69769b3a8089;2031;;;;;0.2712575;0.6920784;0.1563396;pronation;0;;MVC;
1;-3;-3;-12;-14;-21;-9;-6;-2;2025-03-21 12:36:01.312800;0a988298-c267-4dbe-8227-69769b3a8089;2031;;;;;0.2712575;0.6920784;0.1563396;pronation;0;;MVC;
2;-3;-2;-1;0;-29;6;0;1;2025-03-21 12:36:01.318800;0a988298-c267-4dbe-8227-69769b3a8089;2031;;;;;0.2712575;0.6920784;0.1563396;pronation;0;;MVC;
3;-2;3;5;2;-34;-2;-4;-1;2025-03-21 12:36:01.318800;0a988298-c267-4dbe-8227-69769b3a8089;2031;;;;;0.2712575;0.6920784;0.1563396;pronation;0;;MVC;
4;-1;-3;-1;8;-30;4;2;1;2025-03-21 12:36:01.327800;0a988298-c267-4dbe-8227-69769b3a8089;2032;;;;;0.2722337;0.6957878;0.1561866;pronation;0;;MVC;
5;-3;-3;-7;-15;-43;-4;-2;-3;2025-03-21 12:36:01.327800;0a988298-c267-4dbe-8227-69769b3a8089;2032;;;;;0.2722337;0.6957878;0.1561866;pronation;0;;MVC;
6;-3;-3;-3;-5;-48;-9;-6;-4;2025-03-21 12:36:01.342700;0a988298-c267-4dbe-8227-69769b3a8089;2033;;;;;0.2726217;0.6985132;0.156368;pronation;0;;MVC;
7;0;-2;-2;-2;-43;1;-1;-2;2025-03-21 12:36:01.342700;0a988298-c267-4dbe-8227-69769b3a8089;2033;;;;;0.2726217;0.6985132;0.156368;pronation;0;;MVC;
8;-2;-2;2;14;-46;5;2;-1;2025-03-21 12:36:01.344700;0a988298-c267-4dbe-8227-69769b3a8089;2033;;;;;0.2726217;0.6985132;0.156368;pronation;0;;MVC;
9;1;-1;-5;-18;-40;-4;-4;1;2025-03-21 12:36:01.344700;0a988298-c267-4dbe-8227-69769b3a8089;2033;;;;;0.2726217;0.6985132;0.156368;pronation;0;;MVC;
10;0;-3;0;4;-46;3;0;-1;2025-03-21 12:36:01.364700;0a988298-c267-4dbe-8227-69769b3a8089;2036;;;;;0.2729267;0.7031907;0.1565533;pronation;0;;MVC;
11;-2;0;0;6;-53;-9;-2;-3;2025-03-21 12:36:01.364700;0a988298-c267-4dbe-8227-69769b3a8089;2036;;;;;0.2729267;0.7031907;0.1565533;pronation;0;;MVC;
12;1;2;8;11;-42;0;-1;-1;2025-03-21 12:36:01.372700;0a988298-c267-4dbe-8227-69769b3a8089;2036;;;;;0.2729267;0.7031907;0.1565533;pronation;0;;MVC;
13;-3;-1;-8;-8;-47;0;0;-1;2025-03-21 12:36:01.372700;0a988298-c267-4dbe-8227-69769b3a8089;2036;;;;;0.2729267;0.7031907;0.1565533;pronation;0;;MVC;
14;-2;-2;-6;5;-61;-7;-4;-3;2025-03-21 12:36:01.378700;0a988298-c267-4dbe-8227-69769b3a8089;2037;;;;;0.2728536;0.7058235;0.1568854;pronation;0;;MVC;
15;1;-2;1;-8;-67;2;1;1;2025-03-21 12:36:01.379700;0a988298-c267-4dbe-8227-69769b3a8089;2037;;;;;0.2728536;0.7058235;0.1568854;pronation;0;;MVC;
16;1;-1;2;1;-35;2;-1;-1;2025-03-21 12:36:01.387600;0a988298-c267-4dbe-8227-69769b3a8089;2038;;;;;0.272748;0.708681;0.1572857;pronation;0;;MVC;
17;-1;1;2;5;-30;-5;-3;1;2025-03-21 12:36:01.388600;0a988298-c267-4dbe-8227-69769b3a8089;2038;;;;;0.272748;0.708681;0.1572857;pronation;0;;MVC;
18;-3;-1;-1;0;-21;-2;-1;-1;2025-03-21 12:36:01.402600;0a988298-c267-4dbe-8227-69769b3a8089;2039;;;;;0.2725731;0.7114033;0.1571531;pronation;0;;MVC;
19;-1;-3;-7;2;-20;5;4;0;2025-03-21 12:36:01.402600;0a988298-c267-4dbe-8227-69769b3a8089;2039;;;;;0.2725731;0.7114033;0.1571531;pronation;0;;MVC;
20;0;0;0;-3;-30;2;2;-2;2025-03-21 12:36:01.408600;0a988298-c267-4dbe-8227-69769b3a8089;2040;;;;;0.2721165;0.7142174;0.1574478;pronation;0;;MVC;
21;-2;-2;2;10;-42;-3;-2;-3;2025-03-21 12:36:01.409600;0a988298-c267-4dbe-8227-69769b3a8089;2040;;;;;0.2721165;0.7142174;0.1574478;pronation;0;;MVC;
22;0;0;-5;-5;-11;-8;-3;-1;2025-03-21 12:36:01.425600;0a988298-c267-4dbe-8227-69769b3a8089;2041;;;;;0.2716795;0.7173334;0.1579535;pronation;0;;MVC;
23;-3;-3;-2;-3;-18;2;-1;-2;2025-03-21 12:36:01.425600;0a988298-c267-4dbe-8227-69769b3a8089;2041;;;;;0.2716795;0.7173334;0.1579535;pronation;0;;MVC;
24;-1;-2;2;6;13;6;2;-1;2025-03-21 12:36:01.426600;0a988298-c267-4dbe-8227-69769b3a8089;2041;;;;;0.2716795;0.7173334;0.1579535;pronation;0;;MVC;
25;0;-1;5;-7;-7;-4;0;1;2025-03-21 12:36:01.427600;0a988298-c267-4dbe-8227-69769b3a8089;2041;;;;;0.2716795;0.7173334;0.1579535;pronation;0;;MVC;
26;1;-1;2;-12;-10;2;0;2;2025-03-21 12:36:01.439500;0a988298-c267-4dbe-8227-69769b3a8089;2042;;;;;0.2711451;0.7198107;0.1575189;pronation;0;;MVC;
27;-4;-5;-6;12;-1;-6;-5;-4;2025-03-21 12:36:01.439500;0a988298-c267-4dbe-8227-69769b3a8089;2042;;;;;0.2711451;0.7198107;0.1575189;pronation;0;;MVC;
28;-2;-2;-1;-8;-42;-8;-12;-2;2025-03-21 12:36:01.462500;0a988298-c267-4dbe-8227-69769b3a8089;2045;;;;;0.2692342;0.7277465;0.1579647;pronation;0;;MVC;
29;0;0;1;4;-55;2;10;1;2025-03-21 12:36:01.462500;0a988298-c267-4dbe-8227-69769b3a8089;2045;;;;;0.2692342;0.7277465;0.1579647;pronation;0;;MVC;
30;-1;-2;-2;-8;-41;1;2;2;2025-03-21 12:36:01.463500;0a988298-c267-4dbe-8227-69769b3a8089;2045;;;;;0.2692342;0.7277465;0.1579647;pronation;0;;MVC;
31;2;0;3;-1;-42;-1;-1;-1;2025-03-21 12:36:01.463500;0a988298-c267-4dbe-8227-69769b3a8089;2045;;;;;0.2692342;0.7277465;0.1579647;pronation;0;;MVC;
32;0;-3;-3;6;-77;-3;-3;-3;2025-03-21 12:36:01.470400;0a988298-c267-4dbe-8227-69769b3a8089;2045;;;;;0.2692342;0.7277465;0.1579647;pronation;0;;MVC;
33;-2;-3;-3;0;-47;-1;-2;-1;2025-03-21 12:36:01.470400;0a988298-c267-4dbe-8227-69769b3a8089;2045;;;;;0.2692342;0.7277465;0.1579647;pronation;0;;MVC;
34;-1;1;-2;-10;-66;-1;-3;-1;2025-03-21 12:36:01.486400;0a988298-c267-4dbe-8227-69769b3a8089;2047;;;;;0.2671492;0.7328999;0.1583421;pronation;0;;MVC;
35;-3;-2;-3;0;-44;-6;0;-3;2025-03-21 12:36:01.486400;0a988298-c267-4dbe-8227-69769b3a8089;2047;;;;;0.2671492;0.7328999;0.1583421;pronation;0;;MVC;
36;0;0;1;9;-10;-7;1;0;2025-03-21 12:36:01.487400;0a988298-c267-4dbe-8227-69769b3a8089;2047;;;;;0.2671492;0.7328999;0.1583421;pronation;0;;MVC;
37;-3;-1;-6;-10;-1;15;-1;-3;2025-03-21 12:36:01.487400;0a988298-c267-4dbe-8227-69769b3a8089;2047;;;;;0.2671492;0.7328999;0.1583421;pronation;0;;MVC;
38;3;3;1;1;-23;-2;0;1;2025-03-21 12:36:01.499400;0a988298-c267-4dbe-8227-69769b3a8089;2048;;;;;0.2662431;0.7349775;0.1575985;pronation;0;;MVC;
39;0;2;4;6;-19;4;3;0;2025-03-21 12:36:01.499400;0a988298-c267-4dbe-8227-69769b3a8089;2048;;;;;0.2662431;0.7349775;0.1575985;pronation;0;;MVC;
40;-1;-1;-5;-16;-19;-5;-1;-1;2025-03-21 12:36:01.508300;0a988298-c267-4dbe-8227-69769b3a8089;2049;;;;;0.2651613;0.7374206;0.1576724;pronation;0;;MVC;
41;-2;-4;-7;-1;-4;-10;-5;-4;2025-03-21 12:36:01.508300;0a988298-c267-4dbe-8227-69769b3a8089;2049;;;;;0.2651613;0.7374206;0.1576724;pronation;0;;MVC;
42;-1;-2;2;-5;1;-2;-3;-1;2025-03-21 12:36:01.522300;0a988298-c267-4dbe-8227-69769b3a8089;2050;;;;;0.2642196;0.7390832;0.1566565;pronation;0;;MVC;
43;-4;-1;-5;1;2;-1;-2;-1;2025-03-21 12:36:01.522300;0a988298-c267-4dbe-8227-69769b3a8089;2050;;;;;0.2642196;0.7390832;0.1566565;pronation;0;;MVC;
44;-1;-1;-1;-4;4;0;-1;0;2025-03-21 12:36:01.529300;0a988298-c267-4dbe-8227-69769b3a8089;2050;;;;;0.2642196;0.7390832;0.1566565;pronation;0;;MVC;
45;2;-2;3;2;-14;-3;0;0;2025-03-21 12:36:01.529300;0a988298-c267-4dbe-8227-69769b3a8089;2050;;;;;0.2642196;0.7390832;0.1566565;pronation;0;;MVC;
46;0;0;-1;2;0;-1;-3;-1;2025-03-21 12:36:01.545200;0a988298-c267-4dbe-8227-69769b3a8089;2052;;;;;0.2620008;0.742517;0.1558278;pronation;0;;MVC;
47;1;0;2;3;1;1;1;1;2025-03-21 12:36:01.545200;0a988298-c267-4dbe-8227-69769b3a8089;2052;;;;;0.2620008;0.742517;0.1558278;pronation;0;;MVC;
48;-1;-1;-3;2;-4;2;2;0;2025-03-21 12:36:01.547200;0a988298-c267-4dbe-8227-69769b3a8089;2052;;;;;0.2620008;0.742517;0.1558278;pronation;0;;MVC;
49;-3;-2;-5;-6;-2;-1;-5;-4;2025-03-21 12:36:01.547200;0a988298-c267-4dbe-8227-69769b3a8089;2052;;;;;0.2620008;0.742517;0.1558278;pronation;0;;MVC;
50;-2;-1;-2;12;-5;-5;-3;-2;2025-03-21 12:36:01.559200;0a988298-c267-4dbe-8227-69769b3a8089;2053;;;;;0.2610347;0.743716;0.1547344;pronation;0;;MVC;
51;-1;-2;2;-5;-4;-1;0;-1;2025-03-21 12:36:01.559200;0a988298-c267-4dbe-8227-69769b3a8089;2053;;;;;0.2610347;0.743716;0.1547344;pronation;0;;MVC;
52;-3;1;-3;-2;-1;3;1;-1;2025-03-21 12:36:01.568200;0a988298-c267-4dbe-8227-69769b3a8089;2054;;;;;0.2600522;0.7450736;0.1541853;pronation;0;;MVC;
53;1;1;1;9;3;-3;0;1;2025-03-21 12:36:01.568200;0a988298-c267-4dbe-8227-69769b3a8089;2054;;;;;0.2600522;0.7450736;0.1541853;pronation;0;;MVC;
54;-2;-3;-4;-13;-7;-4;-1;-1;2025-03-21 12:36:01.582100;0a988298-c267-4dbe-8227-69769b3a8089;2055;;;;;0.2591169;0.7461009;0.1536133;pronation;0;;MVC;
55;-2;-2;-2;-4;0;1;2;-2;2025-03-21 12:36:01.582100;0a988298-c267-4dbe-8227-69769b3a8089;2055;;;;;0.2591169;0.7461009;0.1536133;pronation;0;;MVC;
56;-1;-2;-2;-3;-5;-1;-2;-2;2025-03-21 12:36:01.589100;0a988298-c267-4dbe-8227-69769b3a8089;2056;;;;;0.2578938;0.7471231;0.1528945;pronation;0;;MVC;
57;0;1;2;-4;3;0;4;2;2025-03-21 12:36:01.589100;0a988298-c267-4dbe-8227-69769b3a8089;2056;;;;;0.2578938;0.7471231;0.1528945;pronation;0;;MVC;
