EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;1;-3;-1;2;2;-2;0;2025-03-28 09:47:01.336300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-1;-2;-2;-1;-1;-1;2025-03-28 09:47:01.340300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;-3;-1;1;2;-3;-1;-1;2025-03-28 09:47:01.340300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-2;-3;-9;-8;-2;0;0;2025-03-28 09:47:01.340300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;-1;1;8;11;2;0;1;2025-03-28 09:47:01.340300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-2;-3;-10;-2;1;-1;-1;2025-03-28 09:47:01.341300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;0;-1;-2;-3;-2;-2;2025-03-28 09:47:01.341300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-1;1;-8;-3;-2;-4;2025-03-28 09:47:01.341300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-1;2;10;4;1;0;2025-03-28 09:47:01.348300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-1;-2;2;-1;-3;-1;0;2025-03-28 09:47:01.348300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-2;0;-1;1;1;0;0;2025-03-28 09:47:01.352300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-2;0;-2;-2;-1;-1;-2;2025-03-28 09:47:01.352300;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;1;-1;-4;-7;-3;-2;-1;2025-03-28 09:47:01.362200;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;0;1;2;-1;0;-2;0;2025-03-28 09:47:01.362200;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
1;-2;-2;5;7;1;-1;-2;2025-03-28 09:47:01.367200;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-4;-1;-3;-7;-5;-2;-1;-1;2025-03-28 09:47:01.367200;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;0;-2;-3;-8;-2;-2;-1;2025-03-28 09:47:01.382200;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;0;1;4;-1;0;-2;2025-03-28 09:47:01.382200;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;0;0;3;0;0;0;-1;2025-03-28 09:47:01.398200;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;0;1;-10;-3;-1;0;-1;2025-03-28 09:47:01.398200;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;-2;-4;8;-4;-2;-2;-2;2025-03-28 09:47:01.400200;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-1;-4;-1;0;-1;1;2025-03-28 09:47:01.400200;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;0;0;0;-3;1;-1;-2;2025-03-28 09:47:01.423600;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;0;1;3;5;1;-1;1;2025-03-28 09:47:01.423600;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-2;0;-9;-7;-2;-1;-2;2025-03-28 09:47:01.424600;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-2;1;9;-4;-2;-1;-2;2025-03-28 09:47:01.424600;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-2;-1;2;-2;1;-1;1;2025-03-28 09:47:01.441600;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;0;-1;-1;3;1;1;0;2025-03-28 09:47:01.441600;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;0;2;1;-3;-2;0;0;2025-03-28 09:47:01.477500;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-1;0;0;2;-1;-1;-1;2025-03-28 09:47:01.477500;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;-1;-3;0;-2;-2;-2;-2;2025-03-28 09:47:01.480500;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-1;0;3;0;-2;-1;0;2025-03-28 09:47:01.480500;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;0;-3;-16;1;3;1;0;2025-03-28 09:47:01.481500;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;1;1;-1;1;0;0;2025-03-28 09:47:01.481500;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;-2;-2;2;1;-1;-1;0;2025-03-28 09:47:01.482400;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-3;-7;1;-1;0;-1;2025-03-28 09:47:01.482400;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;0;1;7;-3;-2;-2;-2;2025-03-28 09:47:01.486400;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
1;0;-1;-1;4;0;0;-1;2025-03-28 09:47:01.486400;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;0;-2;-9;-5;-3;-3;0;2025-03-28 09:47:01.510400;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-1;-2;0;1;-1;0;-2;2025-03-28 09:47:01.510400;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;2;-2;-3;0;0;0;2025-03-28 09:47:01.511400;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-2;-1;5;-3;-3;-2;-3;2025-03-28 09:47:01.511400;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;0;-2;-3;0;-1;-2;2025-03-28 09:47:01.516400;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;0;1;8;1;1;-1;-1;2025-03-28 09:47:01.516400;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-1;3;2;-3;-2;-1;2025-03-28 09:47:01.523900;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
1;1;-1;-9;2;2;1;1;2025-03-28 09:47:01.523900;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
1;0;1;-5;-4;-2;-1;-2;2025-03-28 09:47:01.555800;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-2;-2;-2;-1;-1;-3;-2;2025-03-28 09:47:01.555800;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-2;-1;4;-5;-1;0;-2;2025-03-28 09:47:01.556800;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-2;-8;-2;-1;-1;-1;2025-03-28 09:47:01.556800;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;0;-1;2;1;-2;-2;-1;2025-03-28 09:47:01.570700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-2;0;-2;-9;-2;1;-1;2025-03-28 09:47:01.570700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-2;-1;-5;5;-1;-1;-2;2025-03-28 09:47:01.577700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;1;-2;7;4;-1;-1;0;2025-03-28 09:47:01.577700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;0;-1;3;-2;-2;-1;-2;2025-03-28 09:47:01.584700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;0;-5;0;2;0;-2;2025-03-28 09:47:01.584700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;-2;-1;-4;-2;-1;-1;-1;2025-03-28 09:47:01.592700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
1;-2;-1;0;-3;-1;-1;-1;2025-03-28 09:47:01.592700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
0;-1;-1;-2;-3;-2;1;-1;2025-03-28 09:47:01.607700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;0;1;0;1;0;0;2025-03-28 09:47:01.607700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-3;0;-1;3;-3;-1;-1;0;2025-03-28 09:47:01.608700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-1;-2;-2;0;-1;-2;2025-03-28 09:47:01.608700;e682fb1e-e460-495e-9222-6aac27bec3c0;2;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-1;-2;0;-1;-1;0;0;2025-03-28 09:47:01.630600;e682fb1e-e460-495e-9222-6aac27bec3c0;3;;;;;0.1961636;0.6174421;0.09928083;supination;0;;Moving to rest position;
-1;-2;-1;-2;-1;-3;-1;0;2025-03-28 09:47:01.630600;e682fb1e-e460-495e-9222-6aac27bec3c0;3;;;;;0.1961636;0.6174421;0.09928083;supination;0;;Moving to rest position;
0;-1;-5;-11;1;1;-1;-1;2025-03-28 09:47:01.631600;e682fb1e-e460-495e-9222-6aac27bec3c0;3;;;;;0.1961636;0.6174421;0.09928083;supination;0;;Moving to rest position;
