Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;1;2;5;4;11;15;0;3;2025-03-28 09:47:16.895300;e682fb1e-e460-495e-9222-6aac27bec3c0;1350;;;;;0.1862732;0.7227852;0.1683776;supination;0;;MVC;
1;-1;-2;-14;-41;-10;2;-1;-4;2025-03-28 09:47:16.895300;e682fb1e-e460-495e-9222-6aac27bec3c0;1350;;;;;0.1862732;0.7227852;0.1683776;supination;0;;MVC;
2;-5;-3;2;-7;-3;2;3;2;2025-03-28 09:47:16.896300;e682fb1e-e460-495e-9222-6aac27bec3c0;1350;;;;;0.1862732;0.7227852;0.1683776;supination;0;;MVC;
3;8;1;-3;1;-2;0;2;2;2025-03-28 09:47:16.896300;e682fb1e-e460-495e-9222-6aac27bec3c0;1350;;;;;0.1862732;0.7227852;0.1683776;supination;0;;MVC;
4;-3;-3;3;14;5;-5;-7;-6;2025-03-28 09:47:16.917200;e682fb1e-e460-495e-9222-6aac27bec3c0;1352;;;;;0.1864789;0.7226882;0.1684127;supination;0;;MVC;
5;-4;-1;-6;-4;-4;-7;-3;-1;2025-03-28 09:47:16.917200;e682fb1e-e460-495e-9222-6aac27bec3c0;1352;;;;;0.1864789;0.7226882;0.1684127;supination;0;;MVC;
6;3;2;-3;-2;-4;-4;-2;-2;2025-03-28 09:47:16.925200;e682fb1e-e460-495e-9222-6aac27bec3c0;1354;;;;;0.1865123;0.7228788;0.1686492;supination;0;;MVC;
7;-2;-2;6;3;4;5;4;1;2025-03-28 09:47:16.925200;e682fb1e-e460-495e-9222-6aac27bec3c0;1354;;;;;0.1865123;0.7228788;0.1686492;supination;0;;MVC;
8;-1;-2;2;-2;-7;-6;-4;-3;2025-03-28 09:47:16.932200;e682fb1e-e460-495e-9222-6aac27bec3c0;1354;;;;;0.1865123;0.7228788;0.1686492;supination;0;;MVC;
9;-1;-3;-5;-6;-2;-3;-2;0;2025-03-28 09:47:16.932200;e682fb1e-e460-495e-9222-6aac27bec3c0;1354;;;;;0.1865123;0.7228788;0.1686492;supination;0;;MVC;
10;2;0;1;10;5;1;-1;-2;2025-03-28 09:47:16.933200;e682fb1e-e460-495e-9222-6aac27bec3c0;1354;;;;;0.1865123;0.7228788;0.1686492;supination;0;;MVC;
11;-2;-1;4;-4;-8;-4;1;0;2025-03-28 09:47:16.933200;e682fb1e-e460-495e-9222-6aac27bec3c0;1354;;;;;0.1865123;0.7228788;0.1686492;supination;0;;MVC;
12;1;0;0;1;3;0;-6;-3;2025-03-28 09:47:16.963100;e682fb1e-e460-495e-9222-6aac27bec3c0;1357;;;;;0.1863194;0.7228162;0.1686573;supination;0;;MVC;
13;-2;-1;1;6;8;5;2;1;2025-03-28 09:47:16.963100;e682fb1e-e460-495e-9222-6aac27bec3c0;1357;;;;;0.1863194;0.7228162;0.1686573;supination;0;;MVC;
14;-2;-3;-4;-17;8;7;2;0;2025-03-28 09:47:16.964100;e682fb1e-e460-495e-9222-6aac27bec3c0;1357;;;;;0.1863194;0.7228162;0.1686573;supination;0;;MVC;
15;-3;-4;-4;17;-8;-1;2;-1;2025-03-28 09:47:16.964100;e682fb1e-e460-495e-9222-6aac27bec3c0;1357;;;;;0.1863194;0.7228162;0.1686573;supination;0;;MVC;
16;2;1;3;6;-3;-2;-1;1;2025-03-28 09:47:16.977600;e682fb1e-e460-495e-9222-6aac27bec3c0;1358;;;;;0.1863518;0.7226624;0.1685679;supination;0;;MVC;
17;2;1;0;0;2;-2;-5;-2;2025-03-28 09:47:16.977600;e682fb1e-e460-495e-9222-6aac27bec3c0;1358;;;;;0.1863518;0.7226624;0.1685679;supination;0;;MVC;
18;1;5;3;4;5;4;2;1;2025-03-28 09:47:16.978600;e682fb1e-e460-495e-9222-6aac27bec3c0;1358;;;;;0.1863518;0.7226624;0.1685679;supination;0;;MVC;
19;-2;-1;-3;0;-3;6;2;-1;2025-03-28 09:47:16.978600;e682fb1e-e460-495e-9222-6aac27bec3c0;1358;;;;;0.1863518;0.7226624;0.1685679;supination;0;;MVC;
20;-4;-2;-4;-2;-2;-12;-4;-1;2025-03-28 09:47:16.992500;e682fb1e-e460-495e-9222-6aac27bec3c0;1360;;;;;0.186359;0.7224766;0.1684539;supination;0;;MVC;
21;0;-2;-2;-1;-11;-4;0;-2;2025-03-28 09:47:16.992500;e682fb1e-e460-495e-9222-6aac27bec3c0;1360;;;;;0.186359;0.7224766;0.1684539;supination;0;;MVC;
22;-3;0;0;-6;7;5;0;0;2025-03-28 09:47:16.992500;e682fb1e-e460-495e-9222-6aac27bec3c0;1360;;;;;0.186359;0.7224766;0.1684539;supination;0;;MVC;
23;-1;0;-4;3;2;1;1;0;2025-03-28 09:47:16.993500;e682fb1e-e460-495e-9222-6aac27bec3c0;1360;;;;;0.186359;0.7224766;0.1684539;supination;0;;MVC;
24;-2;-3;-1;-11;-9;-10;-9;-5;2025-03-28 09:47:17.014500;e682fb1e-e460-495e-9222-6aac27bec3c0;1362;;;;;0.1867703;0.7226847;0.1685097;supination;0;;MVC;
25;0;0;2;4;4;0;1;-1;2025-03-28 09:47:17.014500;e682fb1e-e460-495e-9222-6aac27bec3c0;1362;;;;;0.1867703;0.7226847;0.1685097;supination;0;;MVC;
26;-3;-3;0;-4;1;4;3;0;2025-03-28 09:47:17.015500;e682fb1e-e460-495e-9222-6aac27bec3c0;1362;;;;;0.1867703;0.7226847;0.1685097;supination;0;;MVC;
27;-2;-2;-17;-29;-2;-1;-5;-1;2025-03-28 09:47:17.015500;e682fb1e-e460-495e-9222-6aac27bec3c0;1362;;;;;0.1867703;0.7226847;0.1685097;supination;0;;MVC;
28;2;2;1;5;12;11;2;0;2025-03-28 09:47:17.038400;e682fb1e-e460-495e-9222-6aac27bec3c0;1364;;;;;0.1869518;0.7227318;0.1686194;supination;0;;MVC;
29;-3;-1;1;-3;-4;-4;-1;-1;2025-03-28 09:47:17.038400;e682fb1e-e460-495e-9222-6aac27bec3c0;1364;;;;;0.1869518;0.7227318;0.1686194;supination;0;;MVC;
30;-3;-3;-3;-9;-14;-13;-5;-3;2025-03-28 09:47:17.038400;e682fb1e-e460-495e-9222-6aac27bec3c0;1364;;;;;0.1869518;0.7227318;0.1686194;supination;0;;MVC;
31;0;0;4;12;7;7;6;4;2025-03-28 09:47:17.038400;e682fb1e-e460-495e-9222-6aac27bec3c0;1364;;;;;0.1869518;0.7227318;0.1686194;supination;0;;MVC;
32;2;1;3;5;-1;-2;-2;1;2025-03-28 09:47:17.052400;e682fb1e-e460-495e-9222-6aac27bec3c0;1365;;;;;0.18699;0.7225288;0.1686192;supination;0;;MVC;
33;-2;-3;-12;-10;-9;-2;-7;-3;2025-03-28 09:47:17.052400;e682fb1e-e460-495e-9222-6aac27bec3c0;1365;;;;;0.18699;0.7225288;0.1686192;supination;0;;MVC;
34;-1;0;-4;3;1;-2;3;-1;2025-03-28 09:47:17.053400;e682fb1e-e460-495e-9222-6aac27bec3c0;1365;;;;;0.18699;0.7225288;0.1686192;supination;0;;MVC;
35;-4;-3;2;-9;-10;-5;-9;-6;2025-03-28 09:47:17.053400;e682fb1e-e460-495e-9222-6aac27bec3c0;1365;;;;;0.18699;0.7225288;0.1686192;supination;0;;MVC;
36;-3;0;-3;12;5;4;1;1;2025-03-28 09:47:17.074300;e682fb1e-e460-495e-9222-6aac27bec3c0;1367;;;;;0.1869749;0.7225623;0.1687849;supination;0;;MVC;
37;-3;0;0;-22;-4;-1;2;-1;2025-03-28 09:47:17.075300;e682fb1e-e460-495e-9222-6aac27bec3c0;1367;;;;;0.1869749;0.7225623;0.1687849;supination;0;;MVC;
38;-1;-1;-4;-4;-5;-7;-6;-3;2025-03-28 09:47:17.075300;e682fb1e-e460-495e-9222-6aac27bec3c0;1367;;;;;0.1869749;0.7225623;0.1687849;supination;0;;MVC;
39;0;0;1;6;-1;-5;2;0;2025-03-28 09:47:17.075300;e682fb1e-e460-495e-9222-6aac27bec3c0;1367;;;;;0.1869749;0.7225623;0.1687849;supination;0;;MVC;
40;-2;-3;-7;9;4;5;0;0;2025-03-28 09:47:17.096800;e682fb1e-e460-495e-9222-6aac27bec3c0;1369;;;;;0.1869174;0.7228296;0.1693559;supination;0;;MVC;
41;-3;-1;0;1;0;-1;0;-1;2025-03-28 09:47:17.096800;e682fb1e-e460-495e-9222-6aac27bec3c0;1369;;;;;0.1869174;0.7228296;0.1693559;supination;0;;MVC;
42;-3;0;-4;-7;-1;3;3;0;2025-03-28 09:47:17.104800;e682fb1e-e460-495e-9222-6aac27bec3c0;1370;;;;;0.1869318;0.7228066;0.1695132;supination;0;;MVC;
43;2;1;3;-1;-1;-3;-3;-1;2025-03-28 09:47:17.104800;e682fb1e-e460-495e-9222-6aac27bec3c0;1370;;;;;0.1869318;0.7228066;0.1695132;supination;0;;MVC;
44;3;-1;-1;-15;-5;-1;-1;0;2025-03-28 09:47:17.111700;e682fb1e-e460-495e-9222-6aac27bec3c0;1370;;;;;0.1869318;0.7228066;0.1695132;supination;0;;MVC;
