Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;-37;-15;11;-9;-14;127;109;65;2025-04-09 13:39:53.545500;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;801;;;;;0.2090512;0.8481697;0.1436548;flexion;0;;MVC;
1;2;-46;13;5;3;-65;-38;-120;2025-04-09 13:39:53.545500;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;801;;;;;0.2090512;0.8481697;0.1436548;flexion;0;;MVC;
2;-5;-1;28;-4;-11;-11;-72;-51;2025-04-09 13:39:53.547400;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;801;;;;;0.2090512;0.8481697;0.1436548;flexion;0;;MVC;
3;-7;-14;-26;-17;-9;-85;-48;16;2025-04-09 13:39:53.547400;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;801;;;;;0.2090512;0.8481697;0.1436548;flexion;0;;MVC;
4;17;13;5;6;9;35;-69;-86;2025-04-09 13:39:53.559400;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;802;;;;;0.2084843;0.8487757;0.1438131;flexion;0;;MVC;
5;6;58;25;11;10;-78;1;5;2025-04-09 13:39:53.559400;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;802;;;;;0.2084843;0.8487757;0.1438131;flexion;0;;MVC;
6;14;-12;-56;4;11;127;100;-6;2025-04-09 13:39:53.568400;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;803;;;;;0.2077951;0.8489698;0.1436439;flexion;0;;MVC;
7;-18;-34;3;-4;-6;-113;-79;12;2025-04-09 13:39:53.568400;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;803;;;;;0.2077951;0.8489698;0.1436439;flexion;0;;MVC;
8;9;-2;14;2;0;-9;-10;-80;2025-04-09 13:39:53.583400;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;804;;;;;0.2073891;0.8493031;0.1438072;flexion;0;;MVC;
9;5;47;-4;-5;-5;-93;-11;84;2025-04-09 13:39:53.583400;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;804;;;;;0.2073891;0.8493031;0.1438072;flexion;0;;MVC;
10;-2;-11;5;0;-7;-40;-42;5;2025-04-09 13:39:53.584400;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;804;;;;;0.2073891;0.8493031;0.1438072;flexion;0;;MVC;
11;0;38;12;13;7;110;4;89;2025-04-09 13:39:53.584400;7aa0e8fb-1c8e-42e0-9d0b-b61de02793ef;804;;;;;0.2073891;0.8493031;0.1438072;flexion;0;;MVC;
