EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
-3;-5;-12;7;1;0;-3;-5;2025-03-28 12:05:03.622800;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;1;3;-6;-1;-1;1;-1;2025-03-28 12:05:03.625700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;3;8;-6;-3;-1;0;1;2025-03-28 12:05:03.625700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;0;-5;2;-1;-2;-2;-1;2025-03-28 12:05:03.625700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-3;-9;4;1;-2;-2;-3;2025-03-28 12:05:03.625700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;0;1;-1;-1;-2;-2;-1;2025-03-28 12:05:03.625700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;1;6;-6;-3;-1;-1;1;2025-03-28 12:05:03.625700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;-1;-4;-1;0;-1;-1;0;2025-03-28 12:05:03.625700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-4;-8;5;0;0;-1;-4;2025-03-28 12:05:03.646700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;-2;0;-2;0;-2;-1;-1;2025-03-28 12:05:03.646700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
1;2;3;-6;-1;-1;0;2;2025-03-28 12:05:03.646700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-2;-3;2;-1;-1;-1;-1;2025-03-28 12:05:03.647700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;-3;-6;4;0;0;-4;-3;2025-03-28 12:05:03.652700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-1;3;-3;-2;-1;0;0;2025-03-28 12:05:03.652700;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
1;-2;4;-5;-3;-2;1;3;2025-03-28 12:05:03.678600;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-2;-4;0;-2;0;-4;-1;2025-03-28 12:05:03.678600;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-2;-7;2;0;0;-2;-5;2025-03-28 12:05:03.680600;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;0;3;-2;-1;0;-1;0;2025-03-28 12:05:03.680600;cc98b577-6165-49df-b691-2115be09f7d6;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
1;-1;1;-2;0;-1;0;0;2025-03-28 12:05:03.701600;cc98b577-6165-49df-b691-2115be09f7d6;2;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-3;-3;-3;0;-2;-1;1;-2;2025-03-28 12:05:03.701600;cc98b577-6165-49df-b691-2115be09f7d6;2;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;0;-2;1;0;-1;0;-1;2025-03-28 12:05:03.702600;cc98b577-6165-49df-b691-2115be09f7d6;2;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;0;2;-2;-2;-1;0;-2;2025-03-28 12:05:03.702600;cc98b577-6165-49df-b691-2115be09f7d6;2;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;-1;2;-2;-2;-2;-1;-1;2025-03-28 12:05:03.704600;cc98b577-6165-49df-b691-2115be09f7d6;2;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-3;-2;-2;-1;0;-1;-1;-1;2025-03-28 12:05:03.704600;cc98b577-6165-49df-b691-2115be09f7d6;2;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
