Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAtempted;AttemptsInCube;State;Event
0;-17;-36;-50;-44;-70;-17;-6;-3;2025-03-21 10:36:49.877500;425d878a-49b4-4e43-a374-50b860ff5fae;1133;;;;;0.1828042;1.026867;0.1687477;extension;0;;MVC;
1;-93;-119;-35;-41;-64;-5;-9;-28;2025-03-21 10:36:49.877500;425d878a-49b4-4e43-a374-50b860ff5fae;1133;;;;;0.1828042;1.026867;0.1687477;extension;0;;MVC;
2;-29;-55;-20;-12;-62;-8;-12;-14;2025-03-21 10:36:49.894400;425d878a-49b4-4e43-a374-50b860ff5fae;1133;;;;;0.1828042;1.026867;0.1687477;extension;0;;MVC;
3;16;127;64;61;-37;15;12;19;2025-03-21 10:36:49.894400;425d878a-49b4-4e43-a374-50b860ff5fae;1133;;;;;0.1828042;1.026867;0.1687477;extension;0;;MVC;
4;18;22;21;-64;-54;-6;-4;-4;2025-03-21 10:36:49.899900;425d878a-49b4-4e43-a374-50b860ff5fae;1134;;;;;0.1826132;1.02714;0.1692491;extension;0;;MVC;
5;-9;-30;89;30;-46;2;1;9;2025-03-21 10:36:49.899900;425d878a-49b4-4e43-a374-50b860ff5fae;1134;;;;;0.1826132;1.02714;0.1692491;extension;0;;MVC;
6;-123;127;103;24;-43;5;1;-19;2025-03-21 10:36:49.908900;425d878a-49b4-4e43-a374-50b860ff5fae;1134;;;;;0.1826132;1.02714;0.1692491;extension;0;;MVC;
7;-29;4;43;48;-40;7;1;-6;2025-03-21 10:36:49.909900;425d878a-49b4-4e43-a374-50b860ff5fae;1134;;;;;0.1826132;1.02714;0.1692491;extension;0;;MVC;
8;42;-93;92;-52;-70;-22;-11;-1;2025-03-21 10:36:49.910900;425d878a-49b4-4e43-a374-50b860ff5fae;1134;;;;;0.1826132;1.02714;0.1692491;extension;0;;MVC;
9;-77;-44;-1;-33;-61;-13;-13;-21;2025-03-21 10:36:49.910900;425d878a-49b4-4e43-a374-50b860ff5fae;1134;;;;;0.1826132;1.02714;0.1692491;extension;0;;MVC;
10;19;41;69;5;-48;-1;2;9;2025-03-21 10:36:49.931800;425d878a-49b4-4e43-a374-50b860ff5fae;1136;;;;;0.182473;1.027295;0.1695271;extension;0;;MVC;
11;-5;39;-22;20;-36;13;6;3;2025-03-21 10:36:49.931800;425d878a-49b4-4e43-a374-50b860ff5fae;1136;;;;;0.182473;1.027295;0.1695271;extension;0;;MVC;
12;30;88;-31;86;-32;11;14;16;2025-03-21 10:36:49.932800;425d878a-49b4-4e43-a374-50b860ff5fae;1136;;;;;0.182473;1.027295;0.1695271;extension;0;;MVC;
13;-38;-115;13;-38;-68;-18;-13;-17;2025-03-21 10:36:49.932800;425d878a-49b4-4e43-a374-50b860ff5fae;1136;;;;;0.182473;1.027295;0.1695271;extension;0;;MVC;
14;-10;17;6;-29;-53;0;-5;-10;2025-03-21 10:36:49.953800;425d878a-49b4-4e43-a374-50b860ff5fae;1139;;;;;0.1822512;1.027676;0.1694119;extension;0;;MVC;
15;0;13;47;-12;-53;-6;-1;0;2025-03-21 10:36:49.953800;425d878a-49b4-4e43-a374-50b860ff5fae;1139;;;;;0.1822512;1.027676;0.1694119;extension;0;;MVC;
16;33;-6;-23;-8;-49;-7;-2;-4;2025-03-21 10:36:49.960800;425d878a-49b4-4e43-a374-50b860ff5fae;1139;;;;;0.1822512;1.027676;0.1694119;extension;0;;MVC;
17;102;-13;-74;45;-32;22;4;15;2025-03-21 10:36:49.960800;425d878a-49b4-4e43-a374-50b860ff5fae;1139;;;;;0.1822512;1.027676;0.1694119;extension;0;;MVC;
18;36;-101;-101;-60;-56;-7;-6;-2;2025-03-21 10:36:49.969300;425d878a-49b4-4e43-a374-50b860ff5fae;1140;;;;;0.1822094;1.027845;0.1694226;extension;0;;MVC;
19;-22;1;-90;-11;-61;-13;-9;-14;2025-03-21 10:36:49.969300;425d878a-49b4-4e43-a374-50b860ff5fae;1140;;;;;0.1822094;1.027845;0.1694226;extension;0;;MVC;
20;-12;94;110;58;-35;12;6;3;2025-03-21 10:36:49.975200;425d878a-49b4-4e43-a374-50b860ff5fae;1141;;;;;0.1823694;1.027857;0.1692753;extension;0;;MVC;
21;-12;5;55;-8;-43;-1;-1;-3;2025-03-21 10:36:49.975200;425d878a-49b4-4e43-a374-50b860ff5fae;1141;;;;;0.1823694;1.027857;0.1692753;extension;0;;MVC;
22;-8;-16;72;-54;-66;-15;-8;-5;2025-03-21 10:36:49.991700;425d878a-49b4-4e43-a374-50b860ff5fae;1142;;;;;0.1824076;1.028146;0.1695356;extension;0;;MVC;
