EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
-3;-2;1;1;-3;1;-5;-4;2025-03-28 10:22:40.229900;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-3;-1;1;1;-1;-1;0;-5;2025-03-28 10:22:40.232900;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
1;0;-1;-1;0;-3;0;-1;2025-03-28 10:22:40.232900;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
0;-1;-3;-4;-1;-1;-2;1;2025-03-28 10:22:40.233900;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
1;-2;-2;1;-1;-2;-2;-2;2025-03-28 10:22:40.233900;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-2;0;1;-2;-1;-2;0;-3;2025-03-28 10:22:40.233900;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-1;-2;-1;-2;0;0;0;-1;2025-03-28 10:22:40.233900;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
2;-2;-1;-2;-1;-1;-1;1;2025-03-28 10:22:40.233900;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-2;1;-3;-1;2;0;-1;-3;2025-03-28 10:22:40.253800;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-3;0;1;0;-1;-1;-2;-4;2025-03-28 10:22:40.253800;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-1;0;-1;0;0;0;0;1;2025-03-28 10:22:40.254800;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-1;-1;-1;0;-2;-4;0;0;2025-03-28 10:22:40.254800;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
1;-3;-1;1;0;1;-1;-3;2025-03-28 10:22:40.261800;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
0;-1;-1;-2;-4;0;3;-1;2025-03-28 10:22:40.261800;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
1;-1;-2;-2;-3;-4;-1;0;2025-03-28 10:22:40.276800;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
0;0;-2;1;-1;-3;-1;0;2025-03-28 10:22:40.276800;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-2;-1;-1;-1;1;0;0;-2;2025-03-28 10:22:40.281800;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-1;-1;0;0;-3;0;-1;-3;2025-03-28 10:22:40.281800;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
0;-1;1;0;-3;-1;-1;-1;2025-03-28 10:22:40.298700;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-1;0;-1;-3;2;0;0;1;2025-03-28 10:22:40.298700;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
0;0;1;-1;-2;2;0;0;2025-03-28 10:22:40.312700;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-3;1;-1;-4;-1;0;-1;0;2025-03-28 10:22:40.312700;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-1;0;0;-1;0;-3;-3;-1;2025-03-28 10:22:40.320700;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-2;-1;0;-2;-1;0;0;0;2025-03-28 10:22:40.320700;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;1;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-1;-2;-2;2;-1;0;0;-1;2025-03-28 10:22:40.361600;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;2;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
1;-1;-2;-2;2;-1;-1;2;2025-03-28 10:22:40.361600;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;2;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
0;-1;-1;-3;0;-3;-2;0;2025-03-28 10:22:40.361600;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;2;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-4;-1;0;-2;-4;0;-1;-4;2025-03-28 10:22:40.362600;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;2;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
-1;-1;-2;-3;-2;-3;0;-1;2025-03-28 10:22:40.364600;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;2;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
1;-2;0;-3;-2;-4;-2;1;2025-03-28 10:22:40.364600;a8e26d1b-4a5d-4cfb-b6a0-6a050ff015a8;2;;;;;0.0;0.0;0.0;fist;0;;Moving to rest position;
