Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAtempted;AttemptsInCube;State;Event
0;-3;0;-7;-1;-38;-1;-2;-2;2025-03-21 10:00:50.454600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;819;;;;;0.2405183;0.6832619;-0.0040133;fist;0;;MVC;
1;0;2;-1;0;-38;-3;-1;-2;2025-03-21 10:00:50.454600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;819;;;;;0.2405183;0.6832619;-0.0040133;fist;0;;MVC;
2;1;2;3;0;-39;-1;1;-1;2025-03-21 10:00:50.455600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;819;;;;;0.2405183;0.6832619;-0.0040133;fist;0;;MVC;
3;0;-3;-2;1;-37;1;-1;1;2025-03-21 10:00:50.455600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;819;;;;;0.2405183;0.6832619;-0.0040133;fist;0;;MVC;
4;-1;0;-2;-2;-38;0;-1;-1;2025-03-21 10:00:50.456600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;819;;;;;0.2405183;0.6832619;-0.0040133;fist;0;;MVC;
5;2;1;0;-1;-39;-1;-1;-3;2025-03-21 10:00:50.457600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;819;;;;;0.2405183;0.6832619;-0.0040133;fist;0;;MVC;
6;-3;-2;1;-1;-38;-1;-2;-1;2025-03-21 10:00:50.460600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;819;;;;;0.2405183;0.6832619;-0.0040133;fist;0;;MVC;
7;-1;-1;1;-3;-41;-1;-1;-1;2025-03-21 10:00:50.460600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;819;;;;;0.2405183;0.6832619;-0.0040133;fist;0;;MVC;
8;1;0;-1;-3;-39;-2;-2;-2;2025-03-21 10:00:50.460600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;819;;;;;0.2405183;0.6832619;-0.0040133;fist;0;;MVC;
9;0;1;-4;0;-38;-1;0;0;2025-03-21 10:00:50.461600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;819;;;;;0.2405183;0.6832619;-0.0040133;fist;0;;MVC;
10;-3;-3;8;-1;-40;-1;-2;-3;2025-03-21 10:00:50.468600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;820;;;;;0.2405634;0.683082;-0.004466534;fist;0;;MVC;
11;1;2;5;0;-37;0;-1;-1;2025-03-21 10:00:50.468600;cc88723a-f399-4b57-9c09-0b2f22ab96a7;820;;;;;0.2405634;0.683082;-0.004466534;fist;0;;MVC;
12;-1;-4;-6;-2;-37;-1;-2;-2;2025-03-21 10:00:50.476500;cc88723a-f399-4b57-9c09-0b2f22ab96a7;820;;;;;0.2405634;0.683082;-0.004466534;fist;0;;MVC;
13;0;0;-2;0;-38;0;0;-2;2025-03-21 10:00:50.476500;cc88723a-f399-4b57-9c09-0b2f22ab96a7;820;;;;;0.2405634;0.683082;-0.004466534;fist;0;;MVC;
14;0;-4;-10;-3;-37;0;-1;-1;2025-03-21 10:00:50.490500;cc88723a-f399-4b57-9c09-0b2f22ab96a7;821;;;;;0.2404658;0.6832604;-0.004207611;fist;0;;MVC;
15;-1;1;-1;0;-37;1;-1;-1;2025-03-21 10:00:50.490500;cc88723a-f399-4b57-9c09-0b2f22ab96a7;821;;;;;0.2404658;0.6832604;-0.004207611;fist;0;;MVC;
16;-2;-1;5;0;-38;-1;-1;-1;2025-03-21 10:00:50.497500;cc88723a-f399-4b57-9c09-0b2f22ab96a7;822;;;;;0.2404979;0.6831282;-0.004373789;fist;0;;MVC;
17;-1;-2;-8;-1;-37;-2;-1;-1;2025-03-21 10:00:50.497500;cc88723a-f399-4b57-9c09-0b2f22ab96a7;822;;;;;0.2404979;0.6831282;-0.004373789;fist;0;;MVC;
18;-1;-1;1;-1;-39;-1;-1;-1;2025-03-21 10:00:50.513400;cc88723a-f399-4b57-9c09-0b2f22ab96a7;824;;;;;0.2405044;0.6831101;-0.004406691;fist;0;;MVC;
19;1;-2;-3;-1;-37;-2;-1;-2;2025-03-21 10:00:50.513400;cc88723a-f399-4b57-9c09-0b2f22ab96a7;824;;;;;0.2405044;0.6831101;-0.004406691;fist;0;;MVC;
20;-3;1;-1;-1;-37;1;0;-1;2025-03-21 10:00:50.515400;cc88723a-f399-4b57-9c09-0b2f22ab96a7;824;;;;;0.2405044;0.6831101;-0.004406691;fist;0;;MVC;
21;0;3;1;-1;-38;1;-2;-1;2025-03-21 10:00:50.515400;cc88723a-f399-4b57-9c09-0b2f22ab96a7;824;;;;;0.2405044;0.6831101;-0.004406691;fist;0;;MVC;
22;-5;-7;-12;-5;-38;-3;-2;-3;2025-03-21 10:00:50.527900;cc88723a-f399-4b57-9c09-0b2f22ab96a7;825;;;;;0.2406071;0.6832415;-0.004240513;fist;0;;MVC;
23;-2;-4;-4;-1;-38;-1;-1;1;2025-03-21 10:00:50.527900;cc88723a-f399-4b57-9c09-0b2f22ab96a7;825;;;;;0.2406071;0.6832415;-0.004240513;fist;0;;MVC;
24;0;1;-2;-1;-38;-2;0;-1;2025-03-21 10:00:50.534900;cc88723a-f399-4b57-9c09-0b2f22ab96a7;826;;;;;0.2406446;0.6830059;-0.00415802;fist;0;;MVC;
25;-1;-4;-5;-1;-39;-1;-3;-3;2025-03-21 10:00:50.534900;cc88723a-f399-4b57-9c09-0b2f22ab96a7;826;;;;;0.2406446;0.6830059;-0.00415802;fist;0;;MVC;
26;1;4;3;1;-36;0;0;-1;2025-03-21 10:00:50.550800;cc88723a-f399-4b57-9c09-0b2f22ab96a7;827;;;;;0.240656;0.6829834;-0.00417161;fist;0;;MVC;
27;1;3;-1;0;-37;-2;-2;0;2025-03-21 10:00:50.550800;cc88723a-f399-4b57-9c09-0b2f22ab96a7;827;;;;;0.240656;0.6829834;-0.00417161;fist;0;;MVC;
28;0;-2;1;1;-37;-3;-1;-1;2025-03-21 10:00:50.573800;cc88723a-f399-4b57-9c09-0b2f22ab96a7;829;;;;;0.2406332;0.6829184;-0.004484177;fist;0;;MVC;
29;-4;0;16;-1;-37;-1;-1;-2;2025-03-21 10:00:50.573800;cc88723a-f399-4b57-9c09-0b2f22ab96a7;829;;;;;0.2406332;0.6829184;-0.004484177;fist;0;;MVC;
30;-3;-6;-5;-3;-38;0;-1;-1;2025-03-21 10:00:50.574800;cc88723a-f399-4b57-9c09-0b2f22ab96a7;830;;;;;0.2406462;0.6828994;-0.004513025;fist;0;;MVC;
31;-5;-7;-9;-4;-36;-1;0;-2;2025-03-21 10:00:50.574800;cc88723a-f399-4b57-9c09-0b2f22ab96a7;830;;;;;0.2406462;0.6828994;-0.004513025;fist;0;;MVC;
32;-1;-3;-15;0;-35;1;-2;-2;2025-03-21 10:00:50.576800;cc88723a-f399-4b57-9c09-0b2f22ab96a7;830;;;;;0.2406462;0.6828994;-0.004513025;fist;0;;MVC;
33;0;3;12;1;-35;-2;0;0;2025-03-21 10:00:50.576800;cc88723a-f399-4b57-9c09-0b2f22ab96a7;830;;;;;0.2406462;0.6828994;-0.004513025;fist;0;;MVC;
34;-2;-1;10;0;-37;-2;0;-2;2025-03-21 10:00:50.594700;cc88723a-f399-4b57-9c09-0b2f22ab96a7;831;;;;;0.2405062;0.6829675;-0.004447222;fist;0;;MVC;
35;0;0;-3;2;-36;0;0;0;2025-03-21 10:00:50.594700;cc88723a-f399-4b57-9c09-0b2f22ab96a7;831;;;;;0.2405062;0.6829675;-0.004447222;fist;0;;MVC;
36;-1;1;5;-1;-37;-1;-1;-1;2025-03-21 10:00:50.611700;cc88723a-f399-4b57-9c09-0b2f22ab96a7;833;;;;;0.2405465;0.6827743;-0.004626751;fist;0;;MVC;
37;-1;-5;-17;-4;-36;0;-2;-2;2025-03-21 10:00:50.612700;cc88723a-f399-4b57-9c09-0b2f22ab96a7;833;;;;;0.2405465;0.6827743;-0.004626751;fist;0;;MVC;
38;-5;-6;-2;-2;-37;-1;-1;-2;2025-03-21 10:00:50.612700;cc88723a-f399-4b57-9c09-0b2f22ab96a7;833;;;;;0.2405465;0.6827743;-0.004626751;fist;0;;MVC;
39;0;5;1;0;-36;-2;-1;-1;2025-03-21 10:00:50.612700;cc88723a-f399-4b57-9c09-0b2f22ab96a7;833;;;;;0.2405465;0.6827743;-0.004626751;fist;0;;MVC;
