EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
4;5;15;-12;-2;-1;3;14;2025-03-28 11:58:58.371700;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
4;0;-2;-3;-4;-1;2;6;2025-03-28 11:58:58.374700;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-3;-6;-12;8;1;-2;-3;-10;2025-03-28 11:58:58.374700;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-4;-2;-2;1;1;-2;-2;-7;2025-03-28 11:58:58.374700;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
1;1;7;-6;-3;0;1;6;2025-03-28 11:58:58.374700;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
0;0;1;-1;-2;-1;-1;5;2025-03-28 11:58:58.374700;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-3;-4;-12;2;1;-1;-3;-5;2025-03-28 11:58:58.374700;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-2;-1;-5;0;1;-1;-4;-9;2025-03-28 11:58:58.374700;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-2;3;7;-5;-1;-1;1;4;2025-03-28 11:58:58.385600;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
2;0;4;-3;-3;1;1;4;2025-03-28 11:58:58.385600;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-1;2;-1;-1;-3;0;1;4;2025-03-28 11:58:58.401600;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
1;2;9;-7;-2;-1;0;4;2025-03-28 11:58:58.401600;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-2;-2;2;-1;0;0;-2;-5;2025-03-28 11:58:58.401600;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-9;6;-10;5;-1;-1;-1;-6;2025-03-28 11:58:58.401600;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
2;-4;-9;3;1;-2;-4;-6;2025-03-28 11:58:58.415600;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-3;0;0;0;-1;-1;0;-5;2025-03-28 11:58:58.415600;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
3;0;5;-5;-5;-1;1;5;2025-03-28 11:58:58.425500;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
1;-1;-2;-1;-1;-1;-1;3;2025-03-28 11:58:58.425500;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-1;-7;-4;2;0;0;-2;-4;2025-03-28 11:58:58.447500;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-4;-3;2;-3;0;-1;0;-1;2025-03-28 11:58:58.447500;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-2;1;3;-2;-2;0;2;3;2025-03-28 11:58:58.449500;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
3;-4;-3;-2;-1;-2;-1;-1;2025-03-28 11:58:58.449500;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-7;-2;-6;3;1;-2;-1;-3;2025-03-28 11:58:58.461400;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
2;-4;1;1;0;0;-2;-2;2025-03-28 11:58:58.462400;e1227d16-50cb-496f-a0a7-44e9fc15015e;1;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-1;-8;-13;9;1;-2;-3;-9;2025-03-28 11:58:58.507300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-1;-3;-6;3;1;-2;-4;-12;2025-03-28 11:58:58.507300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
1;4;12;-8;-3;1;1;8;2025-03-28 11:58:58.508300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
2;0;3;-3;-3;-1;2;7;2025-03-28 11:58:58.508300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
8;-2;-11;4;-1;-1;-2;-5;2025-03-28 11:58:58.509300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-5;-6;-6;3;2;-1;-3;-9;2025-03-28 11:58:58.509300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
0;0;8;-5;-1;-1;0;3;2025-03-28 11:58:58.510300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-1;5;4;-4;-4;-1;3;7;2025-03-28 11:58:58.510300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-1;-5;-8;2;0;-3;-2;-2;2025-03-28 11:58:58.521300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-3;-1;-8;2;-1;-1;-4;-10;2025-03-28 11:58:58.521300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-4;6;5;-1;-3;0;0;7;2025-03-28 11:58:58.529300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
4;5;11;-8;-2;-1;-2;3;2025-03-28 11:58:58.529300;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
0;-8;-7;4;2;1;0;-4;2025-03-28 11:58:58.531200;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-4;-2;-3;1;1;0;1;-6;2025-03-28 11:58:58.531200;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-2;3;6;-6;-1;-2;2;4;2025-03-28 11:58:58.551700;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
1;-1;-1;-2;-1;-3;1;3;2025-03-28 11:58:58.551700;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-6;-1;-5;0;-1;0;-3;-6;2025-03-28 11:58:58.557700;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-1;-1;0;-2;0;0;-2;-4;2025-03-28 11:58:58.557700;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
2;-2;7;-5;-2;0;-1;2;2025-03-28 11:58:58.574600;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-2;4;-2;-1;-1;-1;0;2;2025-03-28 11:58:58.574600;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-4;0;-4;2;-2;-2;-1;-5;2025-03-28 11:58:58.575600;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-1;-4;-2;-2;1;0;0;-3;2025-03-28 11:58:58.575600;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-2;1;5;-1;-3;-2;0;2;2025-03-28 11:58:58.588600;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
1;-3;0;-1;-2;1;-3;0;2025-03-28 11:58:58.588600;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-3;-2;0;0;-1;-2;-3;-4;2025-03-28 11:58:58.595600;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-1;0;-4;-2;0;0;-3;-2;2025-03-28 11:58:58.595600;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-2;0;1;-2;-3;0;2;1;2025-03-28 11:58:58.611500;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
1;-5;-2;-1;-1;-2;0;0;2025-03-28 11:58:58.611500;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-2;0;-2;0;-1;-2;0;-2;2025-03-28 11:58:58.613500;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-1;0;-1;1;0;-3;-1;0;2025-03-28 11:58:58.613500;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
6;1;0;-5;-1;-1;0;0;2025-03-28 11:58:58.634500;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
0;-4;1;-1;-4;-1;0;1;2025-03-28 11:58:58.634500;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
-12;-1;-3;6;-1;-2;-1;-4;2025-03-28 11:58:58.635500;e1227d16-50cb-496f-a0a7-44e9fc15015e;2;;;;;0.0;0.0;0.0;flexion;0;;Moving to rest position;
