Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;8;-8;14;11;8;127;119;-59;2025-03-28 11:59:09.253500;e1227d16-50cb-496f-a0a7-44e9fc15015e;922;;;;;0.1810495;0.847927;0.1494067;flexion;0;;MVC;
1;-5;21;-7;-2;-10;-101;-18;0;2025-03-28 11:59:09.253500;e1227d16-50cb-496f-a0a7-44e9fc15015e;922;;;;;0.1810495;0.847927;0.1494067;flexion;0;;MVC;
2;-36;-31;-8;13;-11;-73;-24;-41;2025-03-28 11:59:09.278900;e1227d16-50cb-496f-a0a7-44e9fc15015e;924;;;;;0.1798082;0.8502536;0.1504774;flexion;0;;MVC;
3;15;2;2;5;10;33;-11;41;2025-03-28 11:59:09.278900;e1227d16-50cb-496f-a0a7-44e9fc15015e;924;;;;;0.1798082;0.8502536;0.1504774;flexion;0;;MVC;
4;-6;-49;-13;-19;2;-49;-56;27;2025-03-28 11:59:09.279900;e1227d16-50cb-496f-a0a7-44e9fc15015e;924;;;;;0.1798082;0.8502536;0.1504774;flexion;0;;MVC;
5;24;45;28;8;19;125;105;21;2025-03-28 11:59:09.279900;e1227d16-50cb-496f-a0a7-44e9fc15015e;924;;;;;0.1798082;0.8502536;0.1504774;flexion;0;;MVC;
6;5;-15;-22;1;-7;-54;30;3;2025-03-28 11:59:09.284900;e1227d16-50cb-496f-a0a7-44e9fc15015e;925;;;;;0.1795349;0.8510622;0.1507802;flexion;0;;MVC;
7;-7;-19;-30;2;-8;-67;1;-54;2025-03-28 11:59:09.284900;e1227d16-50cb-496f-a0a7-44e9fc15015e;925;;;;;0.1795349;0.8510622;0.1507802;flexion;0;;MVC;
8;-16;13;31;-2;-4;-128;-93;-55;2025-03-28 11:59:09.285900;e1227d16-50cb-496f-a0a7-44e9fc15015e;925;;;;;0.1795349;0.8510622;0.1507802;flexion;0;;MVC;
9;12;19;24;12;7;96;26;37;2025-03-28 11:59:09.285900;e1227d16-50cb-496f-a0a7-44e9fc15015e;925;;;;;0.1795349;0.8510622;0.1507802;flexion;0;;MVC;
10;-2;16;-103;-26;-11;-92;-80;-12;2025-03-28 11:59:09.287900;e1227d16-50cb-496f-a0a7-44e9fc15015e;925;;;;;0.1795349;0.8510622;0.1507802;flexion;0;;MVC;
11;-10;-9;55;5;4;127;127;-45;2025-03-28 11:59:09.287900;e1227d16-50cb-496f-a0a7-44e9fc15015e;925;;;;;0.1795349;0.8510622;0.1507802;flexion;0;;MVC;
12;13;-9;-1;0;-14;-83;-68;33;2025-03-28 11:59:09.314800;e1227d16-50cb-496f-a0a7-44e9fc15015e;927;;;;;0.1788221;0.8518529;0.1505792;flexion;0;;MVC;
13;-15;4;1;10;2;-114;-74;-32;2025-03-28 11:59:09.315800;e1227d16-50cb-496f-a0a7-44e9fc15015e;927;;;;;0.1788221;0.8518529;0.1505792;flexion;0;;MVC;
14;27;13;29;-7;-3;-32;-105;31;2025-03-28 11:59:09.316800;e1227d16-50cb-496f-a0a7-44e9fc15015e;928;;;;;0.178631;0.8521738;0.1505697;flexion;0;;MVC;
15;2;0;58;-15;6;91;77;55;2025-03-28 11:59:09.316800;e1227d16-50cb-496f-a0a7-44e9fc15015e;928;;;;;0.178631;0.8521738;0.1505697;flexion;0;;MVC;
16;34;35;62;-12;2;-35;-106;-59;2025-03-28 11:59:09.320800;e1227d16-50cb-496f-a0a7-44e9fc15015e;928;;;;;0.178631;0.8521738;0.1505697;flexion;0;;MVC;
17;-20;-12;-12;4;-14;-53;-13;0;2025-03-28 11:59:09.320800;e1227d16-50cb-496f-a0a7-44e9fc15015e;928;;;;;0.178631;0.8521738;0.1505697;flexion;0;;MVC;
18;-23;-60;-100;-5;-15;-72;-1;-32;2025-03-28 11:59:09.336700;e1227d16-50cb-496f-a0a7-44e9fc15015e;930;;;;;0.1775685;0.852318;0.1501238;flexion;0;;MVC;
19;-39;-26;-9;0;-1;88;45;72;2025-03-28 11:59:09.337700;e1227d16-50cb-496f-a0a7-44e9fc15015e;930;;;;;0.1775685;0.852318;0.1501238;flexion;0;;MVC;
20;-5;-35;30;-15;-6;-3;71;-68;2025-03-28 11:59:09.344700;e1227d16-50cb-496f-a0a7-44e9fc15015e;930;;;;;0.1775685;0.852318;0.1501238;flexion;0;;MVC;
21;-5;-17;32;-10;-3;-11;76;24;2025-03-28 11:59:09.345700;e1227d16-50cb-496f-a0a7-44e9fc15015e;930;;;;;0.1775685;0.852318;0.1501238;flexion;0;;MVC;
22;-11;56;12;13;-4;-123;-99;-34;2025-03-28 11:59:09.350700;e1227d16-50cb-496f-a0a7-44e9fc15015e;931;;;;;0.1772283;0.8524684;0.1500559;flexion;0;;MVC;
23;9;-49;41;-11;9;7;-54;-35;2025-03-28 11:59:09.350700;e1227d16-50cb-496f-a0a7-44e9fc15015e;931;;;;;0.1772283;0.8524684;0.1500559;flexion;0;;MVC;
24;6;2;-11;-19;-2;69;-71;-45;2025-03-28 11:59:09.366700;e1227d16-50cb-496f-a0a7-44e9fc15015e;932;;;;;0.177125;0.8523825;0.1497931;flexion;0;;MVC;
25;-11;60;-72;-5;-9;-64;12;102;2025-03-28 11:59:09.367700;e1227d16-50cb-496f-a0a7-44e9fc15015e;932;;;;;0.177125;0.8523825;0.1497931;flexion;0;;MVC;
26;-26;-64;11;3;-12;52;27;-27;2025-03-28 11:59:09.368700;e1227d16-50cb-496f-a0a7-44e9fc15015e;932;;;;;0.177125;0.8523825;0.1497931;flexion;0;;MVC;
27;6;65;1;0;-3;-128;-102;79;2025-03-28 11:59:09.368700;e1227d16-50cb-496f-a0a7-44e9fc15015e;932;;;;;0.177125;0.8523825;0.1497931;flexion;0;;MVC;
28;9;-33;-23;2;-10;-92;19;12;2025-03-28 11:59:09.397600;e1227d16-50cb-496f-a0a7-44e9fc15015e;935;;;;;0.1760592;0.8525633;0.1497447;flexion;0;;MVC;
29;-1;2;15;0;8;124;101;43;2025-03-28 11:59:09.397600;e1227d16-50cb-496f-a0a7-44e9fc15015e;935;;;;;0.1760592;0.8525633;0.1497447;flexion;0;;MVC;
30;-12;-73;-11;5;-18;-39;-60;-23;2025-03-28 11:59:09.398600;e1227d16-50cb-496f-a0a7-44e9fc15015e;935;;;;;0.1760592;0.8525633;0.1497447;flexion;0;;MVC;
31;5;37;23;6;15;87;9;-82;2025-03-28 11:59:09.398600;e1227d16-50cb-496f-a0a7-44e9fc15015e;935;;;;;0.1760592;0.8525633;0.1497447;flexion;0;;MVC;
32;-15;-32;-10;-20;-15;25;-48;-11;2025-03-28 11:59:09.419500;e1227d16-50cb-496f-a0a7-44e9fc15015e;937;;;;;0.175181;0.8526109;0.1501234;flexion;0;;MVC;
33;12;28;-10;-3;9;-76;81;7;2025-03-28 11:59:09.419500;e1227d16-50cb-496f-a0a7-44e9fc15015e;937;;;;;0.175181;0.8526109;0.1501234;flexion;0;;MVC;
34;3;-7;17;11;-2;-86;-64;-90;2025-03-28 11:59:09.435500;e1227d16-50cb-496f-a0a7-44e9fc15015e;938;;;;;0.1748621;0.8522581;0.1497672;flexion;0;;MVC;
35;-16;-31;-56;7;-15;-128;-99;14;2025-03-28 11:59:09.435500;e1227d16-50cb-496f-a0a7-44e9fc15015e;938;;;;;0.1748621;0.8522581;0.1497672;flexion;0;;MVC;
36;5;33;37;-6;2;-82;-99;72;2025-03-28 11:59:09.435500;e1227d16-50cb-496f-a0a7-44e9fc15015e;938;;;;;0.1748621;0.8522581;0.1497672;flexion;0;;MVC;
37;24;52;23;0;10;124;127;0;2025-03-28 11:59:09.435500;e1227d16-50cb-496f-a0a7-44e9fc15015e;938;;;;;0.1748621;0.8522581;0.1497672;flexion;0;;MVC;
38;13;11;70;-8;5;-32;-111;41;2025-03-28 11:59:09.437500;e1227d16-50cb-496f-a0a7-44e9fc15015e;939;;;;;0.1743345;0.8524913;0.1499557;flexion;0;;MVC;
39;-22;-37;-49;-16;-5;15;30;30;2025-03-28 11:59:09.437500;e1227d16-50cb-496f-a0a7-44e9fc15015e;939;;;;;0.1743345;0.8524913;0.1499557;flexion;0;;MVC;
40;4;1;49;5;8;25;12;20;2025-03-28 11:59:09.450400;e1227d16-50cb-496f-a0a7-44e9fc15015e;940;;;;;0.1738851;0.8523827;0.1498878;flexion;0;;MVC;
41;0;35;-16;7;-7;-102;-110;35;2025-03-28 11:59:09.450400;e1227d16-50cb-496f-a0a7-44e9fc15015e;940;;;;;0.1738851;0.8523827;0.1498878;flexion;0;;MVC;
42;6;1;-21;-6;-2;-89;-48;-23;2025-03-28 11:59:09.452000;e1227d16-50cb-496f-a0a7-44e9fc15015e;940;;;;;0.1738851;0.8523827;0.1498878;flexion;0;;MVC;
43;-22;-59;-40;-2;-1;45;44;-17;2025-03-28 11:59:09.452000;e1227d16-50cb-496f-a0a7-44e9fc15015e;940;;;;;0.1738851;0.8523827;0.1498878;flexion;0;;MVC;
44;7;-33;-13;-2;-16;-94;-62;-5;2025-03-28 11:59:09.463900;e1227d16-50cb-496f-a0a7-44e9fc15015e;941;;;;;0.1734259;0.8521361;0.1497035;flexion;0;;MVC;
45;-1;40;3;-9;-4;79;-23;12;2025-03-28 11:59:09.463900;e1227d16-50cb-496f-a0a7-44e9fc15015e;941;;;;;0.1734259;0.8521361;0.1497035;flexion;0;;MVC;
46;16;59;55;-2;8;58;73;-15;2025-03-28 11:59:09.470900;e1227d16-50cb-496f-a0a7-44e9fc15015e;941;;;;;0.1734259;0.8521361;0.1497035;flexion;0;;MVC;
47;-9;-61;-83;-9;-6;-128;-68;2;2025-03-28 11:59:09.470900;e1227d16-50cb-496f-a0a7-44e9fc15015e;941;;;;;0.1734259;0.8521361;0.1497035;flexion;0;;MVC;
48;-11;48;19;-12;-3;-1;-69;-33;2025-03-28 11:59:09.524800;e1227d16-50cb-496f-a0a7-44e9fc15015e;946;;;;;0.1721011;0.851193;0.1495609;flexion;0;;MVC;
49;-6;1;69;5;-1;-8;-37;-94;2025-03-28 11:59:09.524800;e1227d16-50cb-496f-a0a7-44e9fc15015e;946;;;;;0.1721011;0.851193;0.1495609;flexion;0;;MVC;
50;-25;-40;51;6;-5;70;66;75;2025-03-28 11:59:09.531700;e1227d16-50cb-496f-a0a7-44e9fc15015e;947;;;;;0.1718771;0.850984;0.1493437;flexion;0;;MVC;
51;27;82;4;-4;1;-105;-128;29;2025-03-28 11:59:09.531700;e1227d16-50cb-496f-a0a7-44e9fc15015e;947;;;;;0.1718771;0.850984;0.1493437;flexion;0;;MVC;
52;-33;-116;-48;4;-4;-20;75;81;2025-03-28 11:59:09.532700;e1227d16-50cb-496f-a0a7-44e9fc15015e;947;;;;;0.1718771;0.850984;0.1493437;flexion;0;;MVC;
53;2;25;-51;-5;-1;24;127;-16;2025-03-28 11:59:09.532700;e1227d16-50cb-496f-a0a7-44e9fc15015e;947;;;;;0.1718771;0.850984;0.1493437;flexion;0;;MVC;
54;-10;36;14;7;-8;-33;-4;6;2025-03-28 11:59:09.540700;e1227d16-50cb-496f-a0a7-44e9fc15015e;948;;;;;0.171882;0.8511237;0.1496084;flexion;0;;MVC;
55;18;31;18;13;4;75;82;12;2025-03-28 11:59:09.540700;e1227d16-50cb-496f-a0a7-44e9fc15015e;948;;;;;0.171882;0.8511237;0.1496084;flexion;0;;MVC;
56;-10;-5;11;6;0;35;51;42;2025-03-28 11:59:09.577100;e1227d16-50cb-496f-a0a7-44e9fc15015e;951;;;;;0.1721364;0.8507862;0.1499412;flexion;0;;MVC;
57;12;-20;-9;-7;2;66;-4;-44;2025-03-28 11:59:09.577100;e1227d16-50cb-496f-a0a7-44e9fc15015e;951;;;;;0.1721364;0.8507862;0.1499412;flexion;0;;MVC;
