EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
-1;0;-1;0;-7;-4;-2;-3;2025-03-28 10:28:26.144800;5a56ed1d-c368-4935-9384-157ccd3d56a7;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
0;-3;-1;-2;3;-2;-1;0;2025-03-28 10:28:26.147800;5a56ed1d-c368-4935-9384-157ccd3d56a7;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-2;-2;-2;-2;3;1;0;0;2025-03-28 10:28:26.147800;5a56ed1d-c368-4935-9384-157ccd3d56a7;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-2;-1;0;-2;0;-2;-1;-1;2025-03-28 10:28:26.147800;5a56ed1d-c368-4935-9384-157ccd3d56a7;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
0;0;0;2;-3;-2;-1;-1;2025-03-28 10:28:26.159700;5a56ed1d-c368-4935-9384-157ccd3d56a7;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
0;0;0;-1;-5;-1;0;-2;2025-03-28 10:28:26.159700;5a56ed1d-c368-4935-9384-157ccd3d56a7;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
0;-1;-2;-4;2;0;-1;1;2025-03-28 10:28:26.160700;5a56ed1d-c368-4935-9384-157ccd3d56a7;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-1;0;-1;0;5;0;0;0;2025-03-28 10:28:26.160700;5a56ed1d-c368-4935-9384-157ccd3d56a7;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-1;1;2;1;-8;-1;-1;-1;2025-03-28 10:28:26.167700;5a56ed1d-c368-4935-9384-157ccd3d56a7;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
-1;1;0;0;-11;0;1;-1;2025-03-28 10:28:26.167700;5a56ed1d-c368-4935-9384-157ccd3d56a7;2;;;;;0.0;0.0;0.0;pinch;0;;Moving to rest position;
