Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAtempted;AttemptsInCube;State;Event
0;-4;1;94;-46;-50;27;-35;1;2025-03-21 10:11:13.365700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1499;;;;;0.2318731;0.7057824;0.009149313;pinch;0;;MVC;
1;-6;24;84;27;17;42;-6;-10;2025-03-21 10:11:13.365700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1499;;;;;0.2318731;0.7057824;0.009149313;pinch;0;;MVC;
2;11;23;2;-21;-72;-57;-4;-3;2025-03-21 10:11:13.373700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1500;;;;;0.231397;0.7057486;0.009479284;pinch;0;;MVC;
3;-37;56;27;65;-77;29;23;-10;2025-03-21 10:11:13.373700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1500;;;;;0.231397;0.7057486;0.009479284;pinch;0;;MVC;
4;43;-44;1;-29;39;-18;-6;18;2025-03-21 10:11:13.374700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1500;;;;;0.231397;0.7057486;0.009479284;pinch;0;;MVC;
5;-45;-67;-19;-9;-39;77;70;1;2025-03-21 10:11:13.374700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1500;;;;;0.231397;0.7057486;0.009479284;pinch;0;;MVC;
6;14;73;113;48;17;-42;-47;-17;2025-03-21 10:11:13.412600;ea8960e8-f2ff-4a70-9733-925651ad0c86;1503;;;;;0.2312724;0.705784;0.01010084;pinch;0;;MVC;
7;-42;-29;-61;-99;-60;-15;15;-14;2025-03-21 10:11:13.412600;ea8960e8-f2ff-4a70-9733-925651ad0c86;1503;;;;;0.2312724;0.705784;0.01010084;pinch;0;;MVC;
8;13;85;-25;3;-57;-14;3;-4;2025-03-21 10:11:13.413600;ea8960e8-f2ff-4a70-9733-925651ad0c86;1503;;;;;0.2312724;0.705784;0.01010084;pinch;0;;MVC;
9;12;-10;-64;8;15;-4;-39;-2;2025-03-21 10:11:13.413600;ea8960e8-f2ff-4a70-9733-925651ad0c86;1503;;;;;0.2312724;0.705784;0.01010084;pinch;0;;MVC;
10;1;-65;-31;2;-18;31;67;14;2025-03-21 10:11:13.414600;ea8960e8-f2ff-4a70-9733-925651ad0c86;1503;;;;;0.2312724;0.705784;0.01010084;pinch;0;;MVC;
11;-23;55;-58;101;-45;-17;-35;-3;2025-03-21 10:11:13.414600;ea8960e8-f2ff-4a70-9733-925651ad0c86;1503;;;;;0.2312724;0.705784;0.01010084;pinch;0;;MVC;
12;23;51;49;45;-16;-1;32;-2;2025-03-21 10:11:13.418600;ea8960e8-f2ff-4a70-9733-925651ad0c86;1503;;;;;0.2312724;0.705784;0.01010084;pinch;0;;MVC;
13;-30;-36;22;-99;-19;16;-23;-8;2025-03-21 10:11:13.418600;ea8960e8-f2ff-4a70-9733-925651ad0c86;1503;;;;;0.2312724;0.705784;0.01010084;pinch;0;;MVC;
14;21;-10;-3;-33;-6;21;-25;-5;2025-03-21 10:11:13.433500;ea8960e8-f2ff-4a70-9733-925651ad0c86;1505;;;;;0.2316372;0.7060372;0.0093503;pinch;0;;MVC;
15;-8;-88;-89;0;20;-10;20;4;2025-03-21 10:11:13.433500;ea8960e8-f2ff-4a70-9733-925651ad0c86;1505;;;;;0.2316372;0.7060372;0.0093503;pinch;0;;MVC;
16;5;-68;-33;-12;-61;2;-8;-1;2025-03-21 10:11:13.439500;ea8960e8-f2ff-4a70-9733-925651ad0c86;1506;;;;;0.2318696;0.7063565;0.009114504;pinch;0;;MVC;
17;14;64;35;2;-75;-9;57;10;2025-03-21 10:11:13.439500;ea8960e8-f2ff-4a70-9733-925651ad0c86;1506;;;;;0.2318696;0.7063565;0.009114504;pinch;0;;MVC;
18;5;-78;-7;-2;-35;-37;-66;-4;2025-03-21 10:11:13.455500;ea8960e8-f2ff-4a70-9733-925651ad0c86;1507;;;;;0.2320218;0.7064211;0.009379625;pinch;0;;MVC;
19;-34;70;29;22;-29;14;31;-10;2025-03-21 10:11:13.455500;ea8960e8-f2ff-4a70-9733-925651ad0c86;1507;;;;;0.2320218;0.7064211;0.009379625;pinch;0;;MVC;
20;13;-37;12;-23;96;20;-35;-1;2025-03-21 10:11:13.457500;ea8960e8-f2ff-4a70-9733-925651ad0c86;1507;;;;;0.2320218;0.7064211;0.009379625;pinch;0;;MVC;
21;-4;38;-2;15;-128;24;29;13;2025-03-21 10:11:13.457500;ea8960e8-f2ff-4a70-9733-925651ad0c86;1507;;;;;0.2320218;0.7064211;0.009379625;pinch;0;;MVC;
22;-45;-128;-38;-13;-29;-42;-67;-23;2025-03-21 10:11:13.470400;ea8960e8-f2ff-4a70-9733-925651ad0c86;1508;;;;;0.2319168;0.7063724;0.00976181;pinch;0;;MVC;
23;31;-71;25;28;-46;-32;-30;2;2025-03-21 10:11:13.470400;ea8960e8-f2ff-4a70-9733-925651ad0c86;1508;;;;;0.2319168;0.7063724;0.00976181;pinch;0;;MVC;
24;-23;0;-114;-94;2;53;60;0;2025-03-21 10:11:13.477400;ea8960e8-f2ff-4a70-9733-925651ad0c86;1509;;;;;0.2315906;0.7062727;0.01028156;pinch;0;;MVC;
25;12;25;34;-7;-59;-39;-47;-11;2025-03-21 10:11:13.477400;ea8960e8-f2ff-4a70-9733-925651ad0c86;1509;;;;;0.2315906;0.7062727;0.01028156;pinch;0;;MVC;
26;19;66;58;83;-31;67;56;14;2025-03-21 10:11:13.493400;ea8960e8-f2ff-4a70-9733-925651ad0c86;1510;;;;;0.2312648;0.7059765;0.01059103;pinch;0;;MVC;
27;44;1;21;48;68;-113;-20;6;2025-03-21 10:11:13.493400;ea8960e8-f2ff-4a70-9733-925651ad0c86;1510;;;;;0.2312648;0.7059765;0.01059103;pinch;0;;MVC;
28;-22;-109;-49;-67;-117;3;-66;-9;2025-03-21 10:11:13.506800;ea8960e8-f2ff-4a70-9733-925651ad0c86;1512;;;;;0.2313437;0.7060972;0.0108757;pinch;0;;MVC;
29;-18;56;39;-4;9;41;32;-3;2025-03-21 10:11:13.506800;ea8960e8-f2ff-4a70-9733-925651ad0c86;1512;;;;;0.2313437;0.7060972;0.0108757;pinch;0;;MVC;
30;-16;79;-34;-37;-25;-20;9;-6;2025-03-21 10:11:13.515800;ea8960e8-f2ff-4a70-9733-925651ad0c86;1512;;;;;0.2313437;0.7060972;0.0108757;pinch;0;;MVC;
31;10;84;46;-24;-22;11;-13;-7;2025-03-21 10:11:13.515800;ea8960e8-f2ff-4a70-9733-925651ad0c86;1512;;;;;0.2313437;0.7060972;0.0108757;pinch;0;;MVC;
32;67;-42;60;57;-86;3;27;10;2025-03-21 10:11:13.517800;ea8960e8-f2ff-4a70-9733-925651ad0c86;1513;;;;;0.2315995;0.7062162;0.0103302;pinch;0;;MVC;
33;-76;-26;-40;29;10;-24;-3;-14;2025-03-21 10:11:13.517800;ea8960e8-f2ff-4a70-9733-925651ad0c86;1513;;;;;0.2315995;0.7062162;0.0103302;pinch;0;;MVC;
34;3;-8;-56;-28;-23;22;-16;6;2025-03-21 10:11:13.529800;ea8960e8-f2ff-4a70-9733-925651ad0c86;1514;;;;;0.2318402;0.7063085;0.01002479;pinch;0;;MVC;
35;-5;-44;-48;-63;-18;14;72;-3;2025-03-21 10:11:13.529800;ea8960e8-f2ff-4a70-9733-925651ad0c86;1514;;;;;0.2318402;0.7063085;0.01002479;pinch;0;;MVC;
36;2;32;30;56;-58;-32;-67;-2;2025-03-21 10:11:13.536800;ea8960e8-f2ff-4a70-9733-925651ad0c86;1514;;;;;0.2318402;0.7063085;0.01002479;pinch;0;;MVC;
37;20;-20;12;27;27;2;55;3;2025-03-21 10:11:13.536800;ea8960e8-f2ff-4a70-9733-925651ad0c86;1514;;;;;0.2318402;0.7063085;0.01002479;pinch;0;;MVC;
38;10;8;-42;13;-92;-25;-20;-4;2025-03-21 10:11:13.552700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1516;;;;;0.2321023;0.7061375;0.01055193;pinch;0;;MVC;
39;3;-5;-13;3;-9;-4;39;0;2025-03-21 10:11:13.552700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1516;;;;;0.2321023;0.7061375;0.01055193;pinch;0;;MVC;
40;4;31;37;1;-3;68;-26;-26;2025-03-21 10:11:13.560700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1516;;;;;0.2321023;0.7061375;0.01055193;pinch;0;;MVC;
41;8;33;66;25;-36;-104;22;9;2025-03-21 10:11:13.560700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1516;;;;;0.2321023;0.7061375;0.01055193;pinch;0;;MVC;
42;28;-71;36;-10;-78;69;25;4;2025-03-21 10:11:13.575700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1518;;;;;0.2315886;0.7057494;0.01144218;pinch;0;;MVC;
43;-22;-18;24;-35;34;25;38;-2;2025-03-21 10:11:13.575700;ea8960e8-f2ff-4a70-9733-925651ad0c86;1518;;;;;0.2315886;0.7057494;0.01144218;pinch;0;;MVC;
