EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;-1;-2;-2;1;0;0;0;2025-03-28 10:34:06.724400;4e8d97db-e435-4b70-947e-26a323a32cce;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-1;0;0;0;0;-1;-2;-1;2025-03-28 10:34:06.730300;4e8d97db-e435-4b70-947e-26a323a32cce;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-2;0;-1;1;-3;0;1;-1;2025-03-28 10:34:06.730300;4e8d97db-e435-4b70-947e-26a323a32cce;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-1;0;1;2;0;-8;6;-1;2025-03-28 10:34:06.730300;4e8d97db-e435-4b70-947e-26a323a32cce;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-1;-1;-1;-1;-1;2;-2;1;2025-03-28 10:34:06.730300;4e8d97db-e435-4b70-947e-26a323a32cce;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-1;-2;-2;-1;-1;1;-2;1;2025-03-28 10:34:06.730300;4e8d97db-e435-4b70-947e-26a323a32cce;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-1;-1;0;0;-3;1;-3;-2;2025-03-28 10:34:06.730300;4e8d97db-e435-4b70-947e-26a323a32cce;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-1;-1;-2;-1;-2;-6;0;-2;2025-03-28 10:34:06.731300;4e8d97db-e435-4b70-947e-26a323a32cce;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-1;0;-1;-2;2;0;1;-1;2025-03-28 10:34:06.734300;4e8d97db-e435-4b70-947e-26a323a32cce;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-1;0;0;0;0;0;0;-2;2025-03-28 10:34:06.734300;4e8d97db-e435-4b70-947e-26a323a32cce;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
-1;-2;0;2;0;1;-6;-1;2025-03-28 10:34:06.749300;4e8d97db-e435-4b70-947e-26a323a32cce;1;;;;;0.0;0.0;0.0;pronation;0;;Moving to rest position;
