Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
0;66;1;0;-1;-53;2;1;19;2025-03-28 10:34:15.695500;4e8d97db-e435-4b70-947e-26a323a32cce;747;;;;;0.2119773;0.7491;0.09683013;pronation;0;;MVC;
1;4;9;-2;4;74;22;5;-16;2025-03-28 10:34:15.695500;4e8d97db-e435-4b70-947e-26a323a32cce;747;;;;;0.2119773;0.7491;0.09683013;pronation;0;;MVC;
2;-14;-11;1;0;13;19;1;19;2025-03-28 10:34:15.697500;4e8d97db-e435-4b70-947e-26a323a32cce;747;;;;;0.2119773;0.7491;0.09683013;pronation;0;;MVC;
3;-10;-14;2;-1;9;-7;0;-11;2025-03-28 10:34:15.697500;4e8d97db-e435-4b70-947e-26a323a32cce;747;;;;;0.2119773;0.7491;0.09683013;pronation;0;;MVC;
4;-6;33;-5;-14;-72;-57;-14;-32;2025-03-28 10:34:15.710500;4e8d97db-e435-4b70-947e-26a323a32cce;748;;;;;0.2121965;0.7503271;0.09729862;pronation;0;;MVC;
5;35;-2;0;0;1;32;3;15;2025-03-28 10:34:15.711500;4e8d97db-e435-4b70-947e-26a323a32cce;748;;;;;0.2121965;0.7503271;0.09729862;pronation;0;;MVC;
6;12;-41;-2;6;28;11;-2;-8;2025-03-28 10:34:15.712500;4e8d97db-e435-4b70-947e-26a323a32cce;748;;;;;0.2121965;0.7503271;0.09729862;pronation;0;;MVC;
7;9;13;-4;-10;-28;-27;-4;8;2025-03-28 10:34:15.712500;4e8d97db-e435-4b70-947e-26a323a32cce;748;;;;;0.2121965;0.7503271;0.09729862;pronation;0;;MVC;
8;-19;-30;6;23;77;47;18;15;2025-03-28 10:34:15.733400;4e8d97db-e435-4b70-947e-26a323a32cce;751;;;;;0.2123238;0.7540096;0.09946775;pronation;0;;MVC;
9;8;27;-6;-10;-60;-35;-8;1;2025-03-28 10:34:15.733400;4e8d97db-e435-4b70-947e-26a323a32cce;751;;;;;0.2123238;0.7540096;0.09946775;pronation;0;;MVC;
10;34;24;-3;-11;-42;-30;-3;15;2025-03-28 10:34:15.739400;4e8d97db-e435-4b70-947e-26a323a32cce;751;;;;;0.2123238;0.7540096;0.09946775;pronation;0;;MVC;
11;14;-31;-1;7;89;21;1;-9;2025-03-28 10:34:15.739400;4e8d97db-e435-4b70-947e-26a323a32cce;751;;;;;0.2123238;0.7540096;0.09946775;pronation;0;;MVC;
12;6;-2;-2;-2;15;42;-2;-12;2025-03-28 10:34:15.755400;4e8d97db-e435-4b70-947e-26a323a32cce;753;;;;;0.2122787;0.7564943;0.1007786;pronation;0;;MVC;
13;-3;-18;-1;-2;-45;-19;-2;8;2025-03-28 10:34:15.755400;4e8d97db-e435-4b70-947e-26a323a32cce;753;;;;;0.2122787;0.7564943;0.1007786;pronation;0;;MVC;
14;-23;51;3;3;-25;17;5;-1;2025-03-28 10:34:15.762400;4e8d97db-e435-4b70-947e-26a323a32cce;753;;;;;0.2122787;0.7564943;0.1007786;pronation;0;;MVC;
15;-8;-27;-2;-3;-51;-14;0;-5;2025-03-28 10:34:15.762400;4e8d97db-e435-4b70-947e-26a323a32cce;753;;;;;0.2122787;0.7564943;0.1007786;pronation;0;;MVC;
16;10;-5;-4;-12;-10;-25;-7;4;2025-03-28 10:34:15.770300;4e8d97db-e435-4b70-947e-26a323a32cce;754;;;;;0.2123256;0.7572944;0.1010945;pronation;0;;MVC;
17;-4;29;9;25;79;31;11;-1;2025-03-28 10:34:15.770300;4e8d97db-e435-4b70-947e-26a323a32cce;754;;;;;0.2123256;0.7572944;0.1010945;pronation;0;;MVC;
18;-5;9;-3;0;-27;-35;-10;4;2025-03-28 10:34:15.777300;4e8d97db-e435-4b70-947e-26a323a32cce;755;;;;;0.2121962;0.7587188;0.1017795;pronation;0;;MVC;
19;-11;-13;1;0;-27;12;3;-31;2025-03-28 10:34:15.777300;4e8d97db-e435-4b70-947e-26a323a32cce;755;;;;;0.2121962;0.7587188;0.1017795;pronation;0;;MVC;
20;16;34;-4;-5;6;-27;-8;-16;2025-03-28 10:34:15.793800;4e8d97db-e435-4b70-947e-26a323a32cce;756;;;;;0.212046;0.7597483;0.1024053;pronation;0;;MVC;
21;-27;-29;-5;-14;-39;14;-4;20;2025-03-28 10:34:15.793800;4e8d97db-e435-4b70-947e-26a323a32cce;756;;;;;0.212046;0.7597483;0.1024053;pronation;0;;MVC;
22;-10;17;2;7;-7;20;7;13;2025-03-28 10:34:15.794800;4e8d97db-e435-4b70-947e-26a323a32cce;756;;;;;0.212046;0.7597483;0.1024053;pronation;0;;MVC;
23;15;-9;-6;-7;20;-38;-9;11;2025-03-28 10:34:15.794800;4e8d97db-e435-4b70-947e-26a323a32cce;756;;;;;0.212046;0.7597483;0.1024053;pronation;0;;MVC;
24;-16;-14;-4;-4;-12;-8;-4;-17;2025-03-28 10:34:15.806700;4e8d97db-e435-4b70-947e-26a323a32cce;757;;;;;0.2115633;0.760578;0.102845;pronation;0;;MVC;
25;11;0;-2;-8;-58;-45;-13;-5;2025-03-28 10:34:15.806700;4e8d97db-e435-4b70-947e-26a323a32cce;757;;;;;0.2115633;0.760578;0.102845;pronation;0;;MVC;
26;2;-17;0;-4;63;-18;-4;15;2025-03-28 10:34:15.815700;4e8d97db-e435-4b70-947e-26a323a32cce;758;;;;;0.2112102;0.7616526;0.1041224;pronation;0;;MVC;
