EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
-3;-2;-2;0;2;0;0;0;2025-03-28 10:41:57.249700;d0876084-c9d3-4a91-9a6d-667946293a9e;1;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;0;0;0;-1;-1;0;-1;2025-03-28 10:41:57.252700;d0876084-c9d3-4a91-9a6d-667946293a9e;1;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-1;0;0;0;-1;0;-2;2025-03-28 10:41:57.252700;d0876084-c9d3-4a91-9a6d-667946293a9e;1;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-3;-1;-3;-1;-1;-1;1;-1;2025-03-28 10:41:57.252700;d0876084-c9d3-4a91-9a6d-667946293a9e;1;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-1;-1;0;1;-1;-1;2025-03-28 10:41:57.253700;d0876084-c9d3-4a91-9a6d-667946293a9e;1;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-2;0;-1;-1;-2;-1;-2;2025-03-28 10:41:57.253700;d0876084-c9d3-4a91-9a6d-667946293a9e;1;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
1;1;0;1;-1;-2;-2;-3;2025-03-28 10:41:57.253700;d0876084-c9d3-4a91-9a6d-667946293a9e;1;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-1;-2;0;-1;0;-1;2025-03-28 10:41:57.253700;d0876084-c9d3-4a91-9a6d-667946293a9e;1;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-2;0;-2;-1;1;-1;2025-03-28 10:41:57.253700;d0876084-c9d3-4a91-9a6d-667946293a9e;1;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-2;-1;-2;1;-1;-3;-1;0;2025-03-28 10:41:57.253700;d0876084-c9d3-4a91-9a6d-667946293a9e;1;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
-1;-1;-2;0;-2;-2;-1;-1;2025-03-28 10:41:57.269700;d0876084-c9d3-4a91-9a6d-667946293a9e;1;;;;;0.0;0.0;0.0;supination;0;;Moving to rest position;
