Index;EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAtempted;AttemptsInCube;State;Event
0;7;30;-13;8;-31;-1;-2;13;2025-03-21 10:24:50.080900;7abcc3bf-8da6-489b-81de-595fa88d2d07;1965;;;;;0.1970411;0.9294957;0.1401634;supination;0;;MVC;
1;13;23;-48;27;-17;11;7;24;2025-03-21 10:24:50.080900;7abcc3bf-8da6-489b-81de-595fa88d2d07;1965;;;;;0.1970411;0.9294957;0.1401634;supination;0;;MVC;
2;17;41;-106;22;-16;1;10;28;2025-03-21 10:24:50.081900;7abcc3bf-8da6-489b-81de-595fa88d2d07;1965;;;;;0.1970411;0.9294957;0.1401634;supination;0;;MVC;
3;-12;-6;64;-20;-38;-10;-4;19;2025-03-21 10:24:50.081900;7abcc3bf-8da6-489b-81de-595fa88d2d07;1965;;;;;0.1970411;0.9294957;0.1401634;supination;0;;MVC;
4;-12;-36;72;-40;-50;-14;-16;9;2025-03-21 10:24:50.083900;7abcc3bf-8da6-489b-81de-595fa88d2d07;1965;;;;;0.1970411;0.9294957;0.1401634;supination;0;;MVC;
5;-4;15;-2;15;-22;7;4;-30;2025-03-21 10:24:50.083900;7abcc3bf-8da6-489b-81de-595fa88d2d07;1965;;;;;0.1970411;0.9294957;0.1401634;supination;0;;MVC;
6;-2;-26;-104;-6;-24;1;0;-12;2025-03-21 10:24:50.102800;7abcc3bf-8da6-489b-81de-595fa88d2d07;1966;;;;;0.1972;0.9303067;0.1405194;supination;0;;MVC;
7;24;35;-11;9;-20;1;0;56;2025-03-21 10:24:50.102800;7abcc3bf-8da6-489b-81de-595fa88d2d07;1966;;;;;0.1972;0.9303067;0.1405194;supination;0;;MVC;
8;-1;8;-11;8;-22;1;12;-10;2025-03-21 10:24:50.104800;7abcc3bf-8da6-489b-81de-595fa88d2d07;1966;;;;;0.1972;0.9303067;0.1405194;supination;0;;MVC;
9;13;46;60;7;-19;-2;-5;28;2025-03-21 10:24:50.104800;7abcc3bf-8da6-489b-81de-595fa88d2d07;1966;;;;;0.1972;0.9303067;0.1405194;supination;0;;MVC;
10;-16;-34;84;-19;-29;-13;-33;-12;2025-03-21 10:24:50.118300;7abcc3bf-8da6-489b-81de-595fa88d2d07;1967;;;;;0.1973663;0.9303728;0.1404126;supination;0;;MVC;
11;-9;8;-17;4;-58;6;-4;-12;2025-03-21 10:24:50.118300;7abcc3bf-8da6-489b-81de-595fa88d2d07;1967;;;;;0.1973663;0.9303728;0.1404126;supination;0;;MVC;
12;-7;6;-50;9;-24;3;5;25;2025-03-21 10:24:50.119300;7abcc3bf-8da6-489b-81de-595fa88d2d07;1967;;;;;0.1973663;0.9303728;0.1404126;supination;0;;MVC;
13;-7;-22;0;-13;-18;-3;4;-16;2025-03-21 10:24:50.120300;7abcc3bf-8da6-489b-81de-595fa88d2d07;1967;;;;;0.1973663;0.9303728;0.1404126;supination;0;;MVC;
