EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,GoalGesture,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ
1,4,5,15,3,3,1,1,extension,0.24,0.6,0.6,0.2820895,0.6629462,0.2577946
-2,-5,-5,15,-5,-6,-2,-2,extension,0.24,0.6,0.6,0.2820895,0.6629462,0.2577946
-1,0,1,-6,1,2,0,1,extension,0.24,0.6,0.6,0.2820895,0.6629462,0.2577946
0,0,3,1,2,2,0,2,extension,0.24,0.6,0.6,0.2820895,0.6629462,0.2577946
2,2,-3,-15,1,1,-2,0,extension,0.24,0.6,0.6,0.2809092,0.6631285,0.2664661
-1,-3,-2,6,2,-2,-2,-1,extension,0.24,0.6,0.6,0.2809092,0.6631285,0.2664661
0,-1,-1,-9,-3,-1,0,-3,extension,0.24,0.6,0.6,0.2809092,0.6631285,0.2664661
-3,-3,0,-3,0,-2,1,-2,extension,0.24,0.6,0.6,0.2809092,0.6631285,0.2664661
0,1,3,-6,-3,-10,-5,1,extension,0.24,0.6,0.6,0.2796984,0.6627121,0.2741547
2,-3,1,19,-2,1,2,-1,extension,0.24,0.6,0.6,0.2796984,0.6627121,0.2741547
-1,0,3,5,-1,2,-2,0,extension,0.24,0.6,0.6,0.2796984,0.6627121,0.2741547
-3,-3,-13,-19,6,-1,-2,-1,extension,0.24,0.6,0.6,0.2796984,0.6627121,0.2741547
-4,-4,7,12,-2,-1,2,0,extension,0.24,0.6,0.6,0.2786869,0.6628437,0.282392
3,-1,1,-2,-3,-8,-7,-2,extension,0.24,0.6,0.6,0.2786869,0.6628437,0.282392
-5,-4,-14,-9,-7,0,1,-2,extension,0.24,0.6,0.6,0.2786869,0.6628437,0.282392
-2,0,5,15,2,2,1,-1,extension,0.24,0.6,0.6,0.2786869,0.6628437,0.282392
3,2,4,-17,-2,-1,-2,1,extension,0.24,0.6,0.6,0.278093,0.662811,0.2864971
8,-2,-3,-9,-7,-4,-4,2,extension,0.24,0.6,0.6,0.278093,0.662811,0.2864971
-15,-4,10,16,-2,-3,-4,-4,extension,0.24,0.6,0.6,0.2775227,0.6628081,0.290817
-6,0,-4,2,1,3,3,-7,extension,0.24,0.6,0.6,0.2775227,0.6628081,0.290817
2,0,0,16,3,-2,-5,-1,extension,0.24,0.6,0.6,0.2775227,0.6628081,0.290817
6,0,-6,-11,-7,-2,-9,-1,extension,0.24,0.6,0.6,0.2775227,0.6628081,0.290817
8,9,0,-24,11,8,20,10,extension,0.24,0.6,0.6,0.2769501,0.6626788,0.2949103
12,0,4,19,1,-5,-19,-7,extension,0.24,0.6,0.6,0.2769501,0.6626788,0.2949103
