EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,GoalGesture,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ
-1,-22,73,-19,-21,-17,-9,1,extension,0.0,0.8,0.6,0.1313403,0.86086,0.2338535
23,57,-110,44,11,6,5,2,extension,0.0,0.8,0.6,0.1313403,0.86086,0.2338535
5,32,127,-22,-4,4,4,3,extension,0.0,0.8,0.6,0.126596,0.8631279,0.2389202
-24,-60,40,19,-14,-10,-7,4,extension,0.0,0.8,0.6,0.126596,0.8631279,0.2389202
-11,-59,-68,5,-1,-1,1,2,extension,0.0,0.8,0.6,0.117274,0.8686624,0.2501503
1,73,102,17,5,3,1,-8,extension,0.0,0.8,0.6,0.117274,0.8686624,0.2501503
20,20,-72,19,12,3,1,-1,extension,0.0,0.8,0.6,0.117274,0.8686624,0.2501503
18,3,-24,-45,8,8,6,15,extension,0.0,0.8,0.6,0.117274,0.8686624,0.2501503
1,5,79,23,-3,0,2,26,extension,0.0,0.8,0.6,0.1136478,0.8706752,0.2547972
-14,-64,-36,-8,-11,-16,-12,-25,extension,0.0,0.8,0.6,0.1136478,0.8706752,0.2547972
-4,20,23,43,16,11,8,-1,extension,0.0,0.8,0.6,0.1136478,0.8706752,0.2547972
-29,-71,65,-46,-20,-16,-4,3,extension,0.0,0.8,0.6,0.1136478,0.8706752,0.2547972
-6,3,102,-9,9,6,2,-8,extension,0.0,0.8,0.6,0.106386,0.875401,0.2648278
39,96,86,-4,3,9,1,9,extension,0.0,0.8,0.6,0.106386,0.875401,0.2648278
-24,-53,70,-26,-12,-14,-4,-19,extension,0.0,0.8,0.6,0.106386,0.875401,0.2648278
-2,19,100,10,-9,-5,-3,2,extension,0.0,0.8,0.6,0.106386,0.875401,0.2648278
20,30,-10,-7,6,4,6,2,extension,0.0,0.8,0.6,0.09506822,0.882717,0.2918791
-57,9,-78,9,17,11,3,0,extension,0.0,0.8,0.6,0.09506822,0.882717,0.2918791
-19,4,108,-34,-27,-16,-9,-10,extension,0.0,0.8,0.6,0.09506822,0.882717,0.2918791
5,18,97,41,4,1,1,3,extension,0.0,0.8,0.6,0.09506822,0.882717,0.2918791
3,-35,-128,-38,0,2,0,-6,extension,0.0,0.8,0.6,0.09506822,0.882717,0.2918791
20,53,80,-13,-2,2,3,8,extension,0.0,0.8,0.6,0.09506822,0.882717,0.2918791
3,84,3,58,6,-2,-1,-3,extension,0.0,0.8,0.6,0.09272793,0.8833523,0.2981862
-41,-101,-70,-46,-15,-6,-7,-8,extension,0.0,0.8,0.6,0.09272793,0.8833523,0.2981862
22,37,117,9,6,6,0,-1,extension,0.0,0.8,0.6,0.09272793,0.8833523,0.2981862
5,28,97,29,3,1,1,-4,extension,0.0,0.8,0.6,0.09272793,0.8833523,0.2981862
2,23,29,-30,-3,3,1,5,extension,0.0,0.8,0.6,0.09272793,0.8833523,0.2981862
-14,-86,-128,-9,-5,-20,-2,-2,extension,0.0,0.8,0.6,0.09272793,0.8833523,0.2981862
2,14,14,20,8,10,0,-3,extension,0.0,0.8,0.6,0.09272793,0.8833523,0.2981862
-2,-17,-17,-14,-3,-3,-3,2,extension,0.0,0.8,0.6,0.09272793,0.8833523,0.2981862
25,94,122,106,22,13,10,10,extension,0.0,0.8,0.6,0.08820313,0.8845763,0.307348
-36,-125,51,-95,-29,-13,-9,-11,extension,0.0,0.8,0.6,0.08820313,0.8845763,0.307348
23,28,-4,14,9,3,5,7,extension,0.0,0.8,0.6,0.08820313,0.8845763,0.307348
5,6,-26,3,-1,-3,-2,-4,extension,0.0,0.8,0.6,0.08820313,0.8845763,0.307348
-1,96,112,-3,-12,-6,-6,-2,extension,0.0,0.8,0.6,0.08632398,0.8846664,0.3102337
-4,-10,-28,-7,7,5,-1,-3,extension,0.0,0.8,0.6,0.08632398,0.8846664,0.3102337
-6,14,-94,35,15,9,5,8,extension,0.0,0.8,0.6,0.07985044,0.8837402,0.3199017
4,2,-68,28,7,7,1,0,extension,0.0,0.8,0.6,0.07985044,0.8837402,0.3199017
-10,-45,21,-51,-18,-12,-7,-7,extension,0.0,0.8,0.6,0.0788216,0.8835196,0.3220202
-5,-60,-128,0,-2,-2,-2,-1,extension,0.0,0.8,0.6,0.0788216,0.8835196,0.3220202
20,48,23,-13,8,6,1,0,extension,0.0,0.8,0.6,0.07767758,0.8828698,0.3239716
47,12,-16,36,16,6,5,11,extension,0.0,0.8,0.6,0.07767758,0.8828698,0.3239716
-84,-67,35,-76,-31,-21,-15,-22,extension,0.0,0.8,0.6,0.07767758,0.8828698,0.3239716
16,28,127,47,4,2,1,4,extension,0.0,0.8,0.6,0.07767758,0.8828698,0.3239716
-3,10,-99,12,5,2,1,-3,extension,0.0,0.8,0.6,0.07767758,0.8828698,0.3239716
16,22,61,37,3,1,1,1,extension,0.0,0.8,0.6,0.07656544,0.8824991,0.3259695
-30,-63,-48,-21,-6,-2,-4,-7,extension,0.0,0.8,0.6,0.07656544,0.8824991,0.3259695
-11,-37,-49,-59,-10,-4,-3,-3,extension,0.0,0.8,0.6,0.07656544,0.8824991,0.3259695
25,-17,100,15,8,1,3,3,extension,0.0,0.8,0.6,0.07554302,0.8821648,0.3279687
17,35,2,2,2,-4,-1,4,extension,0.0,0.8,0.6,0.07554302,0.8821648,0.3279687
24,57,-38,33,12,8,4,6,extension,0.0,0.8,0.6,0.07554302,0.8821648,0.3279687
-10,5,56,-30,-15,-8,-4,-5,extension,0.0,0.8,0.6,0.07554302,0.8821648,0.3279687
-15,-24,55,-9,-7,-6,-1,-4,extension,0.0,0.8,0.6,0.07470548,0.8817031,0.3299521
-39,-107,-57,-16,-9,-5,-4,-13,extension,0.0,0.8,0.6,0.07470548,0.8817031,0.3299521
24,6,-94,-10,2,1,-1,3,extension,0.0,0.8,0.6,0.07392591,0.8812119,0.3316644
3,-12,74,-4,6,6,2,2,extension,0.0,0.8,0.6,0.07392591,0.8812119,0.3316644
-2,-3,1,3,-3,-3,-2,-4,extension,0.0,0.8,0.6,0.07268703,0.8811983,0.3338621
-19,-45,3,-80,-28,-13,-8,-10,extension,0.0,0.8,0.6,0.07268703,0.8811983,0.3338621
-14,16,74,21,14,3,0,0,extension,0.0,0.8,0.6,0.07268703,0.8811983,0.3338621
-20,53,14,12,-14,-7,-4,-8,extension,0.0,0.8,0.6,0.07268703,0.8811983,0.3338621
-5,-14,111,13,1,-1,-4,-4,extension,0.0,0.8,0.6,0.07123268,0.8796853,0.3368442
-22,-48,58,-92,-23,-12,-5,-8,extension,0.0,0.8,0.6,0.07123268,0.8796853,0.3368442
-4,11,49,71,13,4,0,-2,extension,0.0,0.8,0.6,0.07123268,0.8796853,0.3368442
17,85,61,-9,1,1,2,6,extension,0.0,0.8,0.6,0.07123268,0.8796853,0.3368442
8,-1,-70,-4,1,1,1,1,extension,0.0,0.8,0.6,0.07021296,0.8792962,0.3385746
20,78,-80,20,3,2,0,4,extension,0.0,0.8,0.6,0.07021296,0.8792962,0.3385746
-25,1,-12,28,7,2,-1,-1,extension,0.0,0.8,0.6,0.06944478,0.8785565,0.3396839
0,82,26,14,7,3,0,0,extension,0.0,0.8,0.6,0.06944478,0.8785565,0.3396839
-20,-53,-41,-42,-21,-10,-8,-9,extension,0.0,0.8,0.6,0.0685764,0.8780819,0.3410022
-7,-45,-59,-41,-4,-3,-3,-1,extension,0.0,0.8,0.6,0.0685764,0.8780819,0.3410022
-11,-26,-84,-23,1,0,1,-1,extension,0.0,0.8,0.6,0.06686515,0.8773447,0.3433489
-5,-58,-80,-22,2,1,-4,-5,extension,0.0,0.8,0.6,0.06686515,0.8773447,0.3433489
-33,21,-65,33,-9,-7,-3,-4,extension,0.0,0.8,0.6,0.06614187,0.8767991,0.344443
5,-26,-52,-3,-1,0,1,2,extension,0.0,0.8,0.6,0.06614187,0.8767991,0.344443
17,-26,-65,11,6,2,1,2,extension,0.0,0.8,0.6,0.06614187,0.8767991,0.344443
13,58,93,18,5,3,3,3,extension,0.0,0.8,0.6,0.06614187,0.8767991,0.344443
5,5,62,-12,-5,-6,-7,-9,extension,0.0,0.8,0.6,0.06614187,0.8767991,0.344443
-33,-58,27,-5,-8,-4,-3,-1,extension,0.0,0.8,0.6,0.06614187,0.8767991,0.344443
28,63,0,14,7,5,2,4,extension,0.0,0.8,0.6,0.06459385,0.8762337,0.3470877
3,-27,-123,5,3,3,2,2,extension,0.0,0.8,0.6,0.06459385,0.8762337,0.3470877
6,-64,-78,-26,-8,-5,-5,-6,extension,0.0,0.8,0.6,0.06459385,0.8762337,0.3470877
39,101,123,53,19,13,7,10,extension,0.0,0.8,0.6,0.06459385,0.8762337,0.3470877
-20,2,69,-42,-25,-12,-7,-11,extension,0.0,0.8,0.6,0.06407249,0.8758571,0.3479753
-14,-13,53,-29,-9,-9,-7,-6,extension,0.0,0.8,0.6,0.06407249,0.8758571,0.3479753
-18,54,-87,53,22,12,9,4,extension,0.0,0.8,0.6,0.0632906,0.8759648,0.3491766
4,-7,19,-26,-7,-4,-2,-2,extension,0.0,0.8,0.6,0.0632906,0.8759648,0.3491766
-11,-17,86,-14,-8,-2,-2,0,extension,0.0,0.8,0.6,0.06285053,0.8754807,0.350126
31,99,25,33,3,4,3,7,extension,0.0,0.8,0.6,0.06285053,0.8754807,0.350126
5,-41,81,46,8,5,1,3,extension,0.0,0.8,0.6,0.06216159,0.8751642,0.3519225
3,26,-27,-13,-3,-6,-4,-2,extension,0.0,0.8,0.6,0.06216159,0.8751642,0.3519225
-1,70,106,51,7,6,3,3,extension,0.0,0.8,0.6,0.06216159,0.8751642,0.3519225
12,48,2,11,2,1,2,2,extension,0.0,0.8,0.6,0.06216159,0.8751642,0.3519225
12,22,-48,-36,1,2,3,3,extension,0.0,0.8,0.6,0.06175804,0.8748516,0.3526884
7,-12,62,25,5,3,3,1,extension,0.0,0.8,0.6,0.06175804,0.8748516,0.3526884
-35,-103,-81,-29,-9,-8,-4,-7,extension,0.0,0.8,0.6,0.06128389,0.8746349,0.3534126
12,55,29,38,5,4,3,3,extension,0.0,0.8,0.6,0.06069702,0.8749168,0.3546125
24,-36,77,-19,0,1,0,1,extension,0.0,0.8,0.6,0.06069702,0.8749168,0.3546125
-17,40,21,-27,-6,-3,-2,3,extension,0.0,0.8,0.6,0.06069702,0.8749168,0.3546125
-11,-53,12,-10,-5,-5,-3,-4,extension,0.0,0.8,0.6,0.06069702,0.8749168,0.3546125
22,22,32,17,13,8,4,6,extension,0.0,0.8,0.6,0.06069702,0.8749168,0.3546125
-13,-53,-21,-13,-12,-7,-4,-8,extension,0.0,0.8,0.6,0.0602645,0.8747782,0.3550609
-14,-84,-70,-28,0,-2,-3,-8,extension,0.0,0.8,0.6,0.0602645,0.8747782,0.3550609
19,18,6,44,10,5,3,6,extension,0.0,0.8,0.6,0.05988735,0.8746443,0.3556064
11,27,-4,21,9,6,6,7,extension,0.0,0.8,0.6,0.05988735,0.8746443,0.3556064
-22,-78,-59,-91,-22,-11,-8,-6,extension,0.0,0.8,0.6,0.05988735,0.8746443,0.3556064
-3,-61,1,38,9,1,-3,-5,extension,0.0,0.8,0.6,0.05988735,0.8746443,0.3556064
9,41,-18,-2,0,-1,0,0,extension,0.0,0.8,0.6,0.05862266,0.8747994,0.3569903
14,-28,-128,-7,-3,-2,0,1,extension,0.0,0.8,0.6,0.05862266,0.8747994,0.3569903
1,106,41,1,-10,-5,-3,-1,extension,0.0,0.8,0.6,0.05808049,0.874735,0.3573842
7,8,-97,-35,-2,2,1,3,extension,0.0,0.8,0.6,0.05808049,0.874735,0.3573842
-8,-14,-16,-3,-4,-6,-7,-7,extension,0.0,0.8,0.6,0.057643,0.8751316,0.3580883
-22,-2,-4,21,8,3,1,-3,extension,0.0,0.8,0.6,0.057643,0.8751316,0.3580883
-14,-19,-48,-13,-11,-6,-3,-3,extension,0.0,0.8,0.6,0.057643,0.8751316,0.3580883
-1,30,-4,14,5,1,0,0,extension,0.0,0.8,0.6,0.057643,0.8751316,0.3580883
-5,-92,-53,-30,-7,-5,-3,-5,extension,0.0,0.8,0.6,0.05657351,0.8752414,0.3583753
-15,-16,-25,-39,-14,-7,-4,-3,extension,0.0,0.8,0.6,0.05657351,0.8752414,0.3583753
7,24,-75,18,13,7,4,5,extension,0.0,0.8,0.6,0.0562349,0.8756547,0.3588381
-23,16,73,14,-7,-5,-4,-8,extension,0.0,0.8,0.6,0.0562349,0.8756547,0.3588381
28,18,8,9,-1,0,2,3,extension,0.0,0.8,0.6,0.05588782,0.8756148,0.3588568
12,23,93,6,3,5,5,4,extension,0.0,0.8,0.6,0.05588782,0.8756148,0.3588568
14,-52,120,26,5,2,3,4,extension,0.0,0.8,0.6,0.05588782,0.8756148,0.3588568
-29,-39,-102,-35,-16,-10,-9,-12,extension,0.0,0.8,0.6,0.05588782,0.8756148,0.3588568
2,24,51,-1,4,1,0,2,extension,0.0,0.8,0.6,0.05554989,0.8756636,0.3590117
5,5,84,1,-5,-2,-3,0,extension,0.0,0.8,0.6,0.05554989,0.8756636,0.3590117
1,2,-73,13,8,3,1,0,extension,0.0,0.8,0.6,0.05554989,0.8756636,0.3590117
20,33,-5,23,9,2,4,6,extension,0.0,0.8,0.6,0.05554989,0.8756636,0.3590117
-4,-58,-79,-46,-16,-11,-7,-7,extension,0.0,0.8,0.6,0.05517843,0.876436,0.3600032
-4,9,56,11,2,1,1,0,extension,0.0,0.8,0.6,0.05517843,0.876436,0.3600032
-13,-26,122,5,3,3,1,2,extension,0.0,0.8,0.6,0.05517843,0.876436,0.3600032
8,-62,84,-7,-6,-8,-8,-11,extension,0.0,0.8,0.6,0.05517843,0.876436,0.3600032
-1,39,-7,1,0,1,1,0,extension,0.0,0.8,0.6,0.05474746,0.8770996,0.360643
13,-23,-45,15,1,-1,-1,-2,extension,0.0,0.8,0.6,0.05474746,0.8770996,0.360643
1,50,-31,-6,-4,-3,-3,-2,extension,0.0,0.8,0.6,0.05468631,0.8771861,0.3608619
-7,28,52,-7,3,2,3,2,extension,0.0,0.8,0.6,0.05468631,0.8771861,0.3608619
17,48,60,47,11,4,1,5,extension,0.0,0.8,0.6,0.05468631,0.8771861,0.3608619
-24,-17,79,-22,-15,-10,-8,-7,extension,0.0,0.8,0.6,0.05468631,0.8771861,0.3608619
-3,-20,-31,8,-3,-2,0,-4,extension,0.0,0.8,0.6,0.05453753,0.8773843,0.3609921
10,25,41,20,5,3,3,9,extension,0.0,0.8,0.6,0.05453753,0.8773843,0.3609921
-5,95,-26,8,5,2,0,-1,extension,0.0,0.8,0.6,0.05407828,0.8780601,0.3616295
4,-38,12,17,0,-2,-1,1,extension,0.0,0.8,0.6,0.05407828,0.8780601,0.3616295
-17,19,98,-21,-10,-4,-2,-6,extension,0.0,0.8,0.6,0.05375153,0.8781617,0.3615277
29,49,72,20,12,8,5,8,extension,0.0,0.8,0.6,0.05375153,0.8781617,0.3615277
-23,-45,-7,-62,-14,-7,-4,-9,extension,0.0,0.8,0.6,0.05337793,0.8782275,0.3616079
-17,-56,-110,-23,-7,-4,-2,-6,extension,0.0,0.8,0.6,0.05337793,0.8782275,0.3616079
15,14,70,12,1,-1,-1,2,extension,0.0,0.8,0.6,0.0527699,0.8787379,0.3622015
5,30,34,17,9,7,4,1,extension,0.0,0.8,0.6,0.0527699,0.8787379,0.3622015
-18,-32,72,-47,-12,-5,-3,-5,extension,0.0,0.8,0.6,0.05235204,0.878637,0.3621804
19,24,29,22,10,5,4,6,extension,0.0,0.8,0.6,0.05235204,0.878637,0.3621804
-18,-69,-11,-14,-12,-9,-5,-4,extension,0.0,0.8,0.6,0.05235204,0.878637,0.3621804
0,40,64,5,-3,-2,-1,1,extension,0.0,0.8,0.6,0.05235204,0.878637,0.3621804
-8,14,25,-17,-2,-1,-1,-3,extension,0.0,0.8,0.6,0.05159619,0.8791145,0.3626297
-39,-2,31,12,2,2,-1,-4,extension,0.0,0.8,0.6,0.05159619,0.8791145,0.3626297
0,-5,53,-3,4,2,1,2,extension,0.0,0.8,0.6,0.05159619,0.8791145,0.3626297
-25,0,-7,-15,-4,-3,-2,-4,extension,0.0,0.8,0.6,0.05159619,0.8791145,0.3626297
25,30,92,25,0,1,2,3,extension,0.0,0.8,0.6,0.05111718,0.8791087,0.3627014
7,55,-62,16,8,6,4,4,extension,0.0,0.8,0.6,0.05111718,0.8791087,0.3627014
-8,-52,-34,-60,-16,-9,-4,-6,extension,0.0,0.8,0.6,0.05111718,0.8791087,0.3627014
12,24,-54,16,3,-1,0,1,extension,0.0,0.8,0.6,0.05111718,0.8791087,0.3627014
10,45,-8,7,4,1,-1,-1,extension,0.0,0.8,0.6,0.05118358,0.8795633,0.363227
-3,3,-25,-2,1,0,1,3,extension,0.0,0.8,0.6,0.05118358,0.8795633,0.363227
3,48,68,0,0,0,0,0,extension,0.0,0.8,0.6,0.05115727,0.8795567,0.3631579
-29,-58,-92,-37,-10,-6,-4,-6,extension,0.0,0.8,0.6,0.05115727,0.8795567,0.3631579
2,-1,-58,17,-4,-4,-3,-2,extension,0.0,0.8,0.6,0.05107996,0.879958,0.3636312
-5,-61,-11,9,5,1,1,-4,extension,0.0,0.8,0.6,0.05107996,0.879958,0.3636312
-3,46,-48,1,-2,-3,-4,-1,extension,0.0,0.8,0.6,0.05107996,0.879958,0.3636312
4,-6,-67,-33,-8,-5,-5,-4,extension,0.0,0.8,0.6,0.05107996,0.879958,0.3636312
-10,-66,-36,-28,0,0,-3,-4,extension,0.0,0.8,0.6,0.05107722,0.8800749,0.3636224
13,11,21,32,4,0,-1,2,extension,0.0,0.8,0.6,0.05107722,0.8800749,0.3636224
5,39,54,25,4,2,2,2,extension,0.0,0.8,0.6,0.05107722,0.8800749,0.3636224
-5,-53,11,13,-4,-5,-4,-3,extension,0.0,0.8,0.6,0.05107722,0.8800749,0.3636224
3,15,-53,4,11,6,5,7,extension,0.0,0.8,0.6,0.05099136,0.8801584,0.3636508
22,31,101,-3,-21,-13,-8,-6,extension,0.0,0.8,0.6,0.05099136,0.8801584,0.3636508
9,-7,3,-7,-3,-1,0,2,extension,0.0,0.8,0.6,0.0508616,0.8806247,0.3641261
14,68,24,18,9,5,3,6,extension,0.0,0.8,0.6,0.0508616,0.8806247,0.3641261
-12,-54,-56,-2,-3,-2,-2,-5,extension,0.0,0.8,0.6,0.05076918,0.8805534,0.3642436
20,17,8,16,11,5,5,7,extension,0.0,0.8,0.6,0.05076918,0.8805534,0.3642436
-8,-10,-54,-11,-8,-7,-3,-5,extension,0.0,0.8,0.6,0.05070972,0.8805377,0.3642249
4,27,110,2,-6,-3,-1,0,extension,0.0,0.8,0.6,0.05070972,0.8805377,0.3642249
4,17,-123,-1,1,0,0,1,extension,0.0,0.8,0.6,0.05055496,0.8810802,0.364735
-1,-39,-1,4,5,3,2,3,extension,0.0,0.8,0.6,0.05052316,0.8811014,0.3644876
-26,-27,31,42,-8,-9,-5,-8,extension,0.0,0.8,0.6,0.05052316,0.8811014,0.3644876
6,19,-73,12,11,7,4,3,extension,0.0,0.8,0.6,0.05052316,0.8811014,0.3644876
4,60,63,23,-3,-3,-1,2,extension,0.0,0.8,0.6,0.05053583,0.8811827,0.3644624
8,-26,-77,0,3,4,2,5,extension,0.0,0.8,0.6,0.05053583,0.8811827,0.3644624
-10,-7,18,25,7,2,0,-2,extension,0.0,0.8,0.6,0.05032295,0.8816617,0.3648379
