EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
1;-37;-13;58;95;8;-41;-17;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3090
2;15;8;-64;-45;-9;32;10;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3115
-4;23;6;-35;-67;-6;27;11;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3125
-2;-5;-5;28;14;1;-17;-7;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3125
2;-25;-7;46;67;8;-35;-15;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3125
0;4;4;-34;-16;-5;17;6;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3125
-3;18;6;-36;-55;-8;23;10;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3125
-5;-2;-5;19;2;1;-10;-5;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3125
4;-23;-10;46;62;6;-32;-13;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3155
4;1;3;-26;-5;-5;12;2;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3155
4;20;4;-39;-57;-7;26;11;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3175
0;-3;-4;22;4;0;-14;-4;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3175
5;-18;-7;40;54;6;-28;-12;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3324
9;7;3;-35;-22;-6;16;5;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3324
-4;16;4;-24;-41;-4;20;7;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3424
-4;-7;-3;21;15;5;-13;-6;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3424
-3;-13;-5;21;37;4;-17;-8;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3494
3;5;2;-28;-23;-2;13;5;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3494
-2;6;0;-12;-25;-4;10;6;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3738
0;-5;-5;18;14;2;-13;-5;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3738
0;-8;0;12;18;2;-10;-4;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3758
-4;4;1;-17;-14;-3;9;3;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3758
-1;3;-1;-6;-14;-3;2;-2;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3868
-7;-4;-2;7;4;3;-3;-2;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.3868
-3;34;9;-60;-91;-11;42;19;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4257
2;6;-3;20;-7;-1;-9;-3;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4257
5;-32;-11;66;82;9;-45;-15;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4327
3;-5;0;-23;6;-4;8;0;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4327
0;18;7;-41;-59;-7;27;12;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4347
-3;6;1;3;-20;-2;1;1;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4347
-1;-21;-10;54;58;7;-34;-15;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4357
3;-7;-1;-17;12;-1;2;1;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4357
4;18;6;-36;-49;-6;25;12;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4377
-15;8;2;-7;-28;-2;8;2;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4377
0;-24;-9;52;60;6;-34;-12;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4467
-1;-6;1;-13;9;0;3;-2;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4467
-10;16;6;-39;-50;-6;24;8;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4596
5;3;-4;6;-10;-1;-6;1;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4606
-3;-18;-5;41;48;3;-28;-11;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4686
1;-1;2;-21;-3;-4;8;1;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4686
-6;12;2;-27;-35;-4;18;5;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4746
-3;-2;-3;10;0;2;-4;-3;312816a9-7fb8-4ecf-8125-2fd9244755c3;2025-05-06 13:51:47.4756
