EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
-2;-2.0;-2.0;-1.0;-2.0;-1.0;-2.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.5755
0;-1.0;-2.0;-1.0;0.0;-2.0;-2.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.5794
0;-1.0;-1.0;0.0;-2.0;-2.0;0.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.5794
0;-2.0;-1.0;-2.0;3.0;-2.0;-1.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.5794
0;-1.0;-1.0;-1.0;0.0;0.0;-2.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.5794
-2;-1.0;-1.0;-3.0;-1.0;-1.0;0.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.5794
1;3.0;0.0;-1.0;-1.0;1.0;1.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.5794
0;-1.0;-1.0;-1.0;-1.0;-1.0;1.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.5794
-2;1.0;0.0;0.0;-1.0;-1.0;1.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.5810
-1;1.0;1.0;-1.0;1.0;0.0;0.0;-2.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.5810
-1;0.0;-3.0;-2.0;-2.0;-2.0;-5.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6169
-1;-1.0;-1.0;0.0;-2.0;-1.0;-1.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6169
-2;-1.0;0.0;-2.0;-2.0;0.0;0.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6169
-3;-2.0;-3.0;0.0;-1.0;0.0;-3.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6169
-2;-2.0;-1.0;1.0;0.0;-1.0;-1.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6209
-2;0.0;0.0;-6.0;-3.0;-2.0;0.0;-2.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6209
1;0.0;-1.0;0.0;0.0;1.0;1.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6299
1;-1.0;0.0;2.0;-1.0;-2.0;-1.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6299
0;0.0;0.0;-2.0;-1.0;-2.0;-1.0;-2.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6309
-2;-2.0;-2.0;2.0;-2.0;-1.0;-2.0;-3.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6309
0;-2.0;1.0;-1.0;-1.0;-1.0;0.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6688
0;-2.0;-2.0;-3.0;-1.0;-1.0;-1.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6688
0;-1.0;-1.0;1.0;-1.0;-1.0;1.0;-2.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6768
0;0.0;-1.0;-1.0;-2.0;-1.0;0.0;0.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6768
-2;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6778
-1;-1.0;-2.0;1.0;0.0;0.0;-1.0;2.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6778
-2;-1.0;0.0;-3.0;0.0;-1.0;0.0;-2.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6823
-1;1.0;0.0;2.0;1.0;1.0;0.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.6823
-1;-1.0;-3.0;0.0;-1.0;-1.0;0.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7212
-1;0.0;0.0;-3.0;-1.0;-1.0;-1.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7212
-1;-2.0;-3.0;-1.0;-1.0;-2.0;-1.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7222
-1;0.0;1.0;-1.0;0.0;-2.0;0.0;1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7222
-1;-1.0;-1.0;0.0;1.0;0.0;-1.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7232
0;2.0;-1.0;0.0;-1.0;-2.0;0.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7232
1;0.0;-1.0;-2.0;-1.0;-2.0;-1.0;-2.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7291
0;-3.0;1.0;1.0;-1.0;0.0;-1.0;-2.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7291
-1;-1.0;-3.0;-3.0;-3.0;-1.0;-1.0;-2.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7321
-2;-1.0;0.0;-1.0;0.0;0.0;-2.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7321
2;0.0;-2.0;0.0;-1.0;1.0;-3.0;-7.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:21:03.5787
0;-1.0;-1.0;0.0;-1.0;0.0;-2.0;-1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7351
-1;1.0;0.0;-1.0;0.0;-2.0;1.0;1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.7351
-1;0.0;-1.0;0.0;2.0;1.0;-2.0;1.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.8468
-3;-3.0;-1.0;2.0;-4.0;-2.0;-2.0;-4.0;2d6aab6e-5c0d-46b9-879b-bf0f188048aa;2025-05-06 14:15:37.8468
