ID;Timestamp;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:31.7567;1;None;;;;0;0;0;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3394;2;None;;;;0;0;0;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3634;3;None;;;;0.1731423;0.7282047;0.01809025;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3694;4;None;;;;0.1731815;0.7281108;0.01852584;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3778;5;None;;;;0.1732031;0.7283299;0.01854634;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.3888;6;None;;;;0.1731561;0.7282919;0.01880717;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4008;7;None;;;;0.1732334;0.7282568;0.01895905;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4108;8;None;;;;0.1730579;0.7281375;0.01896071;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4217;9;None;;;;0.1726884;0.7281473;0.0190413;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4337;10;None;;;;0.1724462;0.7279205;0.01887965;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4447;11;None;;;;0.1720537;0.7279152;0.01902103;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4566;12;None;;;;0.171621;0.7278557;0.01917243;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4666;13;None;;;;0.1712328;0.7278196;0.01933551;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4781;14;None;;;;0.1708657;0.7276722;0.01960945;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.4901;15;None;;;;0.1705856;0.7277209;0.01973367;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5010;16;None;;;;0.1703541;0.7277859;0.01980257;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5120;17;None;;;;0.1700899;0.7278061;0.01961899;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5230;18;None;;;;0.1698909;0.7278394;0.01962852;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5339;19;None;;;;0.1697458;0.7278264;0.01940823;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5449;20;None;;;;0.169585;0.7277459;0.01956725;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.5559;21;None;;;;0.1694683;0.727801;0.01947999;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.7020;22;None;;;;0.1690716;0.7278789;0.01924849;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.7070;23;None;;;;0.1698333;0.7285506;0.01738548;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.7130;24;None;;;;0.1698793;0.7286365;0.01712179;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.7239;25;None;;;;0.1698918;0.7286934;0.017097;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.7349;26;None;;;;0.1698923;0.7286502;0.01698971;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.7459;27;None;;;;0.1698523;0.728784;0.01705217;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.7569;28;None;;;;0.1697753;0.7287729;0.01713777;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.7688;29;None;;;;0.1701364;0.7285659;0.0170362;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.7798;30;None;;;;0.169985;0.7285601;0.01739407;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.7908;31;None;;;;0.1698462;0.7285552;0.01748466;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.8017;32;None;;;;0.1694017;0.7285357;0.01746607;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.8137;33;None;;;;0.1691976;0.7285365;0.01747751;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.8247;34;None;;;;0.1690033;0.7285687;0.01745319;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.8356;35;None;;;;0.1690744;0.7284526;0.01716995;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.8466;36;None;;;;0.1689603;0.7285541;0.01707387;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.8586;37;None;;;;0.1688879;0.7285573;0.01707363;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.8696;38;None;;;;0.1687658;0.7285336;0.01716328;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.8805;39;None;;;;0.1687378;0.728573;0.01738596;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.8915;40;None;;;;0.1687619;0.7285762;0.01749516;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.9025;41;None;;;;0.1686375;0.7286798;0.01771617;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.9134;42;None;;;;0.1686695;0.7287557;0.01776147;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.9254;43;None;;;;0.1687235;0.7287618;0.01770711;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.9364;44;None;;;;0.1687404;0.728804;0.01767635;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.9469;45;None;;;;0.1688289;0.7288806;0.01754165;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.9588;46;None;;;;0.1689547;0.7288836;0.01748896;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.9698;47;None;;;;0.1691957;0.72884;0.0173955;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.9808;48;None;;;;0.1692709;0.7287643;0.01751089;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:36.9917;49;None;;;;0.169333;0.7287322;0.01751685;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.0037;50;None;;;;0.169419;0.7285945;0.01742458;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.0147;51;None;;;;0.1694526;0.7286603;0.01728034;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.0256;52;None;;;;0.1694609;0.7286478;0.01728415;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.0366;53;None;;;;0.1692974;0.7286171;0.01730156;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.0476;54;None;;;;0.1693101;0.7282709;0.0173285;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.0586;55;None;;;;0.1693147;0.7282188;0.01738405;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.0705;56;None;;;;0.1695709;0.7280666;0.01737404;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.0815;57;None;;;;0.1696282;0.727869;0.01730299;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.0925;58;None;;;;0.1696893;0.7278386;0.01739454;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.1034;59;None;;;;0.1698215;0.7276894;0.01730776;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.1144;60;None;;;;0.1699096;0.7275882;0.01690054;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.1264;61;None;;;;0.1699243;0.7276154;0.01687384;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.1393;62;None;;;;0.1695652;0.7277582;0.01689529;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.1513;63;None;;;;0.1695196;0.7277064;0.01658583;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.1633;64;None;;;;0.1693834;0.7276738;0.0165062;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.1752;65;None;;;;0.1691797;0.727641;0.01649499;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.1862;66;None;;;;0.1691128;0.7275263;0.01649952;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.1977;67;None;;;;0.1690479;0.7274946;0.01657391;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.2087;68;None;;;;0.1692746;0.7274102;0.01664615;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.2196;69;None;;;;0.1692902;0.727379;0.01670051;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.2316;70;None;;;;0.1695323;0.7273421;0.01672053;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.2426;71;None;;;;0.1695551;0.7273333;0.01675916;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.2535;72;None;;;;0.1695615;0.7273284;0.01689267;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.2645;73;None;;;;0.1695665;0.7273269;0.01687551;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.2765;74;None;;;;0.1695573;0.7273145;0.01681876;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.2875;75;None;;;;0.169548;0.727321;0.01693106;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.2984;76;None;;;;0.1694345;0.7272756;0.01690316;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.3104;77;None;;;;0.1694375;0.7274166;0.01708412;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.3214;78;None;;;;0.1694746;0.7273964;0.0170908;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.3323;79;None;;;;0.1694058;0.7273953;0.01708269;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.3433;80;None;;;;0.1694275;0.7273921;0.0171032;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.3553;81;None;;;;0.1694662;0.7273911;0.01699924;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.3662;82;None;;;;0.1694733;0.7273955;0.01687527;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.3762;83;None;;;;0.1694842;0.7274127;0.01678729;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.3882;84;None;;;;0.1694888;0.7274691;0.01658297;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.3992;85;None;;;;0.1696402;0.7273908;0.01650786;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.4101;86;None;;;;0.1696769;0.7273272;0.01639342;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.4221;87;None;;;;0.1697247;0.727286;0.01643229;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.4331;88;None;;;;0.1697158;0.727203;0.01640487;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.4440;89;None;;;;0.169769;0.7272708;0.01635408;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.4555;90;None;;;;0.1698184;0.7272925;0.01637316;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.4665;91;None;;;;0.1699279;0.7272954;0.01634955;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.4774;92;None;;;;0.1699015;0.7272964;0.0168047;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.4884;93;None;;;;0.1698703;0.7272767;0.01681495;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.5004;94;None;;;;0.1696433;0.7272389;0.01682544;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.5114;95;None;;;;0.1695558;0.7273464;0.016855;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.5223;96;None;;;;0.1694819;0.7273182;0.01684356;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.5333;97;None;;;;0.1694152;0.7273374;0.01690602;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.5453;98;None;;;;0.1693852;0.7274904;0.0171454;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.5562;99;None;;;;0.1694161;0.7274952;0.01713252;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.5672;100;None;;;;0.1694326;0.7275132;0.01706076;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.5782;101;None;;;;0.1694658;0.7275218;0.01726437;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.5897;102;None;;;;0.1695036;0.7275311;0.01726508;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.6006;103;None;;;;0.1696571;0.7274753;0.01718688;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.6116;104;None;;;;0.169673;0.7276376;0.01732445;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.6226;105;None;;;;0.1697017;0.7276121;0.017349;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.6335;106;None;;;;0.1696891;0.7275099;0.01729798;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.6455;107;None;;;;0.1697071;0.7275963;0.01734638;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.6565;108;None;;;;0.1697394;0.7276384;0.01739812;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.6674;109;None;;;;0.1695821;0.7276506;0.01738906;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.6784;110;None;;;;0.1695885;0.7278413;0.01754689;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.6899;111;None;;;;0.1696222;0.7278888;0.01753569;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.7009;112;None;;;;0.1698312;0.7277795;0.01730132;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.7128;113;None;;;;0.1698495;0.7278817;0.01750612;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.7238;114;None;;;;0.1698593;0.7279296;0.01750541;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.7348;115;None;;;;0.1699163;0.7278932;0.01739097;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.7458;116;None;;;;0.1698626;0.7281131;0.01772189;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.7568;117;None;;;;0.1698287;0.7281474;0.01773834;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.7687;118;None;;;;0.1696804;0.72813;0.017694;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.7797;119;None;;;;0.1696325;0.7282153;0.01782393;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.7912;120;None;;;;0.1696129;0.7282366;0.0178566;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.8021;121;None;;;;0.1696478;0.7281407;0.01775241;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.8131;122;None;;;;0.1696677;0.7282377;0.01797962;pinch;0;;Moving to rest position;
ceba093d-3462-4540-9588-ca890215d959;2025-05-08 12:14:37.8241;123;None;;;;0.1697003;0.7282622;0.0180409;pinch;0;;Moving to rest position;
