EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
10;2;-1;-42;-4;-22;-17;10;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9097
-6;3;-4;65;-1;16;28;-5;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9117
-11;-5;0;33;0;17;11;-11;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9267
7;-3;1;-54;-4;-15;-24;5;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9267
8;1;-1;-35;-1;-16;-17;4;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9267
-3;0;-2;31;0;5;13;-3;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9267
-3;-2;0;3;0;5;1;-5;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9356
2;-2;0;-27;0;-10;-12;3;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9356
1;1;-2;-8;-1;-6;-4;2;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9496
-4;-1;3;21;-1;6;8;-4;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9496
0;-2;-1;1;0;1;-1;-3;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9506
0;-1;-2;-14;-1;-5;-6;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9506
0;1;-1;-5;-1;-4;-2;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9556
-3;0;-3;12;0;6;8;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9556
0;-2;0;3;1;2;-2;-1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9695
1;0;-1;-11;-1;-5;-5;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9695
2;-2;1;-8;0;-3;-3;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9945
-3;-1;-1;12;-2;1;3;-5;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9945
-5;-2;1;1;-1;2;1;-1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9955
0;1;-2;-10;-2;-5;-6;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:20.9955
1;-1;-1;-3;-1;-3;-1;-1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.0598
-2;-2;-1;16;0;5;7;-2;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.0598
-2;-2;-3;-4;-1;2;-4;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.0818
0;0;0;-12;1;-4;-4;1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.0818
-1;0;-2;-5;0;-2;-4;1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2478
1;-2;-3;-7;0;-4;-2;1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2478
-1;0;1;3;-1;-1;1;-1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2498
-1;-1;-2;10;0;4;5;-4;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2498
1;-2;0;-9;0;-4;-5;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2717
0;-1;-1;-7;-1;-2;-2;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2717
0;-2;-2;-10;-2;-1;-2;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2727
1;-3;2;-2;0;-1;-1;1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2727
0;-2;0;-12;-1;-4;-3;1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2757
0;0;-1;1;-2;0;1;1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2757
1;0;-1;-9;-2;-2;-3;2;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2767
-1;-1;-4;-3;-2;-1;-1;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.2767
-3;-1;-1;6;0;-1;0;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.3386
-1;-2;-2;5;-1;1;0;-3;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.3386
2;-1;1;-12;0;-5;-5;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.3396
-1;-1;-1;2;-1;-3;2;-1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.3396
-2;1;-2;6;-1;1;2;-2;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.4812
-3;1;0;6;-2;3;2;-3;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.4812
2;-3;-1;-11;-1;-6;-6;1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.4822
-1;-1;-1;0;-2;-1;-1;-1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.4822
1;0;-1;-9;-1;-4;-6;-1;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.5071
-1;-1;-1;0;-1;-2;0;0;3b7c6130-54a6-491e-9b42-c1711cd33749;2025-05-12 09:59:21.5071
