,gesture,precision,recall,f1-score
0,Extension,0.6564885496183206,0.6745098039215687,0.6653771760154739
1,Fist,0.655860349127182,0.5990888382687927,0.6261904761904762
2,Flexion,0.7972027972027972,0.7737556561085973,0.7853042479908151
3,Pinch,0.5474006116207951,0.40497737556561086,0.46553966189856955
4,Extension,0.7439024390243902,0.1373873873873874,0.23193916349809887
5,Fist,0.6818181818181818,0.40540540540540543,0.5084745762711864
6,Flexion,0.8598130841121495,0.6202247191011236,0.720626631853786
7,Pinch,0.41759465478841873,0.7156488549618321,0.5274261603375527
8,Extension,0.6677740863787376,0.4527027027027027,0.5395973154362416
9,Fist,0.3346456692913386,0.1905829596412556,0.24285714285714285
10,Flexion,0.0,0.0,0.0
11,Pinch,0.3139240506329114,0.8378378378378378,0.4567219152854512
12,Extension,0.3353080568720379,0.6345291479820628,0.4387596899224806
13,Fist,0.0,0.0,0.0
14,Flexion,0.45179063360881544,0.7370786516853932,0.5602049530315969
15,Pinch,1.0,0.0044943820224719105,0.008948545861297539
16,Extension,0.49625,0.8901345291479821,0.637239165329053
17,Fist,0.6299435028248588,0.5068181818181818,0.5617128463476071
18,Flexion,0.7923250564334086,0.7905405405405406,0.7914317925591883
19,Pinch,0.0,0.0,0.0
20,Extension,0.9767441860465116,0.18834080717488788,0.3157894736842105
21,Fist,0.7520661157024794,0.19157894736842104,0.3053691275167785
22,Flexion,0.8130841121495327,0.5812917594654788,0.6779220779220779
23,Pinch,0.32195500387897596,0.9242761692650334,0.47756041426927504
24,Extension,0.6519434628975265,0.831081081081081,0.7306930693069307
25,Fist,0.8666666666666667,0.701123595505618,0.7751552795031056
26,Flexion,0.8968481375358166,0.7033707865168539,0.7884130982367759
27,Pinch,0.7830985915492957,0.6275395033860045,0.6967418546365914
28,Extension,0.6033057851239669,0.3295711060948081,0.42627737226277373
29,Fist,0.983957219251337,0.3881856540084388,0.556732223903177
30,Flexion,0.27591973244147155,0.7482993197278912,0.40317654245571166
31,Pinch,0.0,0.0,0.0
32,Extension,0.609860664523044,0.8429629629629629,0.7077114427860697
33,Fist,0.5208333333333334,0.6179775280898876,0.5652620760534429
34,Flexion,0.8607594936708861,0.6057906458797327,0.7111111111111111
35,Pinch,0.9398148148148148,0.45617977528089887,0.6142208774583964
36,Extension,0.6986666666666667,0.5048169556840078,0.5861297539149888
37,Fist,0.89171974522293,0.623608017817372,0.7339449541284404
38,Flexion,0.7427055702917772,0.6278026905829597,0.6804374240583232
39,Pinch,0.5064432989690721,0.8831460674157303,0.6437346437346437
40,Extension,0.0,0.0,0.0
41,Fist,0.34513274336283184,0.6162528216704289,0.44246353322528365
42,Flexion,0.8,0.6666666666666666,0.7272727272727273
43,Pinch,0.585,0.5282167042889391,0.5551601423487544
44,Extension,0.6377649325626205,0.7274725274725274,0.6796714579055442
45,Fist,0.0,0.0,0.0
46,Flexion,0.6295336787564767,0.54,0.5813397129186603
47,Pinch,0.4592496765847348,0.7995495495495496,0.5834018077239113
48,Extension,0.6130434782608696,0.31614349775784756,0.4171597633136095
49,Fist,0.49899396378269617,0.5585585585585585,0.5270988310308182
50,Flexion,0.6531531531531531,0.327313769751693,0.43609022556390975
51,Pinch,0.29983792544570503,0.4166666666666667,0.34872761545711595
52,Extension,0.758893280632411,0.38247011952191234,0.5086092715231788
53,Fist,0.8188679245283019,0.49206349206349204,0.6147308781869688
54,Flexion,0.7039274924471299,0.5212527964205816,0.5989717223650386
55,Pinch,0.38523644752018454,0.7573696145124716,0.5107033639143731
56,Extension,0.734341252699784,0.7674943566591422,0.7505518763796909
57,Fist,0.8746081504702194,0.6283783783783784,0.7313237221494102
58,Flexion,0.9597523219814241,0.6981981981981982,0.8083441981747066
59,Pinch,0.6901140684410646,0.8175675675675675,0.7484536082474227
60,Extension,0.5249266862170088,0.4040632054176072,0.45663265306122447
61,Fist,0.5793103448275863,0.5637583892617449,0.5714285714285714
62,Flexion,0.41680672268907565,0.5092402464065708,0.4584103512014787
63,Pinch,0.3,0.25675675675675674,0.2766990291262136
64,Extension,0.9528301886792453,0.22747747747747749,0.36727272727272725
65,Fist,0.76775956284153,0.6328828828828829,0.6938271604938272
66,Flexion,0.9473684210526315,0.8089887640449438,0.8727272727272727
67,Pinch,0.4431687715269805,0.8693693693693694,0.5870722433460076
68,Extension,0.5791505791505791,0.6787330316742082,0.625
69,Fist,0.7472527472527473,0.15246636771300448,0.2532588454376164
70,Flexion,0.9806201550387597,0.5711060948081265,0.7218259629101283
71,Pinch,0.534375,0.7668161434977578,0.6298342541436464
