gesture, precision, recall, f1-score, support
extension, 0.8746081504702194,0.9238410596026491,0.8985507246376812,302.0
fist, 0.8532608695652174,0.9573170731707317,0.9022988505747126,328.0
flexion, 0.9230769230769231,0.8362369337979094,0.8775137111517367,287.0
pinch, 0.8982456140350877,0.8126984126984127,0.8533333333333334,315.0
extension, 0.9471698113207547,0.8655172413793103,0.9045045045045045,290.0
fist, 0.6794117647058824,0.7107692307692308,0.6947368421052632,325.0
flexion, 0.9906976744186047,0.684887459807074,0.8098859315589354,311.0
pinch, 0.628992628992629,0.8504983388704319,0.7231638418079096,301.0
extension, 0.9191176470588235,0.7886435331230284,0.8488964346349746,317.0
fist, 0.8444444444444444,0.7169811320754716,0.7755102040816326,265.0
flexion, 0.88,0.7719298245614035,0.822429906542056,285.0
pinch, 0.6757990867579908,0.9308176100628931,0.783068783068783,318.0
extension, 0.9865319865319865,0.8960244648318043,0.9391025641025641,327.0
fist, 0.6793168880455408,0.8325581395348837,0.7481713688610241,430.0
flexion, 0.9789915966386554,0.768976897689769,0.8613678373382625,303.0
pinch, 0.716374269005848,0.7122093023255814,0.7142857142857143,344.0
extension, 0.9689119170984456,0.751004016064257,0.8461538461538461,249.0
fist, 0.9431818181818182,0.8084415584415584,0.8706293706293706,308.0
flexion, 0.940677966101695,0.8102189781021898,0.8705882352941177,274.0
pinch, 0.6372093023255814,0.9383561643835616,0.7590027700831025,292.0
extension, 0.9744680851063829,0.8419117647058824,0.903353057199211,272.0
fist, 0.8476190476190476,0.8929765886287625,0.8697068403908795,299.0
flexion, 0.9607142857142857,0.8996655518394648,0.9291882556131261,299.0
pinch, 0.8042168674698795,0.9143835616438356,0.8557692307692307,292.0
extension, 0.826530612244898,0.9,0.8617021276595744,270.0
fist, 0.8913043478260869,0.822742474916388,0.8556521739130435,299.0
flexion, 0.7353951890034365,0.8492063492063492,0.7882136279926335,252.0
pinch, 0.8921161825726142,0.7651245551601423,0.8237547892720306,281.0
extension, 0.9521739130434783,0.948051948051948,0.9501084598698482,231.0
fist, 0.9765625,0.929368029739777,0.9523809523809523,269.0
flexion, 0.9806763285024155,0.8218623481781376,0.8942731277533039,247.0
pinch, 0.8249258160237388,0.9823321554770318,0.896774193548387,283.0
extension, 0.9910714285714286,0.8072727272727273,0.8897795591182365,275.0
fist, 0.9908256880733946,0.8470588235294118,0.9133192389006343,255.0
flexion, 0.9864253393665159,0.8755020080321285,0.9276595744680851,249.0
pinch, 0.6836461126005362,0.9922178988326849,0.8095238095238095,257.0
extension, 0.9695652173913043,0.8479087452471483,0.9046653144016227,263.0
fist, 0.8426573426573427,0.8860294117647058,0.8637992831541219,272.0
flexion, 0.9484978540772532,0.8215613382899628,0.8804780876494024,269.0
pinch, 0.7629179331306991,0.916058394160584,0.8325041459369817,274.0
extension, 0.9454545454545454,0.8715083798882681,0.9069767441860465,358.0
fist, 0.7835820895522388,0.7317073170731707,0.7567567567567568,287.0
flexion, 0.9575971731448764,0.7742857142857142,0.8562401263823065,350.0
pinch, 0.6590389016018307,0.891640866873065,0.7578947368421053,323.0
extension, 0.783068783068783,0.8888888888888888,0.8326300984528833,333.0
fist, 0.8494623655913979,0.9106628242074928,0.8789986091794159,347.0
flexion, 0.9292604501607717,0.8401162790697675,0.8824427480916031,344.0
pinch, 0.889273356401384,0.7883435582822086,0.8357723577235773,326.0
extension, 0.934640522875817,0.9050632911392406,0.9196141479099679,316.0
fist, 0.90625,0.9382352941176471,0.9219653179190751,340.0
flexion, 0.9865319865319865,0.839541547277937,0.9071207430340558,349.0
pinch, 0.7556818181818182,0.8807947019867549,0.8134556574923547,302.0
extension, 0.9540229885057471,0.9256505576208178,0.939622641509434,269.0
fist, 0.9756838905775076,0.9469026548672567,0.9610778443113772,339.0
flexion, 0.9178571428571428,0.8453947368421053,0.8801369863013698,304.0
pinch, 0.8347578347578347,0.948220064724919,0.8878787878787879,309.0
extension, 0.9845559845559846,0.9340659340659341,0.9586466165413534,273.0
fist, 0.8920863309352518,0.9649805447470817,0.9271028037383178,257.0
flexion, 1.0,0.8764044943820225,0.9341317365269461,267.0
pinch, 0.8566433566433567,0.9423076923076923,0.8974358974358975,260.0
extension, 0.925764192139738,0.8548387096774194,0.8888888888888888,248.0
fist, 0.9956331877729258,0.8976377952755905,0.9440993788819876,254.0
flexion, 0.7516129032258064,0.9031007751937985,0.8204225352112676,258.0
pinch, 0.7991266375545851,0.7721518987341772,0.7854077253218884,237.0
extension, 0.9481481481481482,0.9481481481481482,0.9481481481481482,270.0
fist, 0.9066666666666666,0.9411764705882353,0.9235993208828522,289.0
flexion, 0.9923371647509579,0.9087719298245615,0.9487179487179487,285.0
pinch, 0.9134948096885813,0.9565217391304348,0.9345132743362832,276.0
extension, 0.9583333333333334,0.7781954887218046,0.8589211618257261,266.0
fist, 0.9053030303030303,0.9157088122605364,0.9104761904761904,261.0
flexion, 0.9902912621359223,0.7816091954022989,0.8736616702355461,261.0
pinch, 0.6781914893617021,0.9306569343065694,0.7846153846153846,274.0
