,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,ID,FrameNumber,ActivatedCube,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ,GoalGesture,GesturesAttempted,AttemptsInCube,State,Event
0,5,0,-3,0,0,-2,1,0,2025-04-29 09:53:21.239700,7ddad0e4-410f-4b15-8a1a-bf8c51b14d4a,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
1,2,3,4,-1,-2,-1,1,0,2025-04-29 09:53:21.242700,7ddad0e4-410f-4b15-8a1a-bf8c51b14d4a,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
2,3,2,0,-1,-3,-1,1,3,2025-04-29 09:53:21.244700,7ddad0e4-410f-4b15-8a1a-bf8c51b14d4a,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
3,-3,-2,-3,0,-2,-1,-1,-2,2025-04-29 09:53:21.244700,7ddad0e4-410f-4b15-8a1a-bf8c51b14d4a,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
4,-3,-4,-3,-1,0,0,0,-2,2025-04-29 09:53:21.244700,7ddad0e4-410f-4b15-8a1a-bf8c51b14d4a,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
5,0,1,1,0,-2,-1,0,0,2025-04-29 09:53:21.245700,7ddad0e4-410f-4b15-8a1a-bf8c51b14d4a,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
6,1,2,1,1,1,-1,-2,1,2025-04-29 09:53:21.245700,7ddad0e4-410f-4b15-8a1a-bf8c51b14d4a,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
7,-2,-4,-3,-2,-1,0,-1,-2,2025-04-29 09:53:21.245700,7ddad0e4-410f-4b15-8a1a-bf8c51b14d4a,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
8,-7,-5,-4,-2,0,1,-1,-3,2025-04-29 09:53:21.251700,7ddad0e4-410f-4b15-8a1a-bf8c51b14d4a,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
9,0,3,0,-2,0,-1,1,-1,2025-04-29 09:53:21.251700,7ddad0e4-410f-4b15-8a1a-bf8c51b14d4a,2,,,,,0.0,0.0,0.0,fist,0,,Moving to rest position,
