EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;SessionID;Timestamp
1;0;0;-2;0;-2;-1;2;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7632
-2;0;0;0;-3;0;-1;-1;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7661
-1;-2;-1;1;0;-2;-2;-1;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7661
-2;1;-2;1;-1;0;0;-1;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7661
0;-2;-4;-3;-1;0;-2;-3;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7661
-1;-2;-1;-2;-1;-1;-1;4;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7661
0;0;-2;-1;-2;-1;-2;1;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7661
-2;-1;1;1;0;0;-2;0;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7661
0;1;-1;-2;-1;-2;-1;-2;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7811
0;-1;-1;-2;-1;-1;0;-1;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7821
0;-1;0;-1;1;1;2;1;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7946
-1;-1;-3;0;0;0;-1;-4;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7946
-5;2;-2;-1;-2;-2;0;-1;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7976
1;0;-2;-1;1;-1;-1;-2;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.7986
-1;-4;-3;0;-1;-2;-1;0;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.8085
0;-2;-1;-1;-1;-1;0;-1;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.8085
1;-1;1;-1;-1;-1;0;-1;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.8175
-1;-1;-1;-1;-2;-1;-1;-1;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.8175
-1;1;-1;1;-1;-1;-2;-2;687225d9-8424-40aa-9148-93617b152e31;2025-04-25 10:36:21.8315
