EMG1;EMG2;EMG3;EMG4;EMG5;EMG6;EMG7;EMG8;Timestamp;ID;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAtempted;AttemptsInCube;State;Event
-1;1;-2;-1;-14;-1;-1;-1;2025-03-21 13:00:37.712000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
1;-3;0;-1;-11;-2;-2;-1;2025-03-21 13:00:37.715000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;0;-2;-1;-12;-1;-1;-1;2025-03-21 13:00:37.715000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;2;0;-1;-9;-1;0;1;2025-03-21 13:00:37.715000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;0;-1;0;-7;0;-1;0;2025-03-21 13:00:37.716000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-3;-1;0;-9;-2;0;-2;2025-03-21 13:00:37.716000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;0;-1;-1;-8;1;-2;0;2025-03-21 13:00:37.716000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;0;-3;-2;-9;-1;-1;-2;2025-03-21 13:00:37.716000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-1;-2;-1;-7;-1;-2;-1;2025-03-21 13:00:37.718000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-4;0;0;-9;-2;-1;-1;2025-03-21 13:00:37.719000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-3;-1;-1;-7;-1;-3;-1;2025-03-21 13:00:37.721000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-1;-1;-1;-11;-2;-1;-1;2025-03-21 13:00:37.721000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;0;-1;0;-8;-2;-1;-1;2025-03-21 13:00:37.730000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-3;-1;0;-8;0;0;-2;2025-03-21 13:00:37.730000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-2;-2;-1;-16;-2;-1;-2;2025-03-21 13:00:37.736000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;1;1;-1;-20;0;-4;-1;2025-03-21 13:00:37.736000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-2;-2;1;-25;-3;-1;-1;2025-03-21 13:00:37.745000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-3;-3;-1;-29;-2;0;0;2025-03-21 13:00:37.745000;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-2;-2;-1;-39;0;0;-1;2025-03-21 13:00:37.765900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
1;-1;-1;-2;-29;-2;-1;-1;2025-03-21 13:00:37.765900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;0;-2;-1;-20;0;-1;0;2025-03-21 13:00:37.765900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;0;-1;0;-19;0;-1;-2;2025-03-21 13:00:37.765900;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;0;0;0;-12;0;1;0;2025-03-21 13:00:37.788800;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;0;-2;-1;-14;-1;-1;-1;2025-03-21 13:00:37.788800;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-1;-1;-2;-15;0;0;-1;2025-03-21 13:00:37.795800;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-2;-2;-2;-14;-1;-1;0;2025-03-21 13:00:37.795800;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;0;0;-1;-14;0;-1;-2;2025-03-21 13:00:37.827700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-1;-1;-1;-15;-4;-2;-1;2025-03-21 13:00:37.827700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;-3;-2;-1;-17;0;-2;-2;2025-03-21 13:00:37.827700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-1;-2;0;-19;-1;-2;0;2025-03-21 13:00:37.828700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;2;0;-1;-17;0;-1;-1;2025-03-21 13:00:37.828700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-2;-1;-2;-19;1;0;-1;2025-03-21 13:00:37.828700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-3;-1;-1;-18;-1;-2;-1;2025-03-21 13:00:37.833700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;0;-1;-1;-19;-3;0;0;2025-03-21 13:00:37.833700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
1;0;-2;-4;-19;-1;0;-1;2025-03-21 13:00:37.839700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;0;-2;0;-18;0;-1;0;2025-03-21 13:00:37.839700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;-2;-1;-2;-20;-1;-2;-1;2025-03-21 13:00:37.848700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;-3;-1;-1;-20;-2;-1;-3;2025-03-21 13:00:37.848700;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;1;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
0;1;-1;0;-17;0;-1;0;2025-03-21 13:00:37.879600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-2;1;-1;-1;-17;-1;-1;-2;2025-03-21 13:00:37.879600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-3;-1;-2;-18;-2;0;-1;2025-03-21 13:00:37.880600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
-1;-1;-1;-2;-20;-2;-1;0;2025-03-21 13:00:37.880600;06262e3a-91a3-43f2-b2af-1d2151a2ca3a;2;;;;;0.0;0.0;0.0;extension;0;;Moving to rest position;
