Index,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,ID,FrameNumber,ActivatedCube,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ,GoalGesture,GesturesAttempted,AttemptsInCube,State,Event
0,28.0,2,-14,-14,-12,-3,14,18,2025-05-02 10:53:00.246400,26a82e0f-62db-4ae5-bbc3-93866fe311e1,892,,,,,0.1885585,0.7951556,0.1343136,pinch,0,,MVC,
1,-2.0,0,5,15,-8,-14,-30,-1,2025-05-02 10:53:00.246400,26a82e0f-62db-4ae5-bbc3-93866fe311e1,892,,,,,0.1885585,0.7951556,0.1343136,pinch,0,,MVC,
2,2.0,6,4,10,5,-8,-36,-23,2025-05-02 10:53:00.246400,26a82e0f-62db-4ae5-bbc3-93866fe311e1,892,,,,,0.1885585,0.7951556,0.1343136,pinch,0,,MVC,
3,-11.0,-5,-5,-5,-2,5,43,26,2025-05-02 10:53:00.246400,26a82e0f-62db-4ae5-bbc3-93866fe311e1,892,,,,,0.1885585,0.7951556,0.1343136,pinch,0,,MVC,
4,20.0,14,47,89,25,28,51,21,2025-05-02 10:53:00.266300,26a82e0f-62db-4ae5-bbc3-93866fe311e1,894,,,,,0.1883471,0.7952844,0.1341767,pinch,0,,MVC,
5,-41.0,-25,-80,-87,-24,-21,-104,-81,2025-05-02 10:53:00.266300,26a82e0f-62db-4ae5-bbc3-93866fe311e1,894,,,,,0.1883471,0.7952844,0.1341767,pinch,0,,MVC,
6,-15.0,-13,-23,-33,-1,0,-32,-34,2025-05-02 10:53:00.267300,26a82e0f-62db-4ae5-bbc3-93866fe311e1,894,,,,,0.1883471,0.7952844,0.1341767,pinch,0,,MVC,
7,-4.0,-3,1,-3,-4,-3,-7,-6,2025-05-02 10:53:00.267300,26a82e0f-62db-4ae5-bbc3-93866fe311e1,894,,,,,0.1883471,0.7952844,0.1341767,pinch,0,,MVC,
8,-8.0,-3,3,12,-7,-3,-19,-15,2025-05-02 10:53:00.281300,26a82e0f-62db-4ae5-bbc3-93866fe311e1,895,,,,,0.187958,0.7957034,0.1346593,pinch,0,,MVC,
9,5.0,5,13,3,1,-2,12,6,2025-05-02 10:53:00.281300,26a82e0f-62db-4ae5-bbc3-93866fe311e1,895,,,,,0.187958,0.7957034,0.1346593,pinch,0,,MVC,
10,-5.0,-3,-1,4,-4,-4,-15,-4,2025-05-02 10:53:00.312700,26a82e0f-62db-4ae5-bbc3-93866fe311e1,898,,,,,0.1876074,0.7964176,0.1355667,pinch,0,,MVC,
11,-7.0,-5,1,5,-16,-6,-11,-17,2025-05-02 10:53:00.312700,26a82e0f-62db-4ae5-bbc3-93866fe311e1,898,,,,,0.1876074,0.7964176,0.1355667,pinch,0,,MVC,
12,2.0,3,10,-6,8,2,17,24,2025-05-02 10:53:00.313700,26a82e0f-62db-4ae5-bbc3-93866fe311e1,898,,,,,0.1876074,0.7964176,0.1355667,pinch,0,,MVC,
13,11.0,7,-1,9,10,7,15,13,2025-05-02 10:53:00.313700,26a82e0f-62db-4ae5-bbc3-93866fe311e1,898,,,,,0.1876074,0.7964176,0.1355667,pinch,0,,MVC,
14,-14.0,-5,-13,-1,11,3,-13,-43,2025-05-02 10:53:00.314700,26a82e0f-62db-4ae5-bbc3-93866fe311e1,898,,,,,0.1876074,0.7964176,0.1355667,pinch,0,,MVC,
15,0.0,-2,-6,-15,6,3,5,14,2025-05-02 10:53:00.314700,26a82e0f-62db-4ae5-bbc3-93866fe311e1,898,,,,,0.1876074,0.7964176,0.1355667,pinch,0,,MVC,
16,4.0,4,6,-7,-5,2,-10,-4,2025-05-02 10:53:00.341600,26a82e0f-62db-4ae5-bbc3-93866fe311e1,901,,,,,0.186774,0.7974151,0.1372693,pinch,0,,MVC,
17,-10.0,-7,-11,5,-7,-9,-15,-21,2025-05-02 10:53:00.341600,26a82e0f-62db-4ae5-bbc3-93866fe311e1,901,,,,,0.186774,0.7974151,0.1372693,pinch,0,,MVC,
18,-3.0,-12,-13,-33,-11,-2,6,8,2025-05-02 10:53:00.348600,26a82e0f-62db-4ae5-bbc3-93866fe311e1,901,,,,,0.186774,0.7974151,0.1372693,pinch,0,,MVC,
19,3.0,5,7,0,-11,-3,2,14,2025-05-02 10:53:00.348600,26a82e0f-62db-4ae5-bbc3-93866fe311e1,901,,,,,0.186774,0.7974151,0.1372693,pinch,0,,MVC,
20,2.0,0,-10,-6,20,7,-4,-1,2025-05-02 10:53:00.356600,26a82e0f-62db-4ae5-bbc3-93866fe311e1,902,,,,,0.1864929,0.7976228,0.1377771,pinch,0,,MVC,
21,-3.0,9,10,-10,-7,-4,-6,-4,2025-05-02 10:53:00.356600,26a82e0f-62db-4ae5-bbc3-93866fe311e1,902,,,,,0.1864929,0.7976228,0.1377771,pinch,0,,MVC,
22,0.0,8,13,42,25,2,19,2,2025-05-02 10:53:00.380500,26a82e0f-62db-4ae5-bbc3-93866fe311e1,904,,,,,0.1856902,0.7985379,0.1396017,pinch,0,,MVC,
23,5.0,-17,-13,-29,-24,0,-1,13,2025-05-02 10:53:00.380500,26a82e0f-62db-4ae5-bbc3-93866fe311e1,904,,,,,0.1856902,0.7985379,0.1396017,pinch,0,,MVC,
24,-5.0,1,1,2,-12,-37,-73,-15,2025-05-02 10:53:00.381500,26a82e0f-62db-4ae5-bbc3-93866fe311e1,904,,,,,0.1856902,0.7985379,0.1396017,pinch,0,,MVC,
25,-15.0,-1,6,8,7,-6,-25,-36,2025-05-02 10:53:00.381500,26a82e0f-62db-4ae5-bbc3-93866fe311e1,904,,,,,0.1856902,0.7985379,0.1396017,pinch,0,,MVC,
