EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,ID,FrameNumber,ActivatedCube,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ,GoalGesture,GesturesAttempted,AttemptsInCube,State,Event
-1,0,-2,-2,-3,-1,-1,-2,2025-04-23 14:15:09.913400,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
-1,-2,-1,-2,0,0,-2,0,2025-04-23 14:15:09.916300,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
0,-1,-1,-2,-1,0,1,0,2025-04-23 14:15:09.918800,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
1,-1,0,-1,0,-1,-1,-2,2025-04-23 14:15:09.918800,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
-1,-1,0,1,-1,-2,0,-1,2025-04-23 14:15:09.927800,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
-1,0,0,-1,-1,-1,-1,0,2025-04-23 14:15:09.927800,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
0,-1,-1,-1,0,0,-2,-1,2025-04-23 14:15:09.988200,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
-1,-2,-2,0,-2,-1,0,0,2025-04-23 14:15:09.988200,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
-1,-2,-1,-2,-1,-2,-1,-2,2025-04-23 14:15:09.989200,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
-1,-1,-2,-1,0,-1,-1,-3,2025-04-23 14:15:09.989200,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
-2,0,0,-1,1,-1,-2,-1,2025-04-23 14:15:10.428100,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
-2,-2,-2,1,-2,-1,-2,-1,2025-04-23 14:15:10.428100,be945fc2-f996-4627-8524-a2d07803e8dd,2,,,,,0.0,0.0,0.0,extension,0,,Moving to rest position,
