Index,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8,Timestamp,ID,FrameNumber,ActivatedCube,ActiveCubeX,ActiveCubeY,ActiveCubeZ,TrackerX,TrackerY,TrackerZ,GoalGesture,GesturesAttempted,AttemptsInCube,State,Event
0,2,-8,-34,-5,-4,-6,24,17,2025-04-23 14:27:02.460200,2d45d544-fc68-4786-900f-76773a099e26,874,,,,,0.2269451,0.8868617,0.150979,flexion,0,,MVC,
1,6,-10,22,4,3,2,-25,-11,2025-04-23 14:27:02.461200,2d45d544-fc68-4786-900f-76773a099e26,874,,,,,0.2269451,0.8868617,0.150979,flexion,0,,MVC,
2,-8,26,36,8,4,-4,11,-84,2025-04-23 14:27:02.478200,2d45d544-fc68-4786-900f-76773a099e26,875,,,,,0.2268627,0.888464,0.15223,flexion,0,,MVC,
3,-10,3,30,-3,-1,8,82,83,2025-04-23 14:27:02.478200,2d45d544-fc68-4786-900f-76773a099e26,875,,,,,0.2268627,0.888464,0.15223,flexion,0,,MVC,
4,25,18,19,-8,-4,-43,71,35,2025-04-23 14:27:02.479200,2d45d544-fc68-4786-900f-76773a099e26,875,,,,,0.2268627,0.888464,0.15223,flexion,0,,MVC,
5,-23,-26,3,5,-2,-19,42,44,2025-04-23 14:27:02.479200,2d45d544-fc68-4786-900f-76773a099e26,875,,,,,0.2268627,0.888464,0.15223,flexion,0,,MVC,
6,4,-2,-24,13,15,64,-60,-75,2025-04-23 14:27:02.480200,2d45d544-fc68-4786-900f-76773a099e26,875,,,,,0.2268627,0.888464,0.15223,flexion,0,,MVC,
7,10,40,22,-2,-8,-33,-127,39,2025-04-23 14:27:02.480200,2d45d544-fc68-4786-900f-76773a099e26,875,,,,,0.2268627,0.888464,0.15223,flexion,0,,MVC,
8,17,42,8,1,-2,62,-89,36,2025-04-23 14:27:02.490200,2d45d544-fc68-4786-900f-76773a099e26,876,,,,,0.226374,0.8901687,0.1537926,flexion,0,,MVC,
9,-36,-66,-42,-17,-15,-51,103,-109,2025-04-23 14:27:02.490200,2d45d544-fc68-4786-900f-76773a099e26,876,,,,,0.226374,0.8901687,0.1537926,flexion,0,,MVC,
10,-8,7,3,-4,-2,4,49,25,2025-04-23 14:27:02.498600,2d45d544-fc68-4786-900f-76773a099e26,877,,,,,0.2261125,0.8915776,0.1547983,flexion,0,,MVC,
11,13,-7,20,3,-3,-42,-113,43,2025-04-23 14:27:02.498600,2d45d544-fc68-4786-900f-76773a099e26,877,,,,,0.2261125,0.8915776,0.1547983,flexion,0,,MVC,
12,0,-9,-27,1,1,23,-15,-5,2025-04-23 14:27:02.512600,2d45d544-fc68-4786-900f-76773a099e26,878,,,,,0.2259559,0.8931726,0.1558974,flexion,0,,MVC,
13,-13,-11,-16,-5,1,-14,-17,-52,2025-04-23 14:27:02.512600,2d45d544-fc68-4786-900f-76773a099e26,878,,,,,0.2259559,0.8931726,0.1558974,flexion,0,,MVC,
14,5,-8,11,2,1,-4,36,-15,2025-04-23 14:27:02.528600,2d45d544-fc68-4786-900f-76773a099e26,880,,,,,0.2255981,0.8969184,0.1580083,flexion,0,,MVC,
15,-3,32,-3,-1,0,-1,24,-72,2025-04-23 14:27:02.528600,2d45d544-fc68-4786-900f-76773a099e26,880,,,,,0.2255981,0.8969184,0.1580083,flexion,0,,MVC,
16,-1,11,9,-1,2,9,26,35,2025-04-23 14:27:02.545500,2d45d544-fc68-4786-900f-76773a099e26,881,,,,,0.2256489,0.8984648,0.1590154,flexion,0,,MVC,
17,16,12,26,4,3,-34,60,48,2025-04-23 14:27:02.545500,2d45d544-fc68-4786-900f-76773a099e26,881,,,,,0.2256489,0.8984648,0.1590154,flexion,0,,MVC,
18,8,15,43,3,3,60,-13,62,2025-04-23 14:27:02.546500,2d45d544-fc68-4786-900f-76773a099e26,881,,,,,0.2256489,0.8984648,0.1590154,flexion,0,,MVC,
19,14,18,-8,3,2,-28,78,33,2025-04-23 14:27:02.546500,2d45d544-fc68-4786-900f-76773a099e26,881,,,,,0.2256489,0.8984648,0.1590154,flexion,0,,MVC,
20,-25,-48,-36,-5,-2,-94,-42,-77,2025-04-23 14:27:02.550500,2d45d544-fc68-4786-900f-76773a099e26,882,,,,,0.2255455,0.8997682,0.1601875,flexion,0,,MVC,
21,5,3,-1,-2,0,80,-7,34,2025-04-23 14:27:02.550500,2d45d544-fc68-4786-900f-76773a099e26,882,,,,,0.2255455,0.8997682,0.1601875,flexion,0,,MVC,
22,-32,20,-53,-7,-3,-53,15,-57,2025-04-23 14:27:02.574400,2d45d544-fc68-4786-900f-76773a099e26,884,,,,,0.2251578,0.9020274,0.1627514,flexion,0,,MVC,
23,-8,-47,9,-4,-6,47,-43,-63,2025-04-23 14:27:02.574400,2d45d544-fc68-4786-900f-76773a099e26,884,,,,,0.2251578,0.9020274,0.1627514,flexion,0,,MVC,
24,8,2,-1,2,-2,62,-101,-73,2025-04-23 14:27:02.575400,2d45d544-fc68-4786-900f-76773a099e26,884,,,,,0.2251578,0.9020274,0.1627514,flexion,0,,MVC,
25,-4,-44,-20,4,7,-101,-3,-122,2025-04-23 14:27:02.575400,2d45d544-fc68-4786-900f-76773a099e26,884,,,,,0.2251578,0.9020274,0.1627514,flexion,0,,MVC,
26,-3,32,13,-12,-13,29,15,76,2025-04-23 14:27:02.581400,2d45d544-fc68-4786-900f-76773a099e26,885,,,,,0.2246843,0.9031155,0.1638381,flexion,0,,MVC,
27,3,54,19,-3,-6,13,-58,43,2025-04-23 14:27:02.581400,2d45d544-fc68-4786-900f-76773a099e26,885,,,,,0.2246843,0.9031155,0.1638381,flexion,0,,MVC,
28,-3,-35,3,4,-2,29,37,83,2025-04-23 14:27:02.583400,2d45d544-fc68-4786-900f-76773a099e26,885,,,,,0.2246843,0.9031155,0.1638381,flexion,0,,MVC,
29,23,25,43,6,7,70,68,23,2025-04-23 14:27:02.583400,2d45d544-fc68-4786-900f-76773a099e26,885,,,,,0.2246843,0.9031155,0.1638381,flexion,0,,MVC,
30,-12,-34,-21,1,1,-41,25,94,2025-04-23 14:27:02.595400,2d45d544-fc68-4786-900f-76773a099e26,886,,,,,0.2242237,0.9044005,0.1649232,flexion,0,,MVC,
31,3,17,0,2,3,-59,75,-24,2025-04-23 14:27:02.595400,2d45d544-fc68-4786-900f-76773a099e26,886,,,,,0.2242237,0.9044005,0.1649232,flexion,0,,MVC,
32,-3,67,65,7,5,80,-98,-14,2025-04-23 14:27:02.610300,2d45d544-fc68-4786-900f-76773a099e26,887,,,,,0.2239566,0.90578,0.1659033,flexion,0,,MVC,
33,15,-5,-10,-7,-13,58,45,95,2025-04-23 14:27:02.610300,2d45d544-fc68-4786-900f-76773a099e26,887,,,,,0.2239566,0.90578,0.1659033,flexion,0,,MVC,
34,-28,-116,-96,-13,1,-98,-57,67,2025-04-23 14:27:02.618300,2d45d544-fc68-4786-900f-76773a099e26,888,,,,,0.2235817,0.907269,0.1662817,flexion,0,,MVC,
35,34,73,-36,1,3,-67,-3,-88,2025-04-23 14:27:02.618300,2d45d544-fc68-4786-900f-76773a099e26,888,,,,,0.2235817,0.907269,0.1662817,flexion,0,,MVC,
36,-3,-10,-6,-6,-1,94,5,-32,2025-04-23 14:27:02.632300,2d45d544-fc68-4786-900f-76773a099e26,889,,,,,0.2231517,0.9085888,0.1667747,flexion,0,,MVC,
37,1,31,34,6,-8,-65,-50,104,2025-04-23 14:27:02.632300,2d45d544-fc68-4786-900f-76773a099e26,889,,,,,0.2231517,0.9085888,0.1667747,flexion,0,,MVC,
38,45,62,38,13,13,-2,94,18,2025-04-23 14:27:02.643300,2d45d544-fc68-4786-900f-76773a099e26,890,,,,,0.223043,0.9097284,0.1670241,flexion,0,,MVC,
39,21,14,60,13,8,-78,-110,-84,2025-04-23 14:27:02.643300,2d45d544-fc68-4786-900f-76773a099e26,890,,,,,0.223043,0.9097284,0.1670241,flexion,0,,MVC,
40,-32,-77,-58,-19,-11,106,29,52,2025-04-23 14:27:02.644300,2d45d544-fc68-4786-900f-76773a099e26,890,,,,,0.223043,0.9097284,0.1670241,flexion,0,,MVC,
41,4,50,17,2,-3,-107,-50,-95,2025-04-23 14:27:02.644300,2d45d544-fc68-4786-900f-76773a099e26,890,,,,,0.223043,0.9097284,0.1670241,flexion,0,,MVC,
42,-4,-55,-30,2,4,41,60,120,2025-04-23 14:27:02.655200,2d45d544-fc68-4786-900f-76773a099e26,891,,,,,0.2228484,0.9106839,0.1675191,flexion,0,,MVC,
43,48,28,18,3,-4,85,34,-20,2025-04-23 14:27:02.655200,2d45d544-fc68-4786-900f-76773a099e26,891,,,,,0.2228484,0.9106839,0.1675191,flexion,0,,MVC,
44,34,53,60,7,9,-48,33,44,2025-04-23 14:27:02.670700,2d45d544-fc68-4786-900f-76773a099e26,893,,,,,0.2226281,0.9131633,0.1686676,flexion,0,,MVC,
45,-3,47,-41,0,12,-17,-34,72,2025-04-23 14:27:02.670700,2d45d544-fc68-4786-900f-76773a099e26,893,,,,,0.2226281,0.9131633,0.1686676,flexion,0,,MVC,
46,-36,-74,-4,-6,-8,-99,11,-82,2025-04-23 14:27:02.677700,2d45d544-fc68-4786-900f-76773a099e26,893,,,,,0.2226281,0.9131633,0.1686676,flexion,0,,MVC,
47,-61,10,28,-6,-3,-46,16,-20,2025-04-23 14:27:02.678700,2d45d544-fc68-4786-900f-76773a099e26,893,,,,,0.2226281,0.9131633,0.1686676,flexion,0,,MVC,
48,46,116,-11,-1,-4,59,29,97,2025-04-23 14:27:02.692600,2d45d544-fc68-4786-900f-76773a099e26,895,,,,,0.2228187,0.9144533,0.1702557,flexion,0,,MVC,
49,-12,-97,18,1,6,-7,74,49,2025-04-23 14:27:02.692600,2d45d544-fc68-4786-900f-76773a099e26,895,,,,,0.2228187,0.9144533,0.1702557,flexion,0,,MVC,
50,7,-22,-10,-6,-2,127,-128,117,2025-04-23 14:27:02.700600,2d45d544-fc68-4786-900f-76773a099e26,895,,,,,0.2228187,0.9144533,0.1702557,flexion,0,,MVC,
51,0,42,0,5,2,25,-128,60,2025-04-23 14:27:02.700600,2d45d544-fc68-4786-900f-76773a099e26,895,,,,,0.2228187,0.9144533,0.1702557,flexion,0,,MVC,
52,-5,-125,-32,-3,3,-68,106,24,2025-04-23 14:27:02.709600,2d45d544-fc68-4786-900f-76773a099e26,896,,,,,0.2224673,0.915042,0.1709001,flexion,0,,MVC,
53,-14,47,49,1,-13,30,-83,35,2025-04-23 14:27:02.709600,2d45d544-fc68-4786-900f-76773a099e26,896,,,,,0.2224673,0.915042,0.1709001,flexion,0,,MVC,
54,2,-55,-41,-8,-5,118,44,-22,2025-04-23 14:27:02.723500,2d45d544-fc68-4786-900f-76773a099e26,897,,,,,0.2223077,0.9153594,0.1712067,flexion,0,,MVC,
55,-21,1,12,-2,-1,-45,115,-90,2025-04-23 14:27:02.723500,2d45d544-fc68-4786-900f-76773a099e26,897,,,,,0.2223077,0.9153594,0.1712067,flexion,0,,MVC,
56,13,65,0,4,-3,-80,74,12,2025-04-23 14:27:02.738500,2d45d544-fc68-4786-900f-76773a099e26,899,,,,,0.2216566,0.9167097,0.1716204,flexion,0,,MVC,
57,10,-61,-9,3,8,77,40,-10,2025-04-23 14:27:02.738500,2d45d544-fc68-4786-900f-76773a099e26,899,,,,,0.2216566,0.9167097,0.1716204,flexion,0,,MVC,
58,9,-7,16,-5,-8,-55,-83,-70,2025-04-23 14:27:02.745500,2d45d544-fc68-4786-900f-76773a099e26,899,,,,,0.2216566,0.9167097,0.1716204,flexion,0,,MVC,
59,11,11,-14,-1,2,-61,-52,33,2025-04-23 14:27:02.745500,2d45d544-fc68-4786-900f-76773a099e26,899,,,,,0.2216566,0.9167097,0.1716204,flexion,0,,MVC,
60,6,17,18,-2,6,103,-118,-128,2025-04-23 14:27:02.760400,2d45d544-fc68-4786-900f-76773a099e26,901,,,,,0.2204839,0.9179497,0.170985,flexion,0,,MVC,
61,12,48,70,14,-1,-128,-43,25,2025-04-23 14:27:02.760400,2d45d544-fc68-4786-900f-76773a099e26,901,,,,,0.2204839,0.9179497,0.170985,flexion,0,,MVC,
62,-10,19,2,-7,-3,127,101,-79,2025-04-23 14:27:02.768400,2d45d544-fc68-4786-900f-76773a099e26,901,,,,,0.2204839,0.9179497,0.170985,flexion,0,,MVC,
63,-31,-48,-77,-24,-17,-83,0,-43,2025-04-23 14:27:02.768400,2d45d544-fc68-4786-900f-76773a099e26,901,,,,,0.2204839,0.9179497,0.170985,flexion,0,,MVC,
64,14,0,17,0,-3,-18,24,35,2025-04-23 14:27:02.777400,2d45d544-fc68-4786-900f-76773a099e26,902,,,,,0.2202827,0.9185417,0.1710231,flexion,0,,MVC,
65,-7,48,-19,-2,9,-83,-58,-13,2025-04-23 14:27:02.786400,2d45d544-fc68-4786-900f-76773a099e26,903,,,,,0.2193424,0.9190354,0.1711981,flexion,0,,MVC,
66,51,31,51,11,3,-26,-38,99,2025-04-23 14:27:02.786400,2d45d544-fc68-4786-900f-76773a099e26,903,,,,,0.2193424,0.9190354,0.1711981,flexion,0,,MVC,
67,-22,-51,-1,-6,-8,120,-28,-23,2025-04-23 14:27:02.786400,2d45d544-fc68-4786-900f-76773a099e26,903,,,,,0.2193424,0.9190354,0.1711981,flexion,0,,MVC,
68,4,62,-17,9,14,-51,-53,-79,2025-04-23 14:27:02.786400,2d45d544-fc68-4786-900f-76773a099e26,903,,,,,0.2193424,0.9190354,0.1711981,flexion,0,,MVC,
69,-7,-3,-8,-15,-15,23,85,-59,2025-04-23 14:27:02.786400,2d45d544-fc68-4786-900f-76773a099e26,903,,,,,0.2193424,0.9190354,0.1711981,flexion,0,,MVC,
70,13,-64,-16,-5,-8,68,71,119,2025-04-23 14:27:02.798300,2d45d544-fc68-4786-900f-76773a099e26,904,,,,,0.2188035,0.9192373,0.1712918,flexion,0,,MVC,
71,-23,-58,-46,-6,-4,-128,-69,-45,2025-04-23 14:27:02.798300,2d45d544-fc68-4786-900f-76773a099e26,904,,,,,0.2188035,0.9192373,0.1712918,flexion,0,,MVC,
72,-22,-11,6,-1,1,100,53,-114,2025-04-23 14:27:02.812300,2d45d544-fc68-4786-900f-76773a099e26,905,,,,,0.2182688,0.9196172,0.1716516,flexion,0,,MVC,
73,-32,23,0,-5,-1,16,34,7,2025-04-23 14:27:02.812300,2d45d544-fc68-4786-900f-76773a099e26,905,,,,,0.2182688,0.9196172,0.1716516,flexion,0,,MVC,
74,13,-10,41,13,1,-112,-68,-128,2025-04-23 14:27:02.820300,2d45d544-fc68-4786-900f-76773a099e26,906,,,,,0.2178209,0.9200521,0.1719635,flexion,0,,MVC,
75,-5,76,21,-3,-15,-3,75,117,2025-04-23 14:27:02.820300,2d45d544-fc68-4786-900f-76773a099e26,906,,,,,0.2178209,0.9200521,0.1719635,flexion,0,,MVC,
76,-29,-120,-83,-11,-1,-102,-37,25,2025-04-23 14:27:02.835200,2d45d544-fc68-4786-900f-76773a099e26,907,,,,,0.2175272,0.9205004,0.1721098,flexion,0,,MVC,
77,7,-6,12,-1,-2,-92,-108,18,2025-04-23 14:27:02.836200,2d45d544-fc68-4786-900f-76773a099e26,907,,,,,0.2175272,0.9205004,0.1721098,flexion,0,,MVC,
78,13,21,13,4,3,64,30,104,2025-04-23 14:27:02.844200,2d45d544-fc68-4786-900f-76773a099e26,908,,,,,0.2173504,0.9207476,0.1722505,flexion,0,,MVC,
79,-20,46,46,2,1,-128,-106,-25,2025-04-23 14:27:02.844200,2d45d544-fc68-4786-900f-76773a099e26,908,,,,,0.2173504,0.9207476,0.1722505,flexion,0,,MVC,
80,15,-25,22,4,-12,-112,-72,48,2025-04-23 14:27:02.845200,2d45d544-fc68-4786-900f-76773a099e26,908,,,,,0.2173504,0.9207476,0.1722505,flexion,0,,MVC,
