ID;Timestamp;FrameNumber;ActivatedCube;ActiveCubeX;ActiveCubeY;ActiveCubeZ;TrackerX;TrackerY;TrackerZ;GoalGesture;GesturesAttempted;AttemptsInCube;State;Event
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:13.5993;1;None;;;;0;0;0;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.2187;2;None;;;;0;0;0;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.2506;3;None;;;;0.2256837;0.7676901;0.06321371;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.2576;4;None;;;;0.2254853;0.7668853;0.06264365;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.2695;5;None;;;;0.2252526;0.7657796;0.06210792;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.2800;6;None;;;;0.2248656;0.764941;0.06168699;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.2910;7;None;;;;0.2245208;0.7638981;0.06120229;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.3019;8;None;;;;0.2242435;0.762611;0.06057417;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.3129;9;None;;;;0.2238275;0.7616289;0.06017256;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.3245;10;None;;;;0.2234139;0.7606326;0.05984354;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.3364;11;None;;;;0.2229699;0.7597383;0.05975235;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.3474;12;None;;;;0.2223567;0.7593576;0.05992877;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.3584;13;None;;;;0.221689;0.7589464;0.06064558;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.3688;14;None;;;;0.2207865;0.7588557;0.06194043;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.3808;15;None;;;;0.2201528;0.7588049;0.06333816;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.3918;16;None;;;;0.21966;0.7584642;0.06469357;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.4028;17;None;;;;0.2191014;0.7580634;0.06637394;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.4137;18;None;;;;0.2189234;0.7576693;0.0677222;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.4247;19;None;;;;0.2188247;0.757108;0.06900406;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.4357;20;None;;;;0.2187373;0.7564793;0.07014453;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.5893;21;None;;;;0.2185927;0.7557502;0.07116401;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.5972;22;None;;;;0.2160099;0.7413149;0.0711031;flexion;0;;Moving to rest position;
ba781014-19cd-48df-9409-2a73c93ced6f;2025-05-05 15:01:18.6032;23;None;;;;0.2157181;0.7410408;0.07145953;flexion;0;;Moving to rest position;
